장애인	장애인/NNG
등	등/NNB
성폭력	성폭력/NNG
피해자	피해자/NNG
증인	증인/NNG
보호	보호/NNG
강화	강화/NNG

성범죄	성범죄/NNG
피해에	피해/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
보호조치가	보호조치/NNG+가/JKS
시급한	시급하/VA+ㄴ/ETM
아동·여성·장애인	아동/NNG+·/SP+여성/NNG+·/SP+장애인/NNG
성폭력	성폭력/NNG
피해자의	피해자/NNG+의/JKG
증인	증인/NNG
보호가	보호/NNG+가/JKS
강화된다	강화되/VV+ㄴ다/EF

기획재정부는	기획재정부/NNG+는/JX
정부와	정부/NNG+와/JC
대법원이	대법원/NNG+이/JKS
내년부터	내년/NNG+부터/JX
성폭력	성폭력/NNG
피해자의	피해자/NNG+의/JKG
보호를	보호/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
증인지원센터를	증인지원센터/NNG+를/JKO
설치할	설치하/VV+ㄹ/ETM
계획이라고	계획/NNG+이/VCP+라고/EC
지난	지나/VV+ㄴ/ETM
21일	21/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

그동안	그동안/NNG
형사재판에서	형사재판/NNG+에서/JKB
증인으로	증인/NNG+으로/JKB
출석하는	출석하/VV+는/ETM
피해자	피해자/NNG
등에게	등/NNB+에게/JKB
소환장을	소환장/NNG+을/JKO
보내는	보내/VV+는/ETM
절차	절차/NNG
외에	외/NNB+에/JKB
특별한	특별하/VA+ㄴ/ETM
안내	안내/NNG
또는	또는/MAG
지원	지원/NNG
조치가	조치/NNG+가/JKS
미흡한	미흡하/VA+ㄴ/ETM
상황으로,	상황/NNG+으로/JKB+,/SP
성폭력	성폭력/NNG
피해자	피해자/NNG
증인지원센터의	증인지원센터/NNG+의/JKG
설치	설치/NNG
필요성이	필요성/NNG+이/JKS
대두됐다	대두되/VV+었/EP+다/EF

정부와	정부/NNG+와/JC
대법원은	대법원/NNG+은/JX
내년부터	내년/NNG+부터/JX
재판과정에서	재판과정/NNG+에서/JKB
아동·여성·장애인	아동/NNG+·/SP+여성/NNG+·/SP+장애인/NNG
등	등/NNB
성폭력	성폭력/NNG
피해자가	피해자/NNG+가/JKS
심리적으로	심리적/NNG+으로/JKB
안정된	안정되/VV+ㄴ/ETM
상태에서	상태/NNG+에서/JKB
증언할	증언하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
전국	전국/NNG
28개	28/SN+개/NNB
지방법원에	지방법원/NNG+에/JKB
증인지원센터를	증인지원센터/NNG+를/JKO
설치할	설치하/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

이를	이/NP+를/JKO
위해	위하/VV+여/EC
기재부는	기재부/NNG+는/JX
전국	전국/NNG
28개	28/SN+개/NNB
증인지원센터	증인지원센터/NNG
설치를	설치/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
예산	예산/NNG
17억9200만원을	17/SN+억/NR+9200/SN+만/NR+원/NNB+을/JKO
내년도	내년도/NNG
예산안에	예산안/NNG+에/JKB
반영시켰다	반영/NNG+시키/XSV+었/EP+다/EF

증인지원센터는	증인지원센터/NNG+는/JX
서비스를	서비스/NNG+를/JKO
기시행하고	기시행하/VV+고/EC
있는	있/VX+는/ETM
영국	영국/NNP
및	및/MAG
스웨덴	스웨덴/NNP
등	등/NNB
외국의	외국/NNG+의/JKG
사례를	사례/NNG+를/JKO
참조해	참조하/VV+여/EC
피고인과	피고인/NNG+과/JKB
분리된	분리되/VV+ㄴ/ETM
장소에서	장소/NNG+에서/JKB
심리적	심리적/NNG
안정을	안정/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
상담,	상담/NNG+,/SP
증인신문,	증인신문/NNG+,/SP
의견진술	의견진술/NNG
등	등/NNB
절차와	절차/NNG+와/JC
법정구조	법정구조/NNG
안내,	안내/NNG+,/SP
신변보호조치	신/XPN+변보호조치/NNG
등의	등/NNB+의/JKG
서비스를	서비스/NNG+를/JKO
제공한다	제공하/VV+ㄴ다/EF

기획재정부는	기획재정부/NNG+는/JX
증인지원센터	증인지원센터/NNG
설치로	설치/NNG+로/JKB
성폭력	성폭력/NNG
범죄	범죄/NNG
관련	관련/NNG
재판에	재판/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
만족과	만족/NNG+과/JC
신뢰를	신뢰/NNG+를/JKO
제고할	제고하/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
기대하고	기대하/VV+고/EC
있다	있/VX+다/EC
