위캔,	위캔/NNG+,/SP
13일부터	13/SN+일/NNB+부터/JX
'썸머	'/SS+썸/SL+머/NNP
뮤직캠프'	뮤직캠프/NNG+'/SS
진행	진행/NNG

사)사랑나눔	사/NNG+)/SS+사랑/NNG+나누/VV+ㅁ/ETN
위캔(이사장	위캔/NNG+(/SS+이사장/NNG
나경원)이	나경원/NNP+)/SS+이/JKS
오는	오/VV+는/ETM
13일부터	13/SN+일/NNB+부터/JX
15일까지	15/SN+일/NNB+까지/JX
경기도	경기도/NNP
용인	용인/NNP
송담대학	송담대학/NNP
캠퍼스에서	캠퍼스/NNG+에서/JKB
장애아동과	장애아동/NNG+과/JC
비장애청소년이	비장애청소년/NNG+이/JKS
1대	1/SN+대/NNB
1	1/SN
매칭이	매칭/NNG+이/JKC
되어	되/VV+어/EC
함께	함께/MAG
하는	하/VV+는/ETM
‘썸머뮤직캠프’를	‘썸/SL+머뮤직캠프/NNP+’/SL+를/JKO
실시한다	실시하/VV+ㄴ다/EF

이번	이번/NNG
썸머뮤직캠프는	썸/SL+머뮤직캠프/NNG+는/JX
음악적	음악적/NNG
재능이	재능/NNG+이/JKS
있는	있/VA+는/ETM
지적·발달장애인과	지적/NNG+·/SP+발달장애인/NNG+과/JC
비장애청소년의	비장애청소년/NNG+의/JKG
1대1	1/SN+대/NNB+1/SN
매칭을	매칭/NNG+을/JKO
통하여	통하/VV+여/EC
‘쉐어	‘쉐/SL+어/EC
러브(Share	러브/NNG+(/SS+Share/SL
Love)'을	Love/SL+)'/SS+을/JKO
구현하는	구현하/VV+는/ETM
메이트	메이트/NNG
캠프로	캠프/NNG+로/JKB
진행된다	진행되/VV+ㄴ다/EC

기초과정은	기초과정/NNG+은/JX
음악에	음악/NNG+에/JKB
관심있는	관심/NNG+있/VA+는/ETM
장애아동을	장애아동/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
음악치료를	음악치료/NNG+를/JKO
통해	통하/VV+여/EC
사회성과	사회성/NNG+과/JC
자신감을	자신감/NNG+을/JKO
고취시키며,	고취/NNG+시키/XSV+며/EC+,/SP
고급과정은	고급과정/NNG+은/JX
음악에	음악/NNG+에/JKB
재능있는	재능/NNG+있/VA+는/ETM
장애아동을	장애아동/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
전문	전문/NNG
멘토의	멘토/NNG+의/JKG
레슨을	레슨/NNG+을/JKO
통해	통하/VV+여/EC
예술적	예술적/NNG
재능을	재능/NNG+을/JKO
발굴하는	발굴하/VV+는/ETM
특별	특별/NNG
프로그램으로	프로그램/NNG+으로/JKB
진행된다	진행되/VV+ㄴ다/EC

특히	특히/MAG
서혜연(서울대·성악)	서혜연/NNP+(/SS+서울대/NNP+·/SP+성악/NNP+)/SS
최희연(서울대·피아노)	최희연/NNP+(/SS+서울대/NNP+·/SP+피아노/NNG+)/SS
김지현(서울튜티앙상블·피아노)	김지현/NNP+(/SS+서울튜티앙상블/NNP+·/SP+피아노/NNG+)/SS
안희찬(추계대·트럼펫)	안희찬/NNP+(/SS+추계대/NNP+·/SP+트럼펫/NNG+)/SS
교수,	교수/NNG+,/SP
팝핀현준(팝핀현준아트컴퍼니·댄스)	팝핀현준/NNP+(/SS+팝핀현준/NNP+아트컴퍼니/NNG+·/SP+댄스/NNG+)/SS
등이	등/NNB+이/JKS
지적·자폐성장애인들의	지적/NNG+·/SP+자폐성장애인/NNG+들/XSN+의/JKG
레슨을	레슨/NNG+을/JKO
도맡는다	도맡/VV+는다/EF

캠프기간동안	캠프기간동안/NNG
‘팝핀현준의	‘/SL+팝핀현준/NNP+의/JKG
댄스파티’	댄스파티/NNG+’/SN
‘난타	‘/SL+난타/NNG
공연’	공연/NNG+’/SL
‘사랑나눔	‘/SL+사랑/NNG+나누/VV+ㅁ/ETN
페스티벌’	페스티벌/NNG+’/SL
저소득국가에	저소득국가/NNG+에/JKB
꿈을	꿈/NNG+을/JKO
담은	담/VV+은/ETM
운동화를	운동화/NNG+를/JKO
그려	그리/VV+어/EC
보내는	보내/VV+는/ETM
‘드림	‘/SL+드리/VV+ㅁ/ETN
슈즈	슈즈/NNG
프로젝트’등	프로젝트/NNG+’/SL+등/NNB
다양한	다양하/VA+ㄴ/ETM
문화행사가	문화행사/NNG+가/JKS
진행되며	진행되/VV+며/EC
백남준	백남준/NNP
탄생	탄생/NNG
80주년을	80/SN+주년/NNB+을/JKO
맞이한	맞이하/VV+ㄴ/ETM
‘백남준아트센터’도	‘/SN+백/NR+남준아트센터/NNP+’/SL+도/JX
