지적장애	지적장애/NNG
자매	자매/NNG
성폭행한	성폭행하/VV+ㄴ/ETM
유부남	유부남/NNG
'목사	'/SS+목사/NNG
아들'	아들/NNG+'/SS

지적장애를	지적장애/NNG+를/JKO
가진	가지/VV+ㄴ/ETM
자매의	자매/NNG+의/JKG
장애수당을	장애수당/NNG+을/JKO
갈취하고	갈취하/VV+고/EC
지속적으로	지속적/NNG+으로/JKB
성폭행	성폭행/NNG
해	하/VV+여/EC
온	오/VX+ㄴ/ETM
유부남인	유부남/NNG+이/VCP+ㄴ/ETM
목사	목사/NNG
아들의	아들/NNG+의/JKG
이야기가	이야기/NNG+가/JKS
28일	28/SN+일/NNB
SBS	SBS/SL
‘궁금한	‘/SL+궁금하/VA+ㄴ/ETM
이야기	이야기/NNG
Y’에서	Y’/SL+에서/JKB
방송된다	방송되/VV+ㄴ다/EF

이날	이날/NNG
방송분에는	방송분/NNG+에/JKB+는/JX
지적장애를	지적장애/NNG+를/JKO
가진	가지/VV+ㄴ/ETM
미자(가명,	미자/NNG+(/SS+가명/NNG+,/SP
28세),	28/SN+세/NNB+)/SS+,/SP
미숙(가명,	미숙/NNG+(/SS+가명/NNG+,/SP
25세)	25/SN+세/NNB+)/SS
자매가	자매/NNG+가/JKS
가출해	가출하/VV+여/EC
목사	목사/NNG
아들과	아들/NNG+과/JKB
같이	같이/MAG
살고	살/VV+고/EC
있었으며,	있/VX+었/EP+으며/EC+,/SP
목사	목사/NNG
아들이	아들/NNG+이/JKS
자매	자매/NNG
앞으로	앞/NNG+으로/JKB
나오는	나오/VV+는/ETM
장애수당을	장애수당/NNG+을/JKO
가로채	가로채/VV+어/EC
생활하고	생활하/VV+고/EC
있는	있/VX+는/ETM
모습이	모습/NNG+이/JKS
그려진다	그리/VV+어/EC+지/VX+ㄴ다/EF

특히	특히/MAG
목사	목사/NNG
아들이	아들/NNG+이/JKS
지적장애를	지적장애/NNG+를/JKO
가진	가지/VV+ㄴ/ETM
자매의	자매/NNG+의/JKG
엄마까지도	엄마/NNG+까지도/JX
성폭행을	성폭행/NNG+을/JKO
저질렀고,	저지르/VV+었/EP+고/EC+,/SP
과거에	과거/NNG+에/JKB
지적장애를	지적장애/NNG+를/JKO
가진	가지/VV+ㄴ/ETM
여성들에게만	여성/NNG+들/XSN+에게/JKB+만/JX
접근해	접근하/VV+여/EC
성폭행을	성폭행/NNG+을/JKO
저질러	저지르/VV+어/EC
왔다는	오/VV+았/EP+다는/ETM
사실도	사실/NNG+도/JX
제작진이	제작진/NNG+이/JKS
파헤친다	파헤치/VV+ㄴ다/EF

미숙	미숙/NNG
씨가	씨/NNB+가/JKS
아무	아무/MM
것도	것/NNB+도/JX
먹지	먹/VV+지/EC
못하고	못하/VX+고/EC
오빠(목사	오빠/NNG+(/SS+목사/NNG
아들)만	아들/NNG+)/SS+만/JX
찾자	찾/VV+자/EC
제작진이	제작진/NNG+이/JKS
미숙	미숙/NNG
씨와	씨/NNB+와/JKB
함께	함께/MAG
병원을	병원/NNG+을/JKO
찾았고	찾/VV+았/EP+고/EC
임신한	임신하/VV+ㄴ/ETM
사실도	사실/NNG+도/JX
알게	알/VV+게/EC
된다	되/VV+ㄴ다/EF

미숙	미숙/NNG
씨는	씨/NNB+는/JX
아이도	아이/NNG+도/JX
낳고	낳/VV+고/EC
목사	목사/NNG
아들과	아들/NNG+과/JKB
결혼하고	결혼하/VV+고/EC
싶다는	싶/VX+다는/ETM
의사도	의사/NNG+도/JX
밝힌다	밝히/VV+ㄴ다/EC

알고	알/VV+고/EC
보니	보/VX+니/EC
목사	목사/NNG
아들은	아들/NNG+은/JX
이미	이미/MAG
아내와	아내/NNG+와/JC
아이까지	아이/NNG+까지/JX
있는	있/VA+는/ETM
것으로	것/NNB+으로/JKB
알려진다	알려지/VV+ㄴ다/EF
