여가부,	여가부/NNG+,/SP
'여성긴급전화중앙지원단'	'/SS+여성긴급전화중앙지원/NNG+단/XSN+'/SS
설치	설치/NNG

가정폭력	가정폭력/NNG
및	및/MAG
성폭력	성폭력/NNG
피해	피해/NNG
여성에	여성/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
체계적인	체계적/NNG+이/VCP+ㄴ/ETM
지원	지원/NNG
시스템이	시스템/NNG+이/JKS
구축되고,	구축되/VV+고/EC+,/SP
지원	지원/NNG
서비스도	서비스/NNG+도/JX
한층	한층/MAG
강화된다	강화되/VV+ㄴ다/EF

여성가족부(장관	여성가족부/NNG+(/SS+장관/NNG
김금래)는	김금래/NNP+)/SS+는/JX
여성	여성/NNG
긴급지원센터를	긴급지원센터/NNG+를/JKO
총괄	총괄/NNG
지원하는	지원하/VV+는/ETM
‘여성긴급전화중앙지원단(이하	‘/SN+여/XSN+성긴급전화중앙지원단/NNP+(/SS+이하/NNG
지원단)’	지원/NNG+단/XSN+)/SS+’/SL
을	을/JKO
설치한다고	설치하/VV+ㄴ다고/EC
6일	6/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

발표에	발표/NNG+에/JKB
따르면	따르/VV+면/EC
지원단	지원/NNG+단/XSN
설치를	설치/NNG+를/JKO
위해	위하/VV+여/EC
전국	전국/NNG
17개소	17/SN+개소/NNB
지역센터를	지역센터/NNG+를/JKO
총괄하는	총괄하/VV+는/ETM
‘여성긴급전화	‘/SN+여/XSN+성긴급전화/NNG
1366중앙센터’를	1366/SN+중/NNB+앙센터/NNG+’/SL+를/JKO
신설하고,	신설하/VV+고/EC+,/SP
‘이주여성긴급지원센터	‘/SL+이주여성긴급지원센터/NNG
1577-1366’는	1577/SN+-/SO+1366/SN+’/SL+는/JX
통합한다	통합하/VV+ㄴ다/EF

지원단은	지원/NNG+단/XSN+은/JX
폭력	폭력/NNG
피해	피해/NNG
여성의	여성/NNG+의/JKG
체계적인	체계적/NNG+이/VCP+ㄴ/ETM
지원	지원/NNG
시스템	시스템/NNG
구축과	구축/NNG+과/JKB
함께	함께/MAG
‘여성긴급전화	‘/SN+여성긴급전화/NNG
1366센터’,	1366/SN+센터/NNB+’/SL+,/SP
‘이주여성	‘/SL+이주여성/NNG
긴급지원센터	긴급지원센터/NNG
1577-1366’의	1577/SN+-/SO+1366/SN+’/SL+의/JKG
총괄적인	총괄적/NNG+이/VCP+ㄴ/ETM
지원	지원/NNG
역할을	역할/NNG+을/JKO
담당하게	담당하/VV+게/EC
된다	되/VV+ㄴ다/EF

또한	또한/MAG
가정폭력	가정폭력/NNG
예방과	예방/NNG+과/JC
근절을	근절/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
조사·연구,	조사/NNG+·/SP+연구/NNG+,/SP
가정폭력	가정폭력/NNG
기관의	기관/NNG+의/JKG
전국적인	전국적/NNG+이/VCP+ㄴ/ETM
네트워크	네트워크/NNG
구축	구축/NNG
및	및/MAG
가정폭력	가정폭력/NNG
인식개선	인식개선/NNG
사업,	사업/NNG+,/SP
가정폭력	가정폭력/NNG
전문인력	전문인력/NNG
지원	지원/NNG
등	등/NNB
다양한	다양하/VA+ㄴ/ETM
활동을	활동/NNG+을/JKO
펼칠	펼치/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

신설되는	신설되/VV+는/ETM
‘여성긴급전화	‘/SN+여성긴급전화/NNG
1366	1366/SN
중앙센터’는	중앙센터/NNG+’/SL+는/JX
무선전화에	무선전화/NNG+에/JKB
의한	의하/VV+ㄴ/ETM
전국상담과	전국상담/NNG+과/JC
기관	기관/NNG
연계,	연계/NNG+,/SP
통계·사례	통계/NNG+·/SP+사례/NNG
관리	관리/NNG
등을	등/NNB+을/JKO
중점	중점/NNG
수행하고,	수행하/VV+고/EC+,/SP
지역센터는	지역센터/NNG+는/JX
지역	지역/NNG
유선전화	유선전화/NNG
상담과	상담/NNG+과/JC
현장	현장/NNG
방문	방문/NNG
상담을	상담/NNG+을/JKO
주로	주로/MAG
처리한다	처리하/VV+ㄴ다/EC

여가부는	여가부/NNG+는/JX
폭력	폭력/NNG
피해	피해/NNG
여성의	여성/NNG+의/JKG
초기상담과	초기상담/NNG+과/JC
긴급	긴급/NNG
연계	연계/NNG
지원이	지원/NNG+이/JKS
강화되고,	강화되/VV+고/EC+,/SP
통합	통합/NNG
전산	전산/NNG
통계	통계/NNG
처리·	처리/NNG+·/SP
피해자	피해자/NNG
지원	지원/NNG
사례관리	사례관리/NNG
등이	등/NNB+이/JKS
보다	보다/MAG
원활해질	원활하/VA+여/EC+지/VX+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대하고	기대하/VV+고/EC
있다	있/VX+다/EC

한편	한편/MAG
여가부는	여가부/NNG+는/JX
7일	7/SN+일/NNB
오전	오전/NNG
11시	11/SN+시/NNB
한국여성인권진흥원에서	한국/NNP+여성인권진흥/NNG+원/XSN+에서/JKB
여성긴급전화중앙지원단	여성긴급전화중앙지원/NNG+단/XSN
개소식을	개소식/NNG+을/JKO
갖는다	갖/VV+는다/EF
