‘국립재활원,	‘/SL+국립재활원/NNP+,/SP
장애여성	장애여성/NNG
임신·출산	임신/NNG+·/SP+출산/NNG
지원	지원/NNG
필요’	필요’/NNG

국회	국회/NNG
보건복지위원회	보건복지위원회/NNG
김미희	김미희/NNP
의원(통합진보당)은	의원/NNG+(/SS+통합진보당/NNP+)/SS+은/JX
23일	23/SN+일/NNB
국회에서	국회/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
국립재활원	국립재활원/NNP
국정감사에서	국정감사/NNG+에서/JKB
“여성장애인의	“/SN+여/XSN+성장애인/NNG+의/JKG
임신과	임신/NNG+과/JC
출산을	출산/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
국립재활원의	국립재활원/NNP+의/JKG
적극적인	적극적/NNG+이/VCP+ㄴ/ETM
지원이	지원/NNG+이/JKS
필요하다”고	필요하/VA+다”고/EC
주문했다	주문하/VV+였/EP+다/EF

이는	이/NP+는/JX
일반	일반/NNG
산부인과의	산부인/NNG+과/JKB+의/JKG
경우	경우/NNG
장애여성의	장애여성/NNG+의/JKG
임신과	임신/NNG+과/JC
출산에	출산/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
전문성이	전문/NNG+성/XSN+이/JKS
떨어지다	떨어지/VV+다/EC
보니	보/VX+니/EC
국립재활원	국립재활원/NNP
여성재활과에서	여성재활과/NNG+에서/JKB
여성장애인을	여성장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
임신과	임신/NNG+과/JC
출산을	출산/NNG+을/JKO
지원할	지원하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
해야	하/VX+여야/EC
한다는	하/VX+ㄴ다는/ETM
것	것/NNB

이	이/NP
같은	같/VA+은/ETM
문제점은	문제점/NNG+은/JX
지난해	지난해/NNG
국정감사에서도	국정감사/NNG+에서/JKB+도/JX
지적되면서	지적되/VV+면서/EC
당시	당시/NNG
‘여성장애인의	‘/SN+여/XSN+성장애인/NNG+의/JKG
임신과	임신/NNG+과/JC
출산	출산/NNG
지원을	지원/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
방안	방안/NNG
마련'을	마련/NNG+'/SS+을/JKO
요구하는	요구하/VV+는/ETM
목소리가	목소리/NNG+가/JKS
나왔다	나오/VV+았/EP+다/EF

하지만	하지만/MAJ
국립재활원의	국립재활원/NNP+의/JKG
추진	추진/NNG
계획	계획/NNG
확인결과	확인결과/NNG
분만수요가	분만수요/NNG+가/JKS
적고	적/VA+고/EC
경제적	경제적/NNG
비용이	비용/NNG+이/JKS
많이	많이/MAG
소요된다는	소요되/VV+ㄴ다는/ETM
이유로	이유/NNG+로/JKB
난색을	난색/NNG+을/JKO
표한	표하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러났다	드러나/VV+았/EP+다/EC

김	김/NNP
의원은	의원/NNG+은/JX
“여성장애인들의	“/SL+여/XSN+성장애인/NNG+들/XSN+의/JKG
수요가	수요/NNG+가/JKS
있어서	있/VA+어서/EC
지난해	지난해/NNG
지적한	지적하/VV+ㄴ/ETM
것인데,	것/NNB+이/VCP+ㄴ데/EC+,/SP
수요가	수요/NNG+가/JKS
없고	없/VA+고/EC
돈이	돈/NNG+이/JKS
많이	많이/MAG
들어서	들어서/VV+어/EC
못한다는	못하/VX+ㄴ다는/ETM
것은	것/NNB+은/JX
국정감사	국정감사/NNG
시정·처리	시정/NNG+·/SP+처리/NNG
요구에	요구/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
적절한	적절하/VA+ㄴ/ETM
대책이	대책/NNG+이/JKC
아니다”고	아니/VCN+다/EC+”/VV+고/EC
비판했다	비판하/VV+였/EP+다/EF

이어	이어/MAG
“장애여성이	“/SN+장애여성/NNG+이/JKS
결혼하면	결혼하/VV+면/EC
90%	90/SN+%/SW
이상이	이상/NNG+이/JKS
임신을	임신/NNG+을/JKO
한다”며	하/VV+ㄴ다”며/EC
“장애인을	“/SN+장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
전문	전문/NNG
재활정책을	재활정책/NNG+을/JKO
개발하고	개발하/VV+고/EC
재활의료서비스를	재활의료서비스/NNG+를/JKO
수행하는	수행하/VV+는/ETM
기관으로서	기관/NNG+으로서/JKB
구체적인	구체적/NNG+이/VCP+ㄴ/ETM
수요조사와	수요조사/NNG+와/JC
연구용역	연구용역/NNG
등을	등/NNB+을/JKO
추진해야	추진하/VV+여야/EC
할	하/VX+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
강조했다	강조하/VV+였/EP+다/EC
