"장애아동	"/SS+장애아동/NNG
폭력	폭력/NNG
노출	노출/NNG
3.7배	3.7/SN+배/NNG
높아"<WHO>	높/VA+아/EF+"</SS+WHO/SL+>/SS

(제네바	(/SS+제네바/NNP
신화=연합뉴스)	신화/NNG+=/SW+연합뉴스/NNP+)/SS
장애가	장애/NNG+가/JKS
있는	있/VA+는/ETM
아이들은	아이/NNG+들/XSN+은/JX
폭력을	폭력/NNG+을/JKO
당할	당하/VV+ㄹ/ETM
확률이	확률/NNG+이/JKS
보통	보통/MAG
아이들보다	아이/NNG+들/XSN+보다/JKB
3	3/SN

7배	7/SN+배/NNG
높은	높/VA+은/ETM
것으로	것/NNB+으로/JKB
나타났다	나타나/VV+았/EP+다/EC

세계보건기구(WHO)는	세계보건기구/NNG+(/SS+WHO/SL+)/SS+는/JX
미국과	미국/NNP+과/JC
영국,	영국/NNP+,/SP
프랑스	프랑스/NNP
등	등/NNB
7개	7/SN+개/NNB
고소득	고소득/NNG
국가에서	국가/NNG+에서/JKB
신체적·감정적·지적	신체적/NNG+·/SP+감정적/NNG+·/SP+지적/NNG
장애,	장애/NNG+,/SP
정신질환,	정신질환/NNG+,/SP
중복	중복/NNG
장애	장애/NNG
등을	등/NNB+을/JKO
가진	가지/VV+ㄴ/ETM
아동	아동/NNG
1만8천374명을	1/SN+만/NR+8/SN+천/NR+374/SN+명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
17가지	17/SN+가지/NNB
연구를	연구/NNG+를/JKO
한	하/VV+ㄴ/ETM
결과	결과/NNG
이같이	이같이/MAG
나타났다고	나타나/VV+았/EP+다고/EC
12일	12/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

WHO는	WHO/SL+는/JX
저명	저명/NNG
의학저널인	의학저널/NNG+이/VCP+ㄴ/ETM
'랜싯(Lancet)'에	'/SS+랜싯/NNG+(/SS+Lancet/SL+)'/SS+에/JKB
이날	이날/NNG
발표한	발표하/VV+ㄴ/ETM
보고서에서	보고서/NNG+에서/JKB
'폭력'을	'/SS+폭력/NNG+'/SS+을/JKO
신체적·성적	신체적/NNG+·/SP+성적/NNG
폭력,	폭력/NNG+,/SP
감정적	감정적/NNG
학대,	학대/NNG+,/SP
무시	무시/NNG
행위	행위/NNG
등으로	등/NNB+으로/JKB
폭넓게	폭넓/VA+게/EC
정의했다	정의하/VV+였/EP+다/EC

보고서는	보고서/NNG+는/JX
장애	장애/NNG
아동이	아동/NNG+이/JKS
폭력을	폭력/NNG+을/JKO
당할	당하/VV+ㄹ/ETM
위험을	위험/NNG+을/JKO
높이는	높이/VV+는/ETM
요인으로	요인/NNG+으로/JKB
사회적	사회적/NNG
낙인과	낙인/NNG+과/JC
차별,	차별/NNG+,/SP
장애에	장애/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
무지,	무지/NNG+,/SP
장애	장애/NNG
아동들을	아동/NNG+들/XSN+을/JKO
돌보는	돌보/VV+는/ETM
이들에	이/NP+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
사회적	사회적/NNG
지원	지원/NNG
부족	부족/NNG
등을	등/NNB+을/JKO
지적했다	지적하/VV+였/EP+다/EF

또	또/MAG
장애	장애/NNG
아동들을	아동/NNG+들/XSN+을/JKO
보호기관에	보호기관/NNG+에/JKB
둘수록	두/VV+ㄹ수록/EC
이들이	이/NP+들/XSN+이/JKS
폭력에	폭력/NNG+에/JKB
더	더/MAG
많이	많이/MAG
노출된다고	노출되/VV+ㄴ다고/EC
설명했다	설명하/VV+었/EP+다/EC

WHO의	WHO/SL+의/JKG
장애	장애/NNG
및	및/MAG
재활	재활/NNG
담당자인	담당자/NNG+이/VCP+ㄴ/ETM
톰	톰/NNP
셰익스피어는	셰익스피어/NNP+는/JX
각종	각종/NNG
신체적·정신적	신체/NNG+적/XSN+·/SP+정신적/NNG
장애를	장애/NNG+를/JKO
겪는	겪/VV+는/ETM
아이들이	아이/NNG+들/XSN+이/JKS
전	전/MM
세계적으로	세계적/NNG+으로/JKB
9천300만명에	9/SN+천/NR+300/SN+만/NR+명/NNB+에/JKB
달한다고	달하/VV+ㄴ다고/EC
말했다	말하/VV+였/EP+다/EC

WHO의	WHO/SL+의/JKG
폭력	폭력/NNG
예방	예방/NNG
기술	기술/NNG
담당자인	담당자/NNG+이/VCP+ㄴ/ETM
크리스토퍼	크리스토퍼/NNP
믹톤은	믹톤/NNP+은/JX
장애	장애/NNG
아동의	아동/NNG+의/JKG
폭력	폭력/NNG
노출	노출/NNG
정도와	정도/NNG+와/JC
위험도를	위험도/NNG+를/JKO
밝혀내는	밝혀내/VV+는/ETM
것이	것/NNB+이/JKS
이러한	이러하/VA+ㄴ/ETM
폭력을	폭력/NNG+을/JKO
예방하고	예방하/VV+고/EC
고통받는	고통/NNG+받/VV+는/ETM
아이들을	아이/NNG+들/XSN+을/JKO
치유하기	치유하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
첫걸음에	첫걸음/NNG+에/JKB
불과하다고	불과하/VA+다고/EC
지적했다	지적하/VV+였/EP+다/EF

그러면서	그러/VV+면서/EC
폭력	폭력/NNG
예방	예방/NNG
방법들로	방법/NNG+들/XSN+로/JKB
장애인	장애인/NNG
요양시설	요양시설/NNG
방문,	방문/NNG+,/SP
양친	양친/NNG
교육,	교육/NNG+,/SP
아동	아동/NNG
성적	성적/NNG
학대	학대/NNG
예방	예방/NNG
전략	전략/NNG
세우기	세우/VV+기/ETN
등을	등/NNB+을/JKO
제안했다	제안하/VV+였/EP+다/EC

전문가들은	전문가/NNG+들/XSN+은/JX
아울러	아울러/MAG
중·저소득	중/NNG+·/SP+저소득/NNG
국가의	국가/NNG+의/JKG
장애	장애/NNG
아동들을	아동/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
한	하/VV+ㄴ/ETM
연구가	연구/NNG+가/JKS
빨리	빨리/MAG
이뤄져야	이루어지/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
강조했다	강조하/VV+였/EP+다/EC

WHO	WHO/SL
통계자료에	통계자료/NNG+에/JKB
따르면	따르/VV+면/EC
여성의	여성/NNG+의/JKG
약	약/MM
20%,	20/SN+%/SW+,/SP
남성의	남성/NNG+의/JKG
약	약/MM
5~10%가	5/SN+~/SO+10/SN+%/SW+가/JKS
어린	어리/VA+ㄴ/ETM
시절	시절/NNG
성적	성적/NNG
학대를	학대/NNG+를/JKO
경험했으며,	경험하/VV+였/EP+으며/EC+,/SP
신체적	신체/NNG+적/XSN
학대를	학대/NNG+를/JKO
당한	당하/VV+ㄴ/ETM
비율은	비율/NNG+은/JX
성별을	성별/NNG+을/JKO
통틀어	통틀/VV+어/EC
25~50%나	25/SN+~/SO+50/SN+%/SW+나/JX
됐다	되/VV+었/EP+다/EC

bryoon@yna	bryoon/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
