"도가니	"/SS+도가/VV+니/EC
현재	현재/MAG
진행형…정부	진행형/NNG+…/SE+정부/NNG
방치	방치/NNG
때문"	때문/NNB+"/SS

국회	국회/NNG
보건복지위원회	보건복지위원회/NNG
김정록(새누리당)	김정록/NNP+(/SS+새누리당/NNP+)/SS
의원은	의원/NNG+은/JX
8일	8/SN+일/NNB
국정감사에서	국정감사/NNG+에서/JKB
지난해	지난해/NNG
국민의	국민/NNG+의/JKG
공분을	공분/NNG+을/JKO
샀던	사/VV+았/EP+던/ETM
‘도가니’	‘/SL+도가니/NNG+’/SL
사건에	사건/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
정부의	정부/NNG+의/JKG
대책을	대책/NNG+을/JKO
비판하며,	비판하/VV+며/EC+,/SP
장애인	장애인/NNG
성폭력	성폭력/NNG
방지를	방지/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
대책	대책/NNG
마련을	마련/NNG+을/JKO
주문했다	주문하/VV+였/EP+다/EF

이날	이날/NNG
김	김/NNP
의원은	의원/NNG+은/JX
“지난해	“/SL+지난해/NNG
도가니	도가니/NNG
사건	사건/NNG
이후	이후/NNG
정부가	정부/NNG+가/JKS
대책을	대책/NNG+을/JKO
발표한	발표하/VV+ㄴ/ETM
지	지/NNB
만	만/MM
1년이	1/SN+년/NNB+이/JKS
지났는데도	지나/VV+았/EP+는데/EC+도/JX
불구하고	불구하/VV+고/EC
특수교육기관으로	특수교육기관/NNG+으로/JKB
활용될	활용되/VV+ㄹ/ETM
예정인	예정/NNG+이/VCP+ㄴ/ETM
인화학교는	인화학교/NNG+는/JX
현재	현재/MAG
소송으로	소송/NNG+으로/JKB
청산절차가	청산절차/NNG+가/JKS
중단됐고,	중단되/VV+었/EP+고/EC+,/SP
성폭력	성폭력/NNG
혐의가	혐의/NNG+가/JKS
드러난	드러나/VV+ㄴ/ETM
행정실장은	행정실장/NNG+은/JX
무죄를	무죄/NNG+를/JKO
주장하며	주장하/VV+며/EC
아직도	아직/MAG+도/JX
재판을	재판/NNG+을/JKO
받고	받/VV+고/EC
있다”면서	있/VX+다/EC+”/VV+면서/EC
“피해자인	“/SN+피해자/NNG+이/VCP+ㄴ/ETM
청각장애	청각장애/NNG
아이들은	아이/NNG+들/XSN+은/JX
광주에	광주/NNP+에/JKB
청소년	청소년/NNG
성폭력	성폭력/NNG
전문의가	전문의/NNG+가/JKS
없어	없/VA+어/EC
서울에	서울/NNP+에/JKB
올라오고	올라오/VV+고/EC
있고,	있/VX+고/EC+,/SP
수화통역사나	수화통역사/NNG+나/JC
식비·교통비	식비/NNG+·/SP+교통비/NNG
등	등/NNB
부대지원에	부대지원/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
정부지원이	정부지원/NNG+이/JKS
없어	없/VA+어/EC
경제적	경제적/NNG
어려움을	어려움/NNG+을/JKO
겪고	겪/VV+고/EC
있다”고	있/VX+다/EC+”/VV+고/EC
지적했다	지적하/VV+였/EP+다/EF

김	김/NNP
의원은	의원/NNG+은/JX
“그동안	“/SL+그동안/NNG
정부가	정부/NNG+가/JKS
내놓은	내놓/VV+은/ETM
대책들이	대책/NNG+들/XSN+이/JKS
피해자들에게	피해자/NNG+들/XSN+에게/JKB
어떤	어떤/MM
도움이	도움/NNG+이/JKC
됐는	되/VV+었/EP+는/ETM
지	지/NNB
의구심	의구심/NNG
마저	마저/JX
들고	들/VV+고/EC
있다”면서	있/VX+다/EC+”/VX+면서/EC
“당시	“/SL+당시/NNG
복지부가	복지부/NNG+가/JKS
내놓은	내놓/VV+은/ETM
대책	대책/NNG
중	중/NNB
장애인	장애인/NNG
인식개선을	인식개선/NNG+을/JKO
위해	위하/VV+여/EC
공익광고를	공익광고/NNG+를/JKO
제작해	제작하/VV+여/EC
방송하겠다고	방송하/VV+겠/EP+다고/EC
했는데	하/VV+였/EP+는데/EC
이	이/MM
마저도	마저도/JX
제작하지	제작하/VV+지/EC
않는	않/VX+는/ETM
것으로	것/NNB+으로/JKB
파악됐다	파악되/VV+었/EP+다/EF

"고	"/SS+고/JKQ
꼬집었다	꼬집/VV+었/EP+다/EF

또한	또한/MAG
"올해	"/SS+올해/NNG
국가,	국가/NNG+,/SP
지자체,	지자체/NNG+,/SP
공공기관을	공공기관/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
장애인	장애인/NNG
인식교육을	인식교육/NNG+을/JKO
의무화하겠다고	의무화하/VV+겠/EP+다고/EC
했는데,	하/VV+였/EP+는데/EC+,/SP
기존의	기존/NNG+의/JKG
지역	지역/NNG
순회교육만	순/MM+회교육/NNG+만/JX
했을	하/VV+였/EP+을/ETM
뿐	뿐/NNB
중앙행정기관은	중앙행정기관/NNG+은/JX
교육조차	교육/NNG+조차/JX
하지	하/VV+지/EC
않았다”고	않/VX+았/EP+다/EC+”/VX+고/EC
질타했다	질타하/VA+었/EP+다/EC

김	김/NNP
의원은	의원/NNG+은/JX
“도가니	“/SL+도가니/NNG
사건은	사건/NNG+은/JX
현재	현재/MAG
진행	진행/NNG
중이고,	중/NNB+이/VCP+고/EC+,/SP
이후에도	이후/NNG+에/JKB+도/JX
제2·제3의	제/XPN+2/SN+·/SP+제/XPN+3/SN+의/JKG
도가니가	도가니/NNG+가/JKC
끊이지	끊이/VV+지/EC
않고	않/VX+고/EC
있는	있/VX+는/ETM
이유가	이유/NNG+가/JKS
정부가	정부/NNG+가/JKS
지적장애인	지적장애인/NNG
성폭행	성폭행/NNG
문제를	문제/NNG+를/JKO
방치하고	방치하/VV+고/EC
있었기	있/VX+었/EP+기/ETN
때문”이라면서	때문/NNB+”/SL+이/VCP+라면서/EC
“인권	“/SL+인권/NNG
사각지대에	사각지대/NNG+에/JKB
있는	있/VA+는/ETM
지적장애인들을	지적장애인/NNG+들/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
특단의	특단/NNG+의/JKG
대책이	대책/NNG+이/JKS
필요하다고	필요하/VA+다고/EC
생각드는데,	생각/NNG+들/VV+는데/EC+,/SP
(복지부	(/SS+복지부/NNG
장관은)	장관/NNG+은/JX+)/SS
대책을	대책/NNG+을/JKO
검토해	검토하/VV+여/EC
