서울시,	서울시/NNP+,/SP
장애인주간보호시설	장애인주간보호시설/NNG
연장	연장/NNG
운영	운영/NNG

서울시가	서울시/NNP+가/JKS
장애인	장애인/NNG
보호자들의	보호자/NNG+들/XSN+의/JKG
부담을	부담/NNG+을/JKO
경감시키기	경감/NNG+시키/XSV+기/ETN
위해	위하/VV+여/EC
일부	일부/NNG
장애인주간보호시설	장애인주간보호시설/NNG
운영	운영/NNG
시간을	시간/NNG+을/JKO
확대한다	확대하/VV+ㄴ다/EF

시는	시/NNG+는/JX
1∼3급	1/SN+∼/SO+3/SN+급/NNG
지적·자폐성	지적/NNG+·/SP+자폐성/NNG
장애인	장애인/NNG
등을	등/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
서비스를	서비스/NNG+를/JKO
제공하고	제공하/VV+고/EC
있는	있/VX+는/ETM
강남구	강남구/NNP
한우리	한우리/NNP
주간보호센터와	주간보호센터/NNG+와/JC
강서구	강서구/NNP
햇볕교실을	햇볕교실/NNG+을/JKO
"연장운영	"/SS+연장운영/NNG
주간보호	주간보호/NNG
시범실시	시범실시/NNG
시설"로	시설/NNG+"/SS+로/JKB
지정,	지정/NNG+,/SP
4일부터	4/SN+일/NNB+부터/JX
내년	내년/NNG
3월	3/SN+월/NNB
31일까지	31/SN+일/NNB+까지/JX
6개월	6/SN+개월/NNB
동안	동안/NNG
시범	시범/NNG
운영에	운영/NNG+에/JKB
들어간다고	들어가/VV+ㄴ다고/EC
밝혔다	밝히/VV+었/EP+다/EC

이번	이번/NNG
연장운영은	연장운영/NNG+은/JX
6월	6/SN+월/NNB
'서울시	'/SS+서울시/NNP
장애인	장애인/NNG
주간보호·단기거주시설	주간보호/NNG+·/SP+단기거주시설/NNG
이용자부모	이용자부모/NNG
간담회'에서	간담회/NNG+'/SS+에서/JKB
제기된	제기되/VV+ㄴ/ETM
평일	평일/NNG
연장운영	연장운영/NNG
및	및/MAG
토요일	토요일/NNG
운영	운영/NNG
확대에	확대/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
의견을	의견/NNG+을/JKO
수렴해	수렴하/VV+여/EC
마련됐다	마련되/VV+었/EP+다/EF

이에	이/NP+에/JKB
따라	따르/VV+아/EC
오전	오전/NNG
9시부터	9/SN+시/NNB+부터/JX
오후	오후/NNG
6시까지	6/SN+시/NNB+까지/JX
운영되어	운영되/VV+어/EC
왔던	오/VX+았/EP+던/ETM
2곳의	2/SN+곳/NNG+의/JKG
장애인주간보호시설은	장애인주간보호시설/NNG+은/JX
오전	오전/NNG
8시부터	8/SN+시/NNB+부터/JX
오후	오후/NNG
10시까지	10/SN+시/NNB+까지/JX
연장	연장/NNG
운영하고,	운영하/VV+고/EC+,/SP
