'제4회	'/SS+제/XPN+4/SN+회/NNB
내일을	내일/NNG+을/JKO
여는	열/VV+는/ETM
멋진	멋지/VA+ㄴ/ETM
여성의	여성/NNG+의/JKG
날'	날/NNG+'/SS
개최	개최/NNG

‘제4회	‘/SL+제/XPN+4/SN+회/NNB
내일을	내일/NNG+을/JKO
여는	열/VV+는/ETM
멋진	멋지/VA+ㄴ/ETM
여성의	여성/NNG+의/JKG
날’이	날/NNG+’/SL+이/JKS
오는	오/VV+는/ETM
19일	19/SN+일/NNB
힐튼호텔에서	힐튼호텔/NNP+에서/JKB
열린다	열리/VV+ㄴ다/EF

이	이/MM
행사는	행사/NNG+는/JX
지난	지나/VV+ㄴ/ETM
2009년부터	2009/SN+년/NNB+부터/JX
장애여성이	장애여성/NNG+이/JKS
사회	사회/NNG
일원으로	일원/NNG+으로/JKB
주체적으로	주체적/NNG+으로/JKB
활동하고,	활동하/VV+고/EC+,/SP
스스로	스스로/MAG
자긍심을	자긍심/NNG+을/JKO
갖기	갖/VV+기/ETN
위해	위하/VV+여/EC
개최되고	개최되/VV+고/EC
있다	있/VX+다/EC

행사는	행사/NNG+는/JX
1·2부	1/SN+·/SP+2/SN+부/NNB
행사로	행사/NNG+로/JKB
나뉜다	나뉘/VV+ㄴ다/EF

1부에서는	1/SN+부/NNB+에서/JKB+는/JX
전국	전국/NNG
16개	16/SN+개/NNB
시·도	시/NNG+·/SP+도/NNG
협회	협회/NNG
및	및/MAG
지회의	지회/NNG+의/JKG
리더	리더/NNG
및	및/MAG
실무활동가를	실무활동가/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
체계적인	체계적/NNG+이/VCP+ㄴ/ETM
조직	조직/NNG
관리	관리/NNG
및	및/MAG
회원간의	회원/NNG+간/NNB+의/JKG
유대	유대/NNG
강화를	강화/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
‘셀프	‘/SL+셀프/NNG
리더십에	리더십/NNG+에/JKB
기초한	기초하/VV+ㄴ/ETM
강점	강점/NNG
마케팅	마케팅/NNG
교육’을	교육/NNG+’/SL+을/JKO
실시한다	실시하/VV+ㄴ다/EF

2부에서는	2/SN+부/NNB+에서/JKB+는/JX
전국	전국/NNG
16개	16/SN+개/NNB
시·도	시/NNG+·/SP+도/NNG
협회	협회/NNG
및	및/MAG
지회	지회/NNG
중	중/NNB
한	한/MM
해	해/NNB
동안	동안/NNG
장애여성의	장애여성/NNG+의/JKG
인권과	인권/NNG+과/JC
사회인식개선에	사회인식개선/NNG+에/JKB
있어	있/VA+어/EC
열심히	열심히/MAG
활동한	활동하/VV+ㄴ/ETM
단체	단체/NNG
및	및/MAG
활동가(자원봉사자	활동가/NNG+(/SS+자원봉사자/NNG
포함)들에게	포함/NNG+)/SS+들/XSN+에게/JKB
상장을	상장/NNG+을/JKO
수여한다	수여하/VV+ㄴ다/EF

또한	또한/MAG
내일을	내일/NNG+을/JKO
여는	열/VV+는/ETM
멋진	멋지/VA+ㄴ/ETM
여성	여성/NNG
회원들이	회원/NNG+들/XSN+이/JKS
1년	1/SN+년/NNB
동안	동안/NNG
손수	손수/MAG
리폼	리폼/NNG
및	및/MAG
그림	그림/NNG
작업을	작업/NNG+을/JKO
한	하/VV+ㄴ/ETM
드레스를	드레스/NNG+를/JKO
선보일	선보이/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC
