엄동설한에	엄동설한/NNG+에/JKB
피켓	피켓/NNG
들고	들/VV+고/EC
시위하는	시위하/VV+는/ETM
장애아동	장애아동/NNG
母	母/SL

CBS	CBS/SL
조태임	조태임/NNG
기자자폐성	기자자폐성/NNG
발달장애	발달장애/NNG
1급	1/SN+급/NNG
장애를	장애/NNG+를/JKO
가진	가지/VV+ㄴ/ETM
11살	11/SN+살/NNB
난	나/VV+ㄴ/ETM
아들을	아들/NNG+을/JKO
둔	두/VV+ㄴ/ETM
안	안/NNP
모(36)씨는	모/NP+(/SS+36/SN+)/SS+씨/NNB+는/JX
영하	영하/NNG
10도의	10/SN+도/NNB+의/JKG
맹추위	맹추위/NNG
속에서도	속/NNG+에서/JKB+도/JX
8일째	8/SN+일/NNB+째/XSN
구로구의	구로구/NNP+의/JKG
A장애아동센터	A/SL+장애아동센터/NNG
앞에서	앞/NNG+에서/JKB
피켓	피켓/NNG
시위를	시위/NNG+를/JKO
하고	하/VV+고/EC
있다	있/VX+다/EC

안	안/NNP
씨의	씨/NNB+의/JKG
아들이	아들/NNG+이/JKS
다니던	다니/VV+던/ETM
A센터	A/SL+센터/NNG
원장으로부터	원장/NNG+으로부터/JKB
사과를	사과/NNG+를/JKO
받기	받/VV+기/ETN
위해서다	위하/VV+여/EC+서/VV+다/EC

◈	◈/SW
장애	장애/NNG
아동	아동/NNG
母,	母/SL+,/SP
"학원에서	"/SS+학원/NNG+에서/JKB
맞고	맞/VV+고/EC
왔다"	오/VV+았/EP+다/EF+"/SS
한	한/MM
장애	장애/NNG
아동	아동/NNG
센터에	센터/NNG+에/JKB
다니던	다니/VV+던/ETM
아동의	아동/NNG+의/JKG
얼굴에	얼굴/NNG+에/JKB
든	들/VV+ㄴ/ETM
멍과	멍/NNG+과/JKB
상처를	상처/NNG+를/JKO
놓고	놓/VV+고/EC
진실공방이	진실공방/NNG+이/JKS
벌어지고	벌어지/VV+고/EC
있다	있/VX+다/EC

지난	지나/VV+ㄴ/ETM
7월	7/SN+월/NNB
10일,	10/SN+일/NNB+,/SP
안	안/NNP
씨는	씨/NNB+는/JX
여느	여느/MM
때처럼	때/NNG+처럼/JKB
아들인	아들/NNG+이/VCP+ㄴ/ETM
김	김/NNP
군(11)을	군/NNB+(/SS+11/SN+)/SS+을/JKO
사설	사설/NNG
기관인	기관/NNG+이/VCP+ㄴ/ETM
A	A/SL
장애아동센터에	장애아동센터/NNG+에/JKB
보냈다	보내/VV+었/EP+다/EF

하지만	하지만/MAJ
몇	몇/MM
시간	시간/NNG
뒤	뒤/NNG
집으로	집/NNG+으로/JKB
돌아온	돌아오/VV+ㄴ/ETM
김	김/NNP
군의	군/NNB+의/JKG
양	양/MM
손에서	손/NNG+에서/JKB
멍이	멍/NNG+이/JKS
발견됐다	발견되/VV+었/EP+다/EF

머리와	머리/NNG+와/JC
눈도	눈/NNG+도/JX
부었다	붓/VV+었/EP+다/EF

안	안/NNP
씨는	씨/NNB+는/JX
곧장	곧장/MAG
센터에	센터/NNG+에/JKB
전화를	전화/NNG+를/JKO
했고	하/VV+였/EP+고/EC
센터	센터/NNG
원장인	원장/NNG+이/VCP+ㄴ/ETM
B(33)	B/SL+(/SS+33/SN+)/SS
씨는	씨/NNB+는/JX
“행정	“/SL+행정/NNG
직원이	직원/NNG+이/JKS
때린	때리/VV+ㄴ/ETM
것	것/NNB
같다”며	같/VA+다/EC+”/VX+며/EC
“죄송하다	“/SN+죄송하/VA+다/EC

모든	모든/MM
책임은	책임/NNG+은/JX
센터에서	센터/NNG+에서/JKB
지겠다”고	짓/VV+겠/EP+다”고/EC
사과했다	사과하/VV+였/EP+다/EC

행정	행정/NNG
직원인	직원/NNG+이/VCP+ㄴ/ETM
C(28)	C/SL+(/SS+28/SN+)/SS
씨도	씨/NNB+도/JX
김	김/NNP
군을	군/NNB+을/JKO
때린	때리/VV+ㄴ/ETM
사실을	사실/NNG+을/JKO
인정했다	인정하/VV+었/EP+다/EC

경찰조사가	경찰조사/NNG+가/JKS
시작되자	시작되/VV+자/EC
센터	센터/NNG
측은	측/NNB+은/JX
“아무도	“/SN+아무/NP+도/JX
김	김/NNP
군을	군/NNB+을/JKO
때리지	때리/VV+지/EC
않았다”고	않/VX+았/EP+다/EC+”/SN+고/EC
주장했다	주장하/VV+였/EP+다/EC

센터	센터/NNG
측은	측/NNB+은/JX
“김	“/SN+김/NNP
군이	군/NNB+이/JKS
자해를	자해/NNG+를/JKO
한	하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다”라며	보일/VV+ㄴ다”/EC+이/VCP+라며/EC
말을	말/NNG+을/JKO
바꾸었다	바꾸/VV+었/EP+다/EF

센터	센터/NNG
내에	내/NNB+에/JKB
CCTV가	CCTV/SL+가/JKS
없는데다	없/VA+는데/EC+다/JX
김	김/NNP
군의	군/NNB+의/JKG
의사표현이	의사표현/NNG+이/JKS
정확하지	정확하/VA+지/EC
않아	않/VX+아/EC
더욱	더욱/MAG
혼란을	혼란/NNG+을/JKO
가중	가중/NNG
시켰다	시키/VV+었/EP+다/EC

경찰은	경찰/NNG+은/JX
결국	결국/NNG
주변	주변/NNG
학부모들의	학부모/NNG+들/XSN+의/JKG
진술을	진술/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
C	C/SL
씨를	씨/NNB+를/JKO
기소의견으로	기소의견/NNG+으로/JKB
검찰에	검찰/NNG+에/JKB
송치했다	송치하/VV+였/EP+다/EC

◈	◈/SW
말	말/NNG
바꾼	바꾸/VV+ㄴ/ETM
학원	학원/NNG
측,	측/NNB+,/SP
"때린	"/SS+때리/VV+ㄴ/ETM
적	적/NNB
없다"	없/VA+다/EF+"/SS
…진실공방하지만	…/SE+진실공방하/VA+지만/EC
검찰조사에서	검찰조사/NNG+에서/JKB
새로운	새롭/VA+ㄴ/ETM
주장이	주장/NNG+이/JKS
제기	제기/NNG
됐다	되/VV+었/EP+다/EC

안	안/NNP
씨는	씨/NNB+는/JX
행정직원인	행정직원/NNG+이/VCP+ㄴ/ETM
C	C/SL
씨가	씨/NNB+가/JKC
아닌	아니/VCN+ㄴ/ETM
원장인	원장/NNG+이/VCP+ㄴ/ETM
B	B/SL
씨가	씨/NNB+가/JKS
김	김/NNP
군을	군/NNB+을/JKO
때렸다고	때리/VV+었/EP+다고/EC
주장하고	주장하/VV+고/EC
있다	있/VX+다/EC

녹취록에는	녹취/NNG+록/XSN+에/JKB+는/JX
원장인	원장/NNG+이/VCP+ㄴ/ETM
B	B/SL
씨가	씨/NNB+가/JKS
C	C/SL
씨가	씨/NNB+가/JKS
때린	때리/VV+ㄴ/ETM
걸로	걸/NNG+로/JKB
해서	하/VV+여서/EC
미안하다는	미안하/VA+다는/ETM
취지의	취지/NNG+의/JKG
말이	말/NNG+이/JKS
담겨	담기/VV+어/EC
있기	있/VX+기/ETN
때문이다	때문/NNB+이/VCP+다/EC

녹취록에는	녹취/NNG+록/XSN+에/JKB+는/JX
B	B/SL
씨가	씨/NNB+가/JKS
“내가	“/SN+내/NNB+가/JKS
때린	때리/VV+ㄴ/ETM
것도	것/NNB+도/JX
맞고	맞/VV+고/EC
내가	내/NP+가/JKS
그걸	그것/NP+ㄹ/JKO
묵인	묵인/NNG
한	하/VV+ㄴ/ETM
것도	것/NNB+도/JX
사실이야	사실/NNG+이야/JX

결과적으로	결과적/NNG+으로/JKB
내가	내/NP+가/JKS
잘못한	잘못하/VV+ㄴ/ETM
게	것/NNB+이/JKS
맞아	맞/VV+아/EC

하지만	하지만/MAJ
너한테	너/NP+한테/JKB
뒤집어씌운	뒤집어씌우/VV+ㄴ/ETM
것	것/NNB
내가	내/NP+가/JKS
미안해”라고	미안하/VA+여/EC+”/VX+라고/EC
C	C/SL
씨에게	씨/NNB+에게/JKB
말하는	말하/VV+는/ETM
내용이	내용/NNG+이/JKS
나와	나오/VV+아/EC
있다	있/VX+다/EF

또	또/MAG
“머리는	“/SL+머리/NNG+는/JX
얘기	얘기/NNG
하지	하/VV+지/EC
마	말/VX

손등만	손등/NNG+만/JX
때렸다고	때리/VV+었/EP+다고/EC
그래”라고	그리하/VV+여”라고/EC
말한다	말하/VV+ㄴ다/EF

안	안/NNP
씨는	씨/NNB+는/JX
녹취록의	녹취/NNG+록/XSN+의/JKG
내용을	내용/NNG+을/JKO
근거로	근거/NNG+로/JKB
“원장이	“/SN+원/NNB+장/XSN+이/JKS
김	김/NNP
군을	군/NNB+을/JKO
폭행한	폭행하/VV+ㄴ/ETM
뒤에	뒤/NNG+에/JKB
행정	행정/NNG
직원인	직원/NNG+이/VCP+ㄴ/ETM
C씨에게	C/SL+씨/NNB+에게/JKB
폭행	폭행/NNG
혐의를	혐의/NNG+를/JKO
씌우는	씌우/VV+는/ETM
것으로	것/NNB+으로/JKB
추정	추정/NNG
된다”고	되/VV+ㄴ다/EC+”/VV+고/EC
설명했다	설명하/VV+었/EP+다/EC

녹취록에	녹취/NNG+록/XSN+에/JKB
대해	대하/VV+여/EC
B원장은	B/SL+원장/NNG+은/JX
"녹취록의	"/SS+녹취/NNG+록/XSN+의/JKG
내용은	내용/NNG+은/JX
학원에서	학원/NNG+에서/JKB
일어난	일어나/VV+ㄴ/ETM
모든	모든/MM
일에	일/NNG+에/JKB
대해서는	대하/VV+여서/EC+는/JX
학원이	학원/NNG+이/JKS
책임이	책임/NNG+이/JKS
있다는	있/VA+다는/ETM
취지에서	취지/NNG+에서/JKB
'내가	'/SS+내/NP+가/JKS
책임을	책임/NNG+을/JKO
지겠다'고	짓/VV+겠/EP+다/EF+'/SS+고/JKQ
말했다"며	말하/VV+였/EP+다/EF+"/SS+며/EC
"김	"/SS+김/NNP
군의	군/NNB+의/JKG
부모님을	부모님/NNG+을/JKO
안심시키기	안심/NNG+시키/XSV+기/ETN
위해	위하/VV+여/EC
해명한	해명하/VV+ㄴ/ETM
내용을	내용/NNG+을/JKO
직원에게	직원/NNG+에게/JKB
설명했을	설명하/VV+였/EP+을/ETM
뿐	뿐/NNB
폭행을	폭행/NNG+을/JKO
인정한	인정하/VV+ㄴ/ETM
것이	것/NNB+이/JKC
아니다"라고	아니/VCN+다/EF+"/SS+라고/JKQ
밝혔다	밝히/VV+었/EP+다/EC

C	C/SL
씨는	씨/NNB+는/JX
"억울한	"/SS+억울하/VA+ㄴ/ETM
면이	면/NNG+이/JKS
있다”며	있/VA+다/EC+”/VX+며/EC
“학원이	“/SN+학원/NNG+이/JKS
공개가	공개/NNG+가/JKC
돼	되/VV+어/EC
있는데다	있/VX+는데/EC+다/JX
방음	방음/NNG
시설도	시설/NNG+도/JX
잘	잘/MAG
돼	되/VV+어/EC
있지	있/VX+지/EC
않기	않/VX+기/ETN
때문에	때문/NNB+에/JKB
폭행이	폭행/NNG+이/JKS
일어날	일어나/VV+ㄹ/ETM
수가	수/NNB+가/JKS
없다"고	없/VA+다/EF+"/SS+고/JKQ
말을	말/NNG+을/JKO
아꼈다	아끼/VV+었/EP+다/EF

C	C/SL
씨에	씨/NNB+에/JKB
대해서만	대하/VV+여서/EC+만/JX
고소를	고소/NNG+를/JKO
진행했던	진행하/VV+였/EP+던/ETM
안	안/NNP
씨는	씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
4일	4/SN+일/NNB
장애	장애/NNG
아동	아동/NNG
센터	센터/NNG
원장에	원장/NNG+에/JKB
대해서도	대하/VV+여서/EC+도/JX
고소장을	고소장/NNG+을/JKO
