장애아동도	장애아동/NNG+도/JX
제대로	제대로/MAG
된	되/VV+ㄴ/ETM
쇼핑카트가	쇼핑카트/NNG+가/JKS
필요하다	필요하/VA+다/EC

미국에는	미국/NNP+에/JKB+는/JX
6세에서	6/SN+세/NNB+에서/JKB
14세까지	14/SN+세/NNB+까지/JX
사이에	사이/NNG+에/JKB
160만명이라는	160/SN+만/NR+명/NNB+이/VCP+라는/ETM
중증장애어린이가	중증장애어린이/NNG+가/JKS
있다	있/VA+다/EC

부모들이	부모/NNG+들/XSN+이/JKS
그	그/MM
장애아동들을	장애아동/NNG+들/XSN+을/JKO
데리고	데리/VV+고/EC
쇼핑을	쇼핑/NNG+을/JKO
하기가	하/VV+기/ETN+가/JKS
그리	그리/MAG
쉽지만은	쉽/VA+지/EC+만은/JX
않다	않/VX+다/EC

제일	제일/MAG
큰	크/VA+ㄴ/ETM
문제가	문제/NNG+가/JKS
쇼핑	쇼핑/NNG
카트다	카트다/NNP

쇼핑	쇼핑/NNG
카트가	카트/NNP+가/JKS
비	비/XPN
장애	장애/NNG
아동	아동/NNG
위주로	위주/NNG+로/JKB
제작되어있어	제작되/VV+어/EC+있/VX+어/EC
장애	장애/NNG
아동을	아동/NNG+을/JKO
태우기가	태우/VV+기/ETN+가/JKS
여간	여간/MAG
어려운	어렵/VA+ㄴ/ETM
게	것/NNB+이/JKC
아니다	아니/VCN+다/EC

그렇다고	그렇/VA+다고/EC
휠체어와	휠체어/NNG+와/JC
쇼핑	쇼핑/NNG
카트를	카트/NNG+를/JKO
함께	함께/MAG
밀고	밀/VV+고/EC
다닌다는	다니/VV+ㄴ다는/ETM
것도	것/NNB+도/JX
불가능한	불가능하/VA+ㄴ/ETM
것이다	것/NNB+이/VCP+다/EC

중증	중증/NNG
장애	장애/NNG
아동을	아동/NNG+을/JKO
둔	두/VV+ㄴ/ETM
앤롱과	앤롱/NNG+과/JC
그의	그/NP+의/JKG
남편	남편/NNG
데이빗은	데이빗/NNP+은/JX
이런	이런/MM
불편을	불편/NNG+을/JKO
덜기	덜/VV+기/ETN
위해	위하/VV+여/EC
장애	장애/NNG
아동용	아동용/NNG
쇼핑	쇼핑/NNG
카트를	카트/NNG+를/JKO
만들어	만들/VV+어/EC
보급하고	보급하/VV+고/EC
있다	있/VX+다/EC

카트의	카트/NNP+의/JKG
이름도	이름/NNG+도/JX
장애	장애/NNG
딸	딸/NNG
캐롤라인의	캐롤라인/NNP+의/JKG
이름을	이름/NNG+을/JKO
따	따/VV+아/EC
'캐롤라인	'/SS+캐롤라인/NNP
카트'로	카트/NNG+'/SS+로/JKB
지었다	짓/VV+었/EP+다/EC

그녀는	그녀/NP+는/JX
홈페이지에서	홈페이지/NNG+에서/JKB
동영상을	동영상/NNG+을/JKO
통해	통하/VV+여/EC
직접	직접/MAG
시범을	시범/NNG+을/JKO
보이며	보이/VV+며/EC
모든	모든/MM
장애아동들이	장애아동/NNG+들/XSN+이/JKS
편리하게	편리하/VA+게/EC
쇼핑카트를	쇼핑카트/NNG+를/JKO
