‘장애+여성’	‘/SL+장애/NNG++/SW+여성/NNG+’/SL
이중적	이중적/NNG
차별	차별/NNG
호소	호소/NNG

3일	3/SN+일/NNB
오전	오전/NNG
10시	10/SN+시/NNB

서울	서울/NNP
여의도	여의도/NNP
거리에는	거리/NNG+에/JKB+는/JX
여성장애인	여성장애인/NNG
300여명이	300/SN+여/XSN+명/NNB+이/JKS
운집해	운집하/VV+여/EC
있었다	있/VX+었/EP+다/EF

이유는	이유/NNG+는/JX
‘제11회	‘/SL+제/XPN+11/SN+회/NNB
한국여성장애인대회’의	한국/NNP+여성장애인대회/NNG+’/SL+의/JKG
일환으로	일환/NNG+으로/JKB
마련된	마련되/VV+ㄴ/ETM
거리	거리/NNG
퍼레이드에	퍼레이드/NNG+에/JKB
동참하기	동참하/VV+기/ETN
위해서다	위하/VV+여서다/EC

이들은	이/NP+들/XSN+은/JX
거리를	거리/NNG+를/JKO
돌며	돌/VV+며/EC
‘여성’과	‘/SN+여성/XSN+’/SL+과/JC
‘장애’의	‘/SN+장애/NNB+’/SL+의/JKG
이중적	이중적/NNG
차별과	차별/NNG+과/JC
어려움을	어려움/NNG+을/JKO
토로하며,	토로하/VV+며/EC+,/SP
사회에서	사회/NNG+에서/JKB
차별	차별/NNG
받지	받/VV+지/EC
않고	않/VX+고/EC
살아갈	살아가/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
정책을	정책/NNG+을/JKO
마련하는데	마련하/VV+는/ETM+데/NNB
있어	있/VA+어/EC
참여할	참여하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
권리	권리/NNG
보장의	보장/NNG+의/JKG
목소리를	목소리/NNG+를/JKO
높였다	높이/VV+었/EP+다/EF

특히	특히/MAG
이들은	이/NP+들/XSN+은/JX
참정권	참정권/NNG
보장을	보장/NNG+을/JKO
위해	위하/VV+여/EC
정책	정책/NNG
결정	결정/NNG
과정에	과정/NNG+에/JKB
여성장애인	여성장애인/NNG
의견	의견/NNG
반영	반영/NNG
여성장애인	여성장애인/NNG
정책	정책/NNG
개발	개발/NNG
및	및/MAG
예산	예산/NNG
배정	배정/NNG
여성장애인	여성장애인/NNG
정책기구	정책기구/NNG
및	및/MAG
전담부서	전담부서/NNG
설치	설치/NNG
여성장애인기본법	여성장애인기본법/NNG
제정	제정/NNG
여성장애인	여성장애인/NNG
장애특성과	장애특성/NNG+과/JC
몸의	몸/NNG+의/JKG
조건에	조건/NNG+에/JKB
맞는	맞/VV+는/ETM
참정권	참정권/NNG
보장	보장/NNG
투표소	투표소/NNG
접근권을	접근권/NNG+을/JKO
보장	보장/NNG
및	및/MAG
성별·장애유형에	성별/NNG+·/SP+장애유형/NNG+에/JKB
맞는	맞/VV+는/ETM
활동보조인	활동보조/NNG+이/VCP+ㄴ/ETM
배치	배치/NNG
선거방송	선거방송/NNG
수화통역	수화통역/NNG
의무화	의무화/NNG
및	및/MAG
선거용	선거/NNG+용/XSN
자료	자료/NNG
점자화	점자화/NNG
등을	등/NNB+을/JKO
제시했다	제시하/VV+였/EP+다/EC

한국여성장애인연합	한국/NNP+여성장애인연합/NNG
권순기	권순기/NNP
상임대표는	상임대표/NNG+는/JX
“우리	“/SL+우리/NP
사회	사회/NNG
여성장애인은	여성장애인/NNG+은/JX
여성과	여성/NNG+과/JC
장애,	장애/NNG+,/SP
빈곤	빈곤/NNG
등	등/NNB
중첩된	중첩되/VV+ㄴ/ETM
차별과	차별/NNG+과/JC
편견	편견/NNG
속에서	속/NNG+에서/JKB
살아가고	살아가/VV+고/EC
있다”며	있/VX+다/EC+”/VV+며/EC
“교육과	“/SW+교육/NNG+과/JC
노동,	노동/NNG+,/SP
성적자기결정권	성적자기결정/NNG+권/XSN
등	등/NNB
삶의	삶/NNG+의/JKG
각	각/MM
영역에서	영역/NNG+에서/JKB
기본적인	기본적/NNG+이/VCP+ㄴ/ETM
권리조차	권리/NNG+조차/JX
보장받지	보장/NNG+받/VV+지/EC
못한	못하/VX+ㄴ/ETM
채	채/NNB
집안,	집안/NNG+,/SP
시설,	시설/NNG+,/SP
지역사회,	지역사회/NNG+,/SP
법과	법/NNG+과/JC
사회제도	사회제도/NNG
등에서	등/NNB+에서/JKB
소외된	소외되/VV+ㄴ/ETM
삶을	삶/NNG+을/JKO
살아가고	살아가/VV+고/EC
있다”고	있/VX+다/EC+”/VV+고/EC
현실을	현실/NNG+을/JKO
전했다	전하/VV+었/EP+다/EC

이어	이어/MAG
“모든	“/SL+모든/MM
정책결정과정에서	정책결정과정/NNG+에서/JKB
여성장애인의	여성장애인/NNG+의/JKG
의사는	의사/NNG+는/JX
전혀	전혀/MAG
반영되지	반영되/VV+지/EC
않고	않/VX+고/EC
성별통계와	성별통계/NNG+와/JC
성별예산	성별예산/NNG
조차	조차/JX
확보되지	확보되/VV+지/EC
않아	않/VX+아/EC
전	전/MM
생애주기에	생애주기/NNG+에/JKB
걸쳐	걸치/VV+어/EC
정책의	정책/NNG+의/JKG
수혜범위에서	수혜범위/NNG+에서/JKB
배제된	배제되/VV+ㄴ/ETM
채	채/NNB
살아가고	살아가/VV+고/EC
있다”면서	있/VX+다/EC+”/VV+면서/EC
“200만	“/SL+200/SN+만/NR
여성장애인	여성장애인/NNG
유권자를	유권자/NNG+를/JKO
대표해	대표하/VV+여/EC
7가지	7/SN+가지/NNB
요구를	요구/NNG+를/JKO
현실화하라”고	현실화하/VV+라/EC+”/SN+고/EC
촉구했다	촉구하/VV+였/EP+다/EC

한편	한편/MAG
‘제11회	‘/SN+제/XPN+11/SN+회/NNB
한국여성장애인대회’는	한국/NNP+여성장애인대회/NNG+’/SL+는/JX
이날	이날/NNG
거리	거리/NNG
퍼레이드	퍼레이드/NNG
이후	이후/NNG
폐막식을	폐막식/NNG+을/JKO
갖고,	갖/VV+고/EC+,/SP
1박	1/SN+박/NNB
2일	2/SN+일/NNB
