그늘	그늘/NNG
속	속/NNG
고위험	고/XPN+위험/NNG
여성장애인들의	여성장애인/NNG+들/XSN+의/JKG
눈물	눈물/NNG

“여자	“/SN+여/XSN+이/VCP+자/EC
혼자	혼자/NNG
살아가다가	살아가/VV+다가/EC
아무도	아무/NP+도/JX
모르게	모르/VV+게/EC
죽어버리면	죽/VV+어/EC+버리/VX+면/EC
얼마나	얼마나/MAG
외로울까요?	외로/NNG+울/VCP+까/EF+요/JX+?/SF
너무	너무/MAG
두렵고	두렵/VA+고/EC
외롭습니다	외롭/VA+습니다/EF

”가족	”/SL+가족/NNG
및	및/MAG
사회적	사회적/NNG
지원이	지원/NNG+이/JKS
부족해	부족하/VA+여/EC
사회	사회/NNG
내	내/NNB
가장	가장/MAG
열악한	열악하/VA+ㄴ/ETM
지원체계를	지원체계/NNG+를/JKO
갖고	갖/VV+고/EC
있는	있/VX+는/ETM
여성장애인	여성장애인/NNG

이들	이/NP+들/XSN
중에서도	중/NNB+에서/JKB+도/JX
사각시대에	사각시대/NNG+에/JKB
빠져있는	빠지/VV+어/EC+있/VX+는/ETM
소집단이	소집단/NNG+이/JKS
있다	있/VA+다/EF

바로	바로/MAG
40~60대	40/SN+~/SO+60/SN+대/NNB
중증장애	중증장애/NNG
저소득	저소득/NNG
만성질환	만성질환/NNG
독신	독신/NNG
저학력	저학력/NNG
등에	등/NNB+에/JKB
포함된	포함되/VV+ㄴ/ETM
고위험	고/XPN+위험/NNG
여성장애인	여성장애인/NNG

사회	사회/NNG
내	내/NNB
가장	가장/MAG
열악한	열악하/VA+ㄴ/ETM
지원을	지원/NNG+을/JKO
받는	받/VV+는/ETM
집단임에도	집단/NNG+이/VCP+ㅁ에도/EC
연구조차	연구/NNG+조차/JX
전무한	전무하/VA+ㄴ/ETM
고위험	고/XPN+위험/NNG
여성장애인들을	여성장애인/NNG+들/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
노후정책이	노후정책/NNG+이/JKS
마련되야	마련되/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
목소리가	목소리/NNG+가/JKS
제기됐다	제기되/VV+었/EP+다/EF

2012	2012/SN
장애인	장애인/NNG
정책기획단	정책기획/NNG+단/XSN
여성분과장이자,	여성분과장/NNG+이/VCP+자/EC+,/SP
가톨릭대학교	가톨릭대학교/NNP
사회복지학과	사회복지학과/NNG
오혜경	오혜경/NNP
교수는	교수/NNG+는/JX
23일	23/SN+일/NNB
오후	오후/NNG
여의도	여의도/NNP
이룸센터에서	이룸센터/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
‘2012	‘2012/SN
장애인정책기획단’	장애인정책기획/NNG+단/XSN+’/SL
최종	최종/NNG
발표회에서	발표회/NNG+에서/JKB
‘고위험	‘/SN+고위험/NNG
여성장애인의	여성장애인/NNG+의/JKG
노후대책에	노후대책/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
연구’	연구’/NNG
내용을	내용/NNG+을/JKO
발표하며	발표하/VV+며/EC
이	이/NP
같이	같이/MAG
주장했다	주장하/VV+였/EP+다/EC

먼저	먼저/MAG
오	오/NNP
교수는	교수/NNG+는/JX
2009년	2009/SN+년/NNB
노후보장패널	노후보장패널/NNG
3차년도	3/SN+차년/NNB+도/JX
조사를	조사/NNG+를/JKO
인용,	인용/NNG+,/SP
‘노후준비를	‘/SL+노후준비/NNG+를/JKO
한다’는	하/VV+ㄴ다/EF+’/SL+는/JX
질문에	질문/NNG+에/JKB
여성장애인이	여성장애인/NNG+이/JKS
14	14/SN

8%로	8/SN+%/SW+로/JKB
매우	매우/MAG
낮다며,	낮/VA+다며/EC+,/SP
여성장애인들의	여성장애인/NNG+들/XSN+의/JKG
노후대책을	노후대책/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
지원방안	지원방안/NNG
모색이	모색/NNG+이/JKS
필요성을	필요성/NNG+을/JKO
역설했다	역설하/VV+였/EP+다/EF

현재	현재/MAG
고위험	고/XPN+위험/NNG
여성장애인으로	여성장애인/NNG+으로/JKB
분류되는	분류되/VV+는/ETM
40~60대	40/SN+~/SO+60/SN+대/NNB
중년의	중년/NNG+의/JKG
여성장애인의	여성장애인/NNG+의/JKG
수는	수/NNG+는/JX
총	총/MM
55만265명	55/SN+만/NR+265/SN+명/NNB

이중	이/MM+중/NNB
지원이	지원/NNG+이/JKS
절실한	절실하/VA+ㄴ/ETM
고위험	고/XPN+위험/NNG
여성장애인은	여성장애인/NNG+은/JX
1만2792명이다	1/SN+만/NR+2792/SN+명/NNB+이/VCP+다/EC

이들은	이/NP+들/XSN+은/JX
여성장애인	여성장애인/NNG
40~60대	40/SN+~/SO+60/SN+대/NNB
중증	중증/NNG
저소득	저소득/NNG
만성질환	만성질환/NNG
유	유/NNG
독신	독신/NNG
저학력	저학력/NNG
등이	등/NNB+이/JKS
모두	모두/MAG
포함된다	포함되/VV+ㄴ다/EC

이	이/NP
같은	같/VA+은/ETM
고위험	고/XPN+위험/NNG
여성장애인은	여성장애인/NNG+은/JX
보건의료,	보건의료/NNG+,/SP
일상생활,	일상생활/NNG+,/SP
복지서비스	복지서비스/NNG
등에서	등/NNB+에서/JKB
모두	모두/MAG
사각시대에	사각시대/NNG+에/JKB
빠져있다	빠지/VV+어/EC+있/VX+다/EF

보건복지부	보건복지부/NNG
자료를	자료/NNG+를/JKO
분석한	분석하/VV+ㄴ/ETM
결과,	결과/NNG+,/SP
전체	전체/NNG
여성장애인의	여성장애인/NNG+의/JKG
56	56/SN

3%가	3/SN+%/SW+가/JKS
건강상태가	건강상태/NNG+가/JKS
나쁘다고	나쁘/VA+다고/EC
답한	답하/VV+ㄴ/ETM
반면,	반면/NNG+,/SP
고위험	고/XPN+위험/NNG
여성장애인일	여성장애인일/NNG
경우,	경우/NNG+,/SP
74	74/SN

9%로	9/SN+%/SW+로/JKB
월등히	월등히/MAG
높았다	높/VA+았/EP+다/EC

일상생활에서도	일상생활/NNG+에서/JKB+도/JX
남의	남/NNG+의/JKG
도움이	도움/NNG+이/JKS
필요하다는	필요하/VA+다는/ETM
답변에서도	답변/NNG+에서/JKB+도/JX
전체	전체/NNG
여성장애인이	여성장애인/NNG+이/JKS
30	30/SN

5%으로	5/SN+%/SW+으로/JKB
적은	적/VA+은/ETM
반면,	반면/NNG+,/SP
고위험	고/XPN+위험/NNG
여성장애인일	여성장애인일/NNG
경우	경우/NNG
74	74/SN

1%로	1/SN+%/SW+로/JKB
2배가	2/SN+배/NNG+가/JKS
넘는	넘/VV+는/ETM
차이가	차이/NNG+가/JKS
났다	나/VV+았/EP+다/EC

남성에	남성/NNG+에/JKB
비해	비하/VV+여/EC
상대적으로	상대적/NNG+으로/JKB
긴	길/VA+ㄴ/ETM
노후를	노후/NNG+를/JKO
보내고	보내/VV+고/EC
있는	있/VX+는/ETM
고위험	고/XPN+위험/NNG
여성장애인들의	여성장애인/NNG+들/XSN+의/JKG
지원에	지원/NNG+에/JKB
‘빨간불’이	‘/SN+빨간불’/NNG+이/JKS
켜진	켜/VV+어/EC+지/VX+ㄴ/ETM
