성폭행범	성폭행/NNG+범/XSN
‘부정입학’	‘/SN+부정입학/NNG+’/SN
도운	돕/VV+ㄴ/ETM
교사	교사/NNG
‘고발’	‘/SN+고발/NNG+’/SN

‘대전	‘/SL+대전/NNG
지적장애	지적장애/NNG
여중생	여중생/NNG
집단	집단/NNG
성폭행	성폭행/NNG
사건	사건/NNG
진상조사위원회(이하	진상조사위원회/NNG+(/SS+이하/NNG
진상조사위원회)’가	진상조사위원회/NNG+)/SS+’/SL+가/JKS
성폭행	성폭행/NNG
가해	가하/VV+여/EC
학생을	학생/NNG+을/JKO
비롯해	비롯하/VV+여/EC
부정입학시킨	부정입학/NNG+시키/XSV+ㄴ/ETM
학교	학교/NNG
관계자	관계자/NNG
등	등/NNB
총	총/MM
6명을	6/SN+명/NNB+을/JKO
‘업무방해죄’와	‘/SN+업무방해죄/NNG+’/SL+와/JC
‘교육공무원법	‘/SL+교육공무원법/NNG
위반혐의’로	위반혐의’/NNG+로/JKB
검찰에	검찰/NNG+에/JKB
고발했다	고발하/VV+였/EP+다/EF

진상조사위원회는	진상조사위원회/NNG+는/JX
9일	9/SN+일/NNB
오후	오후/NNG
2시	2/SN+시/NNB
30분	30/SN+분/NNB
서울중앙지검	서울중앙지검/NNP
앞에서	앞/NNG+에서/JKB
기자회견을	기자회견/NNG+을/JKO
갖고,	갖/VV+고/EC+,/SP
향후	향후/NNG
장애	장애/NNG
학생의	학생/NNG+의/JKG
성폭력	성폭력/NNG
피해	피해/NNG
방지를	방지/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
대책을	대책/NNG+을/JKO
주문했다	주문하/VV+였/EP+다/EF

이	이/MM
사건은	사건/NNG+은/JX
지난	지나/VV+ㄴ/ETM
2010년	2010/SN+년/NNB
16명의	16/SN+명/NNB+의/JKG
고등학생들이	고등학생/NNG+들/XSN+이/JKS
지적장애	지적장애/NNG
여중생을	여중생/NNG+을/JKO
집단으로	집단/NNG+으로/JKB
여러	여러/MM
차례	차례/NNG
성폭행을	성폭행/NNG+을/JKO
저질렀고	저지르/VV+었/EP+고/EC
가해자들은	가해자/NNG+들/XSN+은/JX
‘미성년자’라는	‘/SN+미성년자’/NNG+이/VCP+라는/ETM
이유로	이유/NNG+로/JKB
보호관찰	보호관찰/NNG
1년과	1/SN+년/NNB+과/JC
수강명령	수강명령/NNG
40시간을	40/SN+시간/NNB+을/JKO
선고	선고/NNG
받았다	받/VV+았/EP+다/EC

가해	가해/NNG
학생	학생/NNG
중	중/NNB
1명이	1/SN+명/NNB+이/JKS
담당교사의	담당교사/NNG+의/JKG
'봉사왕'	'/SS+봉사왕/NNG+'/SS
이라는	이/VCP+라는/ETM
이름	이름/NNG
아래	아래/NNG
입학사정관제	입학사정관/NNG+제/XSN
리더십전형으로	리더십전형/NNG+으로/JKB
성균관대학교에	성균관대학교/NNP+에/JKB
입학하게	입학하/VV+게/EC
된	되/VV+ㄴ/ETM
사실이	사실/NNG+이/JKS
드러났다	드러나/VV+았/EP+다/EC

더욱이	더욱이/MAG
이	이/MM
학생은	학생/NNG+은/JX
성폭행	성폭행/NNG
사건을	사건/NNG+을/JKO
저지른	저지르/VV+ㄴ/ETM
후에도	후/NNG+에/JKB+도/JX
학급	학급/NNG
임원을	임원/NNG+을/JKO
그만두지	그만두/VV+지/EC
않았고,	않/VX+았/EP+고/EC+,/SP
교사들에게	교사/NNG+들/XSN+에게/JKB
3차례	3/SN+차례/NNG
봉사상을	봉사상/NNG+을/JKO
수여받기도	수여받/VV+기/ETN+도/JX
했다	하/VX+였/EP+다/EF

이	이/NP
같은	같/VA+은/ETM
사실이	사실/NNG+이/JKS
수면	수면/NNG
위로	위/NNG+로/JKB
떠오르자	떠오르/VV+자/EC
지난	지나/VV+ㄴ/ETM
9월	9/SN+월/NNB
해당	해당/NNG
대학은	대학/NNG+은/JX
이	이/MM
학생을	학생/NNG+을/JKO
‘허위	‘/SN+허위/NNG
추천서를	추천서/NNG+를/JKO
제출해	제출하/VV+여/EC
부정입학했다’는	부정/NNG+입학하/VV+였/EP+다/EC+’/SL+는/JX
이유로	이유/NNG+로/JKB
입학을	입학/NNG+을/JKO
취소시켰다	취소/NNG+시키/XSV+었/EP+다/EF

허위	허위/NNG
추천서를	추천서/NNG+를/JKO
작성해	작성하/VV+여/EC
준	주/VX+ㄴ/ETM
담임교사와	담임교사/NNG+와/JC
학생부장은	학생부장/NNG+은/JX
정직	정직/NNG
3개월의	3/SN+개월/NNB+의/JKG
징계를	징계/NNG+를/JKO
받는	받/VV+는/ETM
등의	등/NNB+의/JKG
경징계	경징계/NNG
조치를	조치/NNG+를/JKO
받은	받/VV+은/ETM
것으로	것/NNB+으로/JKB
알려졌다	알려지/VV+었/EP+다/EF

이에	이/NP+에/JKB
진상조사위원회는	진상조사위원회/NNG+는/JX
해당	해당/NNG
학생	학생/NNG
뿐만	뿐/NNB+만/JX
아니라	아니/VCN+라/EC
학교	학교/NNG
담임교사,	담임교사/NNG+,/SP
학년지도부장	학년지도부장/NNG
교사,	교사/NNG+,/SP
교감,	교감/NNG+,/SP
교장	교장/NNG
등	등/NNB
학교	학교/NNG
관계자	관계자/NNG
총	총/MM
6명에	6/SN+명/NNB+에/JKB
대해	대하/VV+여/EC
성균관대학교의	성균관대학교/NNP+의/JKG
입시업무를	입시업무/NNG+를/JKO
방해한	방해하/VV+ㄴ/ETM
것이라고	것/NNB+이/VCP+라고/EC
보고,	보/VV+고/EC+,/SP
‘업무방해죄’와	‘/SN+업무방해죄/NNG+’/SL+와/JC
‘교육공무원법	‘/SL+교육공무원법/NNG
위반’으로	위반/NNG+’/SL+으로/JKB
검찰	검찰/NNG
고발에	고발/NNG+에/JKB
이르렀다	이르/VV+었/EP+다/EC

이날	이날/NNG
규탄발언자로	규탄발언자/NNG+로/JKB
나선	나서/VV+ㄴ/ETM
대전장애인부모연대	대전장애인부모연대/NNP
최명진	최명진/NNP
대표는	대표/NNG+는/JX
“교사의	“/SN+교사/NNG+의/JKG
행동과	행동/NNG+과/JC
교육청의	교육청/NNG+의/JKG
미온적인	미온적/NNG+이/VCP+ㄴ/ETM
태도로	태도/NNG+로/JKB
인해	인하/VV+여/EC
해당	해당/NNG
가해자가	가해자/NNG+가/JKS
부정입학까지	부정입학/NNG+까지/JX
이르게	이르/VA+게/EC
됐다”면서	되/VV+었/EP+다/EC+”/VV+면서/EC
“대부분	“/SL+대부분/NNG
장애인의	장애인/NNG+의/JKG
성폭력은	성폭력/NNG+은/JX
1대	1/SN+대/NNB
다수로	다수/NNG+로/JKB
이뤄지며,	이루어/VV+지/VX+며/EC+,/SP
‘약자’라는	‘/SN+약자’/NNG+이/VCP+라는/ETM
특성을	특성/NNG+을/JKO
이용해	이용하/VV+여/EC
이뤄진다는	이루어지/VV+ㄴ다는/ETM
점을	점/NNG+을/JKO
보면,	보/VV+면/EC+,/SP
교육청과	교육청/NNG+과/JC
학교	학교/NNG
당국은	당국/NNG+은/JX
성폭력	성폭력/NNG
가해	가해/NNG
학생에	학생/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
처벌	처벌/NNG
기준과	기준/NNG+과/JC
성폭력	성폭력/NNG
사건의	사건/NNG+의/JKG
재발	재발/NNG
방지를	방지/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
재교육	재교육/NNG
프로그램을	프로그램/NNG+을/JKO
마련해야	마련하/VV+여야/EC
된다”고	되/VV+ㄴ다/EC+”/VV+고/EC
목소리	목소리/NNG
냈다	내/VV+었/EP+다/EF

이어	이어/MAG
최	최/NNP
대표는	대표/NNG+는/JX
“장애아이를	“/SL+장애아이/NNG+를/JKO
키우는	키우/VV+는/ETM
부모로서	부모/NNG+로서/JKB
내	나/NP+의/JKG
아이의	아이/NNG+의/JKG
일이	일/NNG+이/JKC
