‘기적	‘/SL+기적/NNG
같지만,	같/VA+지만/EC+,/SP
기적이	기적/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
이야기’	이야기/NNG+’/SN

“힘들고	“/SN+힘들/VA+고/EC
괴로울	괴롭/VA+ㄹ/ETM
때마다	때/NNG+마다/JX
가족과	가족/NNG+과/JKB
함께	함께/MAG
할	하/VV+ㄹ/ETM
수	수/NNB
있어서	있/VA+어서/EC
어떤	어떤/MM
역경도	역경/NNG+도/JX
이겨낼	이기/VV+어/EC+내/VX+ㄹ/ETM
수	수/NNB
있었어요	있/VA+었/EP+어요/EF

”뇌성마비	”뇌성마비/NNG
4급	4/SN+급/NNG
장애여성으로	장애여성/NNG+으로/JKB
미국	미국/NNP
조지메이슨대	조지메이슨대/NNP
교수로	교수/NNG+로/JKB
재직하고	재직하/VV+고/EC
있는	있/VX+는/ETM
정유선	정유선/NNP
씨(42세)와	씨/NNB+(/SS+42/SN+세/NNB+)/SS+와/JC
그녀의	그녀/NP+의/JKG
어머니	어머니/NNG
김희선	김희선/NNP
씨(71세)가	씨/NNB+(/SS+71/SN+세/NNB+)/SS+가/JKS
강단에	강단/NNG+에/JKB
올랐다	오르/VV+았/EP+다/EC

재단법인	재단법인/NNG
파라다이스복지재단(이사장	파라다이스복지재단/NNP+(/SS+이사장/NNG
윤성태)이	윤성태/NNP+)/SS+이/JKS
25일	25/SN+일/NNB
여의도	여의도/NNP
이룸센터에서	이룸센터/NNG+에서/JKB
개최한	개최하/VV+ㄴ/ETM
'장애인	'/SS+장애인/NNG
부모를	부모/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
특별강연회'에	특별강연회/NNG+'/SS+에/JKB
강연자로	강연자/NNG+로/JKB
나선	나서/VV+ㄴ/ETM
것	것/NNB

정	정/NNP
씨는	씨/NNB+는/JX
출생	출생/NNG
직후	직후/NNG
심한	심하/VA+ㄴ/ETM
황달을	황달/NNG+을/JKO
앓은	앓/VV+은/ETM
뒤	뒤/NNG
뇌성마비	뇌성마비/NNG
장애를	장애/NNG+를/JKO
입게	입/VV+게/EC
됐다	되/VV+었/EP+다/EC

당시	당시/NNG
어머니	어머니/NNG
김씨는	김/NNP+씨/NNB+는/JX
‘이시스터즈’의	‘/SN+이시스터즈/NNP+’/SL+의/JKG
멤버로	멤버/NNG+로/JKB
‘울릉도	‘/SN+울릉/NNB+도/JX
트위스트’,	트위스트’/NNG+,/SP
‘별들에게	‘/SN+별들/XSN+에게/JKB
물어봐’	물어보/VV+아/EC+’/SN
등의	등/NNB+의/JKG
대표곡으로	대표곡/NNG+으로/JKB
인기를	인기/NNG+를/JKO
누리던	누리/VV+던/ETM
가수였다	가수/NNG+이/VCP+었/EP+다/EF

하지만	하지만/MAJ
딸이	딸/NNG+이/JKS
뇌성마비	뇌성마비/NNG
장애판정을	장애판정/NNG+을/JKO
받은	받/VV+은/ETM
뒤	뒤/NNG
가수	가수/NNG
활동을	활동/NNG+을/JKO
모두	모두/MAG
중지하고	중지하/VV+고/EC
딸의	딸/NNG+의/JKG
교육에만	교육/NNG+에/JKB+만/JX
전념했다	전념하/VV+였/EP+다/EF

물론	물론/MAG
그	그/MM
당시만	당시/NNG+만/JX
해도	하/VV+여도/EC
‘장애’에	‘/SL+장애/NNG+’/SL+에/JKB
대한	대하/VV+ㄴ/ETM
편견	편견/NNG
가득찬	가득/MAG+차/VV+ㄴ/ETM
시선	시선/NNG
때문에	때문/NNB+에/JKB
좌절도	좌절/NNG+도/JX
많았다	많/VA+았/EP+다/EC

가족들의	가족/NNG+들/XSN+의/JKG
배려	배려/NNG
속에서	속/NNG+에서/JKB
자란	자라/VV+ㄴ/ETM
정	정/NNP
씨는	씨/NNB+는/JX
고교	고교/NNG
졸업	졸업/NNG
후	후/NNG
미국으로	미국/NNP+으로/JKB
유학을	유학/NNG+을/JKO
떠났다	떠나/VV+았/EP+다/EF

미국으로	미국/NNP+으로/JKB
떠나자	떠나/VV+자/EC
신체장애에	신체장애/NNG+에/JKB
언어마저	언어/NNG+마저/JX
통하지	통하/VV+지/EC
않아	않/VX+아/EC
어려움은	어려움/NNG+은/JX
배가	배/NNG+가/JKC
됐다	되/VV+었/EP+다/EC

토론	토론/NNG
위주로	위주/NNG+로/JKB
진행되는	진행되/VV+는/ETM
수업	수업/NNG
방식에	방식/NNG+에/JKB
언어장애의	언어장애/NNG+의/JKG
장벽을	장벽/NNG+을/JKO
실감하고	실감하/VV+고/EC
있었던	있/VX+었/EP+던/ETM
그녀는	그녀/NP+는/JX
스트레스와	스트레스/NNG+와/JC
좌절	좌절/NNG
속에	속/NNG+에/JKB
헤매고	헤매/VV+고/EC
있다	있/VX+다/EC

그	그/MM
당시	당시/NNG
인생의	인생/NNG+의/JKG
희망을	희망/NNG+을/JKO
느끼게	느끼/VV+게/EC
해준	하/VX+여/EC+주/VX+ㄴ/EF
것은	것/NNB+은/JX
바로	바로/MAG
‘보조기기’	‘/SN+보조기기’/NNG
였다	이/VCP+었/EP+다/EF

보조기기	보조기기/NNG
덕분에	덕분/NNG+에/JKB
의사소통의	의사소통/NNG+의/JKG
장벽을	장벽/NNG+을/JKO
뛰어넘을	뛰어넘/VV+을/ETM
수	수/NNB
있었다	있/VA+었/EP+다/EF

정씨의	정/NNP+씨/NNB+의/JKG
노력과	노력/NNG+과/JC
장애인	장애인/NNG
편의지원	편의지원/NNG
덕에	덕/NNG+에/JKB
지난	지나/VV+ㄴ/ETM
2004년	2004/SN+년/NNB
우리나라	우리나라/NNG
뇌성마비	뇌성마비/NNG
장애여성	장애여성/NNG
최초로	최초/NNG+로/JKB
조지메이슨	조지메이슨/NNP
대학에서	대학/NNG+에서/JKB
특수보조공학	특수보조공학/NNG
박사학위까지	박사학위/NNG+까지/JX
받았다	받/VV+았/EP+다/EC

현재는	현재/NNG+는/JX
조지메이슨	조지메이슨/NNP
대학에서	대학/NNG+에서/JKB
보조공학	보조공학/NNG
연구교수로	연구교수/NNG+로/JKB
강의를	강의/NNG+를/JKO
하고	하/VV+고/EC
있고,	있/VX+고/EC+,/SP
토끼	토끼/NNG
같은	같/VA+은/ETM
아들과	아들/NNG+과/JC
딸을	딸/NNG+을/JKO
키우는	키우/VV+는/ETM
엄마이자	엄마/NNG+이/VCP+자/EC
한	한/MM
남자의	남자/NNG+의/JKG
아내의	아내/NNG+의/JKG
역할을	역할/NNG+을/JKO
톡톡히	톡톡히/MAG
하고	하/VV+고/EC
있다	있/VX+다/EC

정씨는	정/NNP+씨/NNB+는/JX
교수로	교수/NNG+로/JKB
서기까지	서/VV+기/ETN+까지/JX
장애아동	장애아동/NNG
인생에	인생/NNG+에/JKB
부모의	부모/NNG+의/JKG
역할이	역할/NNG+이/JKS
가장	가장/MAG
큰	크/VA+ㄴ/ETM
영향을	영향/NNG+을/JKO
미치며,	미치/VV+며/EC+,/SP
보조공학의	보조공학/NNG+의/JKG
도움도	도움/NNG+도/JX
컸다고	크/VA+었/EP+다고/EC
강조했다	강조하/VV+였/EP+다/EC

“본인	“/SN+본인/NNG
의지도	의지/NNG+도/JX
물론	물론/MAG
중요하지만	중요하/VA+지만/EC
가족,	가족/NNG+,/SP
특히	특히/MAG
부모님의	부모님/NNG+의/JKG
역할이	역할/NNG+이/JKS
가장	가장/MAG
중요해요	중요하/VA+여요/EC

또	또/MAG
미국	미국/NNP
공립학교의	공립학교/NNG+의/JKG
경우	경우/NNG
장애학생들에게	장애학생/NNG+들/XSN+에게/JKB
보조기기	보조기기/NNG
사용	사용/NNG
