장애여성·아동	장애여성/NNG+·/SP+아동/NNG
강간	강간/NNG
공소시효	공소시효/NNG
폐지	폐지/NNG

내달부터	내달/NNG+부터/JX
13세	13/SN+세/NNB
미만	미만/NNG
아동	아동/NNG
및	및/MAG
장애	장애/NNG
여성에	여성/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
강간·준강간죄의	강간/NNG+·/SP+준강간죄/NNG+의/JKG
공소시효가	공소시효/NNG+가/JKS
폐지된다	폐지되/VV+ㄴ다/EC

기획재정부는	기획재정부/NNG+는/JX
지난달	지난달/NNG
28일	28/SN+일/NNB
이	이/NP
같은	같/VA+은/ETM
내용이	내용/NNG+이/JKS
담긴	담기/VV+ㄴ/ETM
‘2012년	‘2012/SN+년/NNB
하반기부터	하반기/NNG+부터/JX
이렇게	이렇/VA+게/EC
달라집니다’	달라지/VV+ㅂ니다/EC+’/SL
책자를	책자/NNG+를/JKO
발간한다고	발간하/VV+ㄴ다고/EC
밝혔다	밝히/VV+었/EP+다/EC

이	이/MM
책자는	책자/NNG+는/JX
26개	26/SN+개/NNB
부처	부처/NNG
총	총/MM
221건의	221/SN+건/NNB+의/JKG
2012년	2012/SN+년/NNB
하반기부터	하반기/NNG+부터/JX
달라지는	달라지/VV+는/ETM
제도와	제도/NNG+와/JC
법규사항을	법규사항/NNG+을/JKO
정리해	정리하/VV+여/EC
달라지는	달라지/VV+는/ETM
제도	제도/NNG
등에	등/NNB+에/JKB
대해	대하/VV+여/EC
정리했다	정리하/VV+였/EP+다/EC

‘아동·청소년의	‘/SL+아동/NNG+·/SP+청소년/NNG+의/JKG
성보호에	성보호/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률’	법률’/NNG
개정(2012	개정/NNG+(/SS+2012/SN

3	3/SN

6)에	6/SN+)/SS+에/JKB
따라	따르/VV+아/EC
오는	오/VV+는/ETM
8월	8/SN+월/NNB
2일부터	2/SN+일/NNB+부터/JX
아동·청소년	아동/NNG+·/SP+청소년/NNG
대상	대상/NNG
성범죄에	성범죄/NNG+에/JKB
공중밀집장소에서의	공중밀집장소/NNG+에서/JKB+의/JKG
추행,	추행/NNG+,/SP
통신매체를	통신매체/NNG+를/JKO
이용한	이용하/VV+ㄴ/ETM
음란행위,	음란행위/NNG+,/SP
카메라	카메라/NNG
등을	등/NNB+을/JKO
이용한	이용하/VV+ㄴ/ETM
촬영	촬영/NNG
행위가	행위/NNG+가/JKS
포함된다	포함되/VV+ㄴ다/EC

또한	또한/MAG
13세	13/SN+세/NNB
미만	미만/NNG
아동	아동/NNG
및	및/MAG
신체적·정신적	신체/NNG+적/XSN+·/SP+정신적/NNG
장애	장애/NNG
여성을	여성/NNG+을/JKO
폭행이나	폭행/NNG+이나/JC
협박으로	협박/NNG+으로/JKB
강간하거나	강간하/VV+거나/EC
준강간에	준강/NNG+간/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
공소시효가	공소시효/NNG+가/JKS
폐지된다	폐지되/VV+ㄴ다/EC

지난해	지난해/NNG
'성폭력범죄의	'/SS+성폭력범죄/NNG+의/JKG
처벌	처벌/NNG
등에	등/NNB+에/JKB
관한	관하/VV+ㄴ/ETM
특례법	특례법/NNG
일부개정법률안'	일부개정법률안/NNG+'/SS
이	이/MM
통과됨으로써	통과되/VV+ㅁ/ETN+으로써/JKB
13세	13/SN+세/NNB
미만	미만/NNG
아동이나	아동/NNG+이나/JC
장애	장애/NNG
여성으로	여성/NNG+으로/JKB
대상으로	대상/NNG+으로/JKB
한	하/VV+ㄴ/ETM
범죄의	범죄/NNG+의/JKG
공소시효와	공소시효/NNG+와/JC
'항거불능'	'/SS+항거불능/NNG+'/SS
용어가	용어/NNG+가/JKS
삭제	삭제/NNG
된	되/VV+ㄴ/ETM
바	바/NNB
있다	있/VA+다/EC

정보통신망을	정보통신망/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
성매수	성매수/NNP
알선정보	알선정보/NNP
제공행위도	제공행위/NNG+도/JX
성매수	성/XPN+매수/NNG
알선행위에	알선행위/NNG+에/JKB
포함되며,	포함되/VV+며/EC+,/SP
업무상	업무/NNG+상/XSN
위력(	위력/NNG+(/SS
사회적·경제적	사회적/NNG+·/SP+경제적/NNG
지위를	지위/NNG+를/JKO
이용한	이용하/VV+ㄴ/ETM
폭행·협박)	폭행/NNG+·/SP+협박/NNG+)/SS
등에	등/NNB+에/JKB
의한	의하/VV+ㄴ/ETM
추행은	추행/NNG+은/JX
피해자의	피해자/NNG+의/JKG
처벌의사가	처벌의사/NNG+가/JKS
없어도	없/VA+어도/EC
처벌된다	처벌되/VV+ㄴ다/EF

특히	특히/MAG
아동·청소년	아동/NNG+·/SP+청소년/NNG
대성	대성/NNP
성범죄	성범죄/NNG
관련	관련/NNG
정보를	정보/NNG+를/JKO
누설할	누설하/VV+ㄹ/ETM
경우	경우/NNG
7년	7/SN+년/NNB
이하	이하/NNG
징역	징역/NNG
또는	또는/MAG
5천만원	5/SN+천만/NR+원/NNB
이하	이하/NNG
벌금에	벌금/NNG+에/JKB
처하게	처하/VV+게/EC
되고,	되/VV+고/EC+,/SP
종업원	종업원/NNG
외	외/NNB
사용주도	사용주/NNG+도/JX
범인과	범인/NNG+과/JKB
함께	함께/MAG
처벌된다	처벌되/VV+ㄴ다/EF

성폭력	성폭력/NNG
가해	가하/VV+여/EC
아동·청소년을	아동/NNG+·/SP+청소년/NNG+을/JKO
재범	재범/NNG
예방에	예방/NNG+에/JKB
필요한	필요하/VA+ㄴ/ETM
수강명령	수강명령/NNG
및	및/MAG
교육상담을	교육상담/NNG+을/JKO
의무적으로	의무적/NNG+으로/JKB
이행해야	이행하/VV+여야/EC
한다	하/VX+ㄴ다/EF

의료기관에	의료기관/NNG+에/JKB
종사하는	종사하/VV+는/ETM
의료인과	의료인/NNG+과/JC
가정	가정/NNG
방문하는	방문하/VV+는/ETM
학습지교사도	학습지교사/NNG+도/JX
성범죄	성범죄/NNG
경력자의	경력자/NNG+의/JKG
취업제한	취업제한/NNG
직종에	직종/NNG+에/JKB
포함된다	포함되/VV+ㄴ다/EC

이	이/MM
외에도	외/NNB+에/JKB+도/JX
오는	오/VV+는/ETM
9월	9/SN+월/NNB
16일부터	16/SN+일/NNB+부터/JX
온라인	온라인/NNG
서비스	서비스/NNG
제공자는	제공/NNG+자/XSN+는/JX
아동·청소년	아동/NNG+·/SP+청소년/NNG
이용	이용/NNG
음란물을	음란물/NNG+을/JKO
발견하면	발견하/VV+면/EC
의무적으로	의무적/NNG+으로/JKB
삭제를	삭제/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
기술적	기술적/NNG
조처를	조처/NNG+를/JKO
해야	하/VV+여야/EC
한다	하/VX+ㄴ다/EF

한편	한편/MAG
이	이/MM
책자는	책자/NNG+는/JX
이달	이달/NNG
초부터	초/NNB+부터/JX
전국의	전국/NNG+의/JKG
시군구청,	시군구청/NNG+,/SP
읍면동사무소,	읍면동사무소/NNG+,/SP
세무서,	세무서/NNG+,/SP
공공기관	공공기관/NNG
등	등/NNB
국민이	국민/NNG+이/JKS
쉽게	쉽/VA+게/EC
접근할	접근하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
장소에	장소/NNG+에/JKB
비치될	비치되/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC
