'위험한	'/SS+위험하/VA+ㄴ/ETM
10분'	10/SN+분/NNB+'/SS
아동성폭력예방	아동성폭력예방/NNG
동영상	동영상/NNG
배포	배포/NNG

여성가족부가	여성가족부/NNG+가/JKS
EBS	EBS/SL
및	및/MAG
여성아동폭력피해중앙지원단(단장	여성아동폭력피해중앙지원/NNG+단/XSN+(/SS+단장/NNG
김정숙)와	김정숙/NNP+)/SS+와/JKB
함께	함께/MAG
초등학생	초등학생/NNG
이하의	이하/NNG+의/JKG
저연령	저/XPN+연령/NNG
아동을	아동/NNG+을/JKO
둔	두/VV+ㄴ/ETM
부모를	부모/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
‘위험한	‘/SN+위험하/VA+ㄴ/ETM
10분’	10/SN+분/XSN+’/SN
아동성폭력예방	아동성폭력예방/NNG
동영상을	동영상/NNG+을/JKO
제작,	제작/NNG+,/SP
배포한다	배포하/VV+ㄴ다/EF

이번에	이번/NNG+에/JKB
제작된	제작되/VV+ㄴ/ETM
영상물은	영상물/NNG+은/JX
총	총/MM
16분	16/SN+분/NNB
분량으로	분량/NNG+으로/JKB
아동	아동/NNG
성범죄자의	성범죄자/NNG+의/JKG
접근	접근/NNG
유형,	유형/NNG+,/SP
성폭력으로부터	성폭력/NNG+으로부터/JKB
아동을	아동/NNG+을/JKO
보호할	보호하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
양육방법,	양육방법/NNG+,/SP
피해	피해/NNG
시	시/NNG
부모의	부모/NNG+의/JKG
대처	대처/NNG
요령을	요령/NNG+을/JKO
안내한다	안내하/VV+ㄴ다/EF

또한	또한/MAG
성폭력	성폭력/NNG
가해자는	가해자/NNG+는/JX
낯선	낯설/VA+ㄴ/ETM
사람이다,	사람/NNG+이/VCP+다/EC+,/SP
여자아이에게만	여자아이/NNG+에게/JKB+만/JX
성폭력	성폭력/NNG
피해가	피해/NNG+가/JKS
발생한다는	발생하/VV+ㄴ다는/ETM
등의	등/NNB+의/JKG
아동성폭력에	아동성폭력/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
선입견에	선입견/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
내용과	내용/NNG+과/JC
성범죄자의	성범죄자/NNG+의/JKG
접근	접근/NNG
유형,	유형/NNG+,/SP
성폭력으로부터	성폭력/NNG+으로부터/JKB
아이들을	아이/NNG+들/XSN+을/JKO
보호하는	보호하/VV+는/ETM
방법	방법/NNG
등이	등/NNB+이/JKS
담겨있다	담기/VV+어/EC+있/VX+다/EC

이	이/MM
밖에도	밖/NNG+에/JKB+도/JX
전문가들의	전문가/NNG+들/XSN+의/JKG
인터뷰를	인터뷰/NNG+를/JKO
통해	통하/VV+여/EC
성폭력	성폭력/NNG
발생	발생/NNG
후	후/NNG
대처요령도	대처요령/NNG+도/JX
포함됐다	포함되/VV+었/EP+다/EF

여가부는	여가부/NNG+는/JX
오는	오/VV+는/ETM
30일부터	30/SN+일/NNB+부터/JX
중앙행정기관,	중앙행정기관/NNG+,/SP
지방자치단체,	지방자치단체/NNG+,/SP
학교,	학교/NNG+,/SP
학부모	학부모/NNG
단체,	단체/NNG+,/SP
성폭력	성폭력/NNG
예방	예방/NNG
관련	관련/NNG
유관기관	유관기관/NNG
등에	등/NNB+에/JKB
제공할	제공하/VV+ㄹ/ETM
예정이며,	예정/NNG+이/VCP+며/EC+,/SP
자료가	자료/NNG+가/JKS
필요한	필요하/VA+ㄴ/ETM
기관·단체는	기관/NNG+·/SP+단체/NNG+는/JX
여가부	여가부/NNG
홈페이지	홈페이지/NNG
자료실(www	자료실/NNG+(/SS+www/SL

mogef	mogef/SL

go	go/SL

kr)을	kr/SL+)/SS+을/JKO
통해	통하/VV+여/EC
다운받을	다운/NNG+받/VV+을/ETM
수	수/NNB
있다	있/VA+다/EC
