복지부,	복지부/NNG+,/SP
농어촌	농어촌/NNG
양육수당	양육수당/NNG
재신청	재신청/NNG
받는다	받/VV+는다/EC

보건복지부(장관	보건복지부/NNG+(/SS+장관/NNG
임채민)는	임채민/NNG+)/SS+는/JX
농어촌	농어촌/NNG
양육수당을	양육수당/NNG+을/JKO
지원받고	지원/NNG+받/VV+고/EC
있는	있/VX+는/ETM
영유아	영유아/NNG
부모	부모/NNG
약	약/MM
7,400명에게	7,400/SN+명/NNB+에게/JKB
재신청하도록	재신청하/VV+도록/EC
안내한다고	안내하/VV+ㄴ다고/EC
밝혔다	밝히/VV+었/EP+다/EC

기존의	기존/NNG+의/JKG
대상자	대상자/NNG
선정	선정/NNG
조사,	조사/NNG+,/SP
급여지급	급여지급/NNG
등	등/NNB
수기로	수기/NNG+로/JKB
작성해	작성하/VV+여/EC
관리해오던	관리하/VV+여/EC+오/VX+던/ETM
농어촌	농어촌/NNG
양육수당	양육수당/NNG
지원사업이	지원사업/NNG+이/JKS
9월	9/SN+월/NNB
1일자로	1/SN+일자/NNG+로/JKB
사회복지통합관리망	사회복지통합관리망/NNG
상에	상/XSN+에/JKB
구축·운영됨에	구축/NNG+·/SP+운영되/VV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
사회복지통합관리망	사회복지통합관리망/NNG
시스템상에	시스템상/NNG+에/JKB
등록하기	등록하/VV+기/ETN
위해	위하/VV+여/EC
재신청을	재신청/NNG+을/JKO
받고	받/VV+고/EC
있다	있/VX+다/EC

농어촌	농어촌/NNG
양육수당은	양육수당/NNG+은/JX
초등학교	초등학교/NNG
취학	취학/NNG
전	전/MM
아동을	아동/NNG+을/JKO
둔	두/VV+ㄴ/ETM
농어촌	농어촌/NNG
지역에	지역/NNG+에/JKB
거주하는	거주하/VV+는/ETM
농어업인	농어업/NNG+이/VCP+ㄴ/ETM
가구의	가구/NNG+의/JKG
재가	재/NNG+가/JKS
양육	양육/NNG
아동이면	아동/NNG+이/VCP+면/EC
신청할	신청하/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

지원금액은	지원금액/NNG+은/JX
영유아보육료	영유아보육료/NNG
지원단가의	지원단가/NNG+의/JKG
45%로	45/SN+%/SW+로/JKB
최대	최대/NNG
17만	17/SN+만/NR
7천원(0세	7/SN+천/NR+원/NNB+(/SS+0/SN+세/NNB
기준)까지	기준/NNG+)/SS+까지/JX
받을	받/VV+을/ETM
수	수/NNB
있다	있/VA+다/EF

농어촌	농어촌/NNG
양육수당	양육수당/NNG
재신청은	재신청/NNG+은/JX
오는	오/VV+는/ETM
9월	9/SN+월/NNB
3일부터	3/SN+일/NNB+부터/JX
30일까지	30/SN+일/NNB+까지/JX
약	약/MM
한	한/MM
달	달/NNB
간	간/XSN
접수받는다	접수/NNG+받/VV+는다/EF

복지부는	복지부/NNG+는/JX
주소지	주소/NNG+지/XSN
읍·면·동	읍/NNG+·/SP+면/NNG+·/SP+동/NNG
주민센터에서	주민센터/NNG+에서/JKB
개별적으로	개별적/NNG+으로/JKB
영유아	영유아/NNG
부모에게	부모/NNG+에게/JKB
양육수당을	양육수당/NNG+을/JKO
재신청하도록	재신청하/VV+도록/EC
안내	안내/NNG
할	하/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

기존의	기존/NNG+의/JKG
농어촌	농어촌/NNG
양육수당을	양육수당/NNG+을/JKO
지원받고	지원/NNG+받/VV+고/EC
