`0~2세	`/SW+0/SN+~/SO+2/SN+세/NNB
전면	전면/NNG
무상보육'	무상보육/NNG+'/SS
폐기추진..與	폐기추진/NNG+../SF+與/SL
"수용불가"(종합2보)	"/SS+수용불가/NNG+"(/SS+종합/NNG+2/SN+보/NNG+)/SS

(서울=연합뉴스)	(/SS+서울/NNP+=/SW+연합뉴스/NNP+)/SS
신호경	신호경/NNP
김경윤	김경윤/NNP
기자	기자/NNG
=	=/SW
내년	내년/NNG
3월부터	3/SN+월/NNB+부터/JX
현행	현행/NNG
'0∼2세	'/SS+0/SN+∼/SO+2/SN+세/NNB
유아에	유아/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
전면	전면/NNG
무상보육'	무상보육/NNG+'/SS
정책이	정책/NNG+이/JKS
폐기되고,	폐기되/VV+고/EC+,/SP
대신	대신/NNG
소득	소득/NNG
하위	하위/NNG
70%	70/SN+%/SW
가정에	가정/NNG+에/JKB
월	월/NNG
10만∼20만원의	10/SN+만/NR+∼/SO+20/SN+만/NR+원/NNB+의/JKG
양육보조금을	양육보조금/NNG+을/JKO
지급하는	지급하/VV+는/ETM
방안이	방안/NNG+이/JKS
추진된다	추진되/VV+ㄴ다/EF

전면	전면/NNG
무상보육	무상보육/NNG
후퇴는	후퇴/NNG+는/JX
정부와	정부/NNG+와/JC
지방자치단체의	지방자치단체/NNG+의/JKG
재원	재원/NNG
한계	한계/NNG
등을	등/NNB+을/JKO
고려할	고려하/VV+ㄹ/ETM
때	때/NNG
불가피한	불가피하/VA+ㄴ/ETM
선택으로,	선택/NNG+으로/JKB+,/SP
연초	연초/NNG
0~2세	0/SN+~/SO+2/SN+세/NNB
100%	100/SN+%/SW
무상보육을	무상보육/NNG+을/JKO
밀어붙여	밀어붙이/VV+어/EC
후유증을	후유증/NNG+을/JKO
남긴	남기/VV+ㄴ/ETM
정치권의	정치권/NNG+의/JKG
`복지	`/SW+복지/NNG
포퓰리즘'에	포퓰리즘/NNG+'/SS+에/JKB
대한	대하/VV+ㄴ/ETM
논란이	논란/NNG+이/JKS
예상된다	예상되/VV+ㄴ다/EF

그러나	그러나/MAJ
이	이/NP
같은	같/VA+은/ETM
정부	정부/NNG
방침에	방침/NNG+에/JKB
대해	대하/VV+여/EC
집권당인	집권당/NNG+이/VCP+ㄴ/ETM
새누리당이	새누리당/NNP+이/JKS
반발하는	반발하/VV+는/ETM
등	등/NNB
여권	여권/NNG
내부에서조차	내부/NNG+에서/JKB+조차/JX
공감대가	공감대/NNG+가/JKS
형성되지	형성되/VV+지/EC
않아	않/VX+아/EC
시행까지는	시행/NNG+까지는/JX
상당한	상당하/VA+ㄴ/ETM
난관이	난관/NNG+이/JKS
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
보인다	보일/VV+ㄴ다/EF

보건복지부는	보건복지부/NNG+는/JX
24일	24/SN+일/NNB
기획재정부	기획재정부/NNG
등	등/NNB
관계부처와	관계부처/NNG+와/JKB
협의를	협의/NNG+를/JKO
거쳐	거치/VV+어/EC
보육지원체계	보육지원체계/NNG
개편	개편/NNG
방향을	방향/NNG+을/JKO
발표했다	발표하/VV+였/EP+다/EC

이에	이/NP+에/JKB
따르면	따르/VV+면/EC
`0∼2세	`/SW+0/SN+∼/SO+2/SN+세/NNB
전면	전면/NNG
무상보육'은	무상보육/NNG+'/SS+은/JX
정책	정책/NNG
시행	시행/NNG
