대법원,	대법원/NNG+,/SP
성폭력	성폭력/NNG
피해자	피해자/NNG
증인	증인/NNG
보호	보호/NNG
연구	연구/NNG
주목	주목/NNG

대법원이	대법원/NNG+이/JKS
여성·아동·장애인	여성/NNG+·/SP+아동/NNG+·/SP+장애인/NNG
성폭력	성폭력/NNG
피해자를	피해자/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
증인	증인/NNG
지원	지원/NNG
가이드북을	가이드북/NNG+을/JKO
포함한	포함하/VV+ㄴ/ETM
실제	실제/NNG
법원에서	법원/NNG+에서/JKB
활용	활용/NNG
가능한	가능하/VA+ㄴ/ETM
프로그램을	프로그램/NNG+을/JKO
마련하고	마련하/VV+고/EC
있어	있/VX+어/EC
귀추가	귀추/NNG+가/JKS
주목된다	주목되/VV+ㄴ다/EF

한국성폭력상담소와	한국성폭력상담소/NNP+와/JC
장애여성공감	장애여성공감/NNG
성폭력상담소	성폭력상담소/NNG
등은	등/NNB+은/JX
지난	지나/VV+ㄴ/ETM
18일	18/SN+일/NNB
이화여대	이화여대/NNP
ECC에서	ECC/SL+에서/JKB
2012	2012/SN
반성폭력	반성폭력/NNG
정책	정책/NNG
‘영국과	‘/SN+영국/NNG+과/JC
스웨덴	스웨덴/NNP
성폭력	성폭력/NNG
피해자	피해자/NNG
지원제도’	지원제도/NNG+’/SN
포럼을	포럼/NNG+을/JKO
갖고,	갖/VV+고/EC+,/SP
성폭력	성폭력/NNG
피해자의	피해자/NNG+의/JKG
권리	권리/NNG
보장을	보장/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
방안에	방안/NNG+에/JKB
대해	대하/VV+여/EC
모색하는	모색하/VV+는/ETM
자리를	자리/NNG+를/JKO
가졌다	가지/VV+었/EP+다/EC

이날	이날/NNG
대법원의	대법원/NNG+의/JKG
‘여성·아동·장애인	‘/SL+여성/NNG+·/SP+아동/NNG+·/SP+장애인/NNG
성폭력	성폭력/NNG
피해자	피해자/NNG
증인보호와	증인보호/NNP+와/JC
그	그/MM
실현	실현/NNG
연구팀’	연구팀/NNG+’/SL
(이하	(/SS+이하/NNG
연구팀)은	연구팀/NNG+)/SS+은/JX
지난	지나/VV+ㄴ/ETM
1월부터	1/SN+월/NNB+부터/JX
현재까지	현재/NNG+까지/JX
진행된	진행되/VV+ㄴ/ETM
연구	연구/NNG
과정을	과정/NNG+을/JKO
발표했다	발표하/VV+였/EP+다/EC

연구팀은	연구팀/NNG+은/JX
한국성폭력상담소	한국성폭력상담소/NNP
이미경	이미경/NNP
이사를	이사/NNG+를/JKO
비롯해	비롯하/VV+여/EC
성폭력	성폭력/NNG
피해자	피해자/NNG
지원	지원/NNG
단체	단체/NNG
활동가,	활동가/NNG+,/SP
전	전/MM
성폭력전담판사	성폭력전담판사/NNG
경험이	경험/NNG+이/JKS
있는	있/VA+는/ETM
변호사	변호사/NNG
등으로	등/NNB+으로/JKB
증인	증인/NNG
지원	지원/NNG
가이드북(안),	가이드북/NNG+(/SS+안/NNG+)/SS+,/SP
증인지원센터	증인지원센터/NNG
설치	설치/NNG
지원(안),	지원/NNG+(/SS+안/NNG+)/SS+,/SP
법관	법관/NNG
지원을	지원/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
가이드북(안)	가이드북/NNG+(/SS+안/NNG+)/SS
등의	등/NNB+의/JKG
실제	실제/NNG
법원에서	법원/NNG+에서/JKB
활용	활용/NNG
가능한	가능하/VA+ㄴ/ETM
프로그램을	프로그램/NNG+을/JKO
개발하기	개발하/VV+기/ETN
위해	위하/VV+여/EC
구성됐다	구성되/VV+었/EP+다/EF

또한	또한/MAG
지난	지나/VV+ㄴ/ETM
4월	4/SN+월/NNB
25일부터	25/SN+일/NNB+부터/JX
5월	5/SN+월/NNB
8까지	8/SN+까지/JX
영국과	영국/NNP+과/JC
스웨덴을	스웨덴/NNP+을/JKO
방문해	방문하/VV+여/EC
형사사법	형사사법/NNG
절차에서	절차/NNG+에서/JKB
성폭력	성폭력/NNG
피해자	피해자/NNG
지원제도를	지원제도/NNG+를/JKO
살펴보기도	살펴보/VV+기/ETN+도/JX
했다	하/VX+였/EP+다/EF

영국을	영국/NNP+을/JKO
다녀	다니/VV+어/EC
온	오/VV+ㄴ/ETM
법무법인	법무법인/NNG
태평양	태평양/NNP
이경환	이경환/NNP
변호사는	변호사/NNG+는/JX
‘영국의	‘/SN+영국/NNG+의/JKG
법원,	법원/NNG+,/SP
검찰청,	검찰청/NNG+,/SP
Victim	Victim/SL
Support(NGO)에서의	Support/SL+(/SS+NGO/SL+)/SS+에서/JKB+의/JKG
성폭력	성폭력/NNG
피해자를	피해자/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
지원	지원/NNG
제도’를	제도’/NNG+를/JKO
설명했다	설명하/VV+었/EP+다/EC

이	이/NNP
변호사는	변호사/NNG+는/JX
“영국에는	“/SN+영국/NNG+에/JKB+는/JX
아동이나	아동/NNG+이나/JC
장애인	장애인/NNG
등	등/NNB
취약한	취약하/VA+ㄴ/ETM
증인을	증인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
특별한	특별하/VA+ㄴ/ETM
조치	조치/NNG
등이	등/NNB+이/JKS
마련되어	마련되/VV+어/EC
있다	있/VX+다/EC

비디오증계장치나,	비디오증계장/NNG+치나/JC+,/SP
차단막설치,	차단막설치/NNG+,/SP
증인대기실	증인대기실/NNG
등이	등/NNB+이/JKS
마련되어	마련되/VV+어/EC
있다”면서	있/VX+다/EC+”/VV+면서/EC
“여기는	“/SN+여기/XSN+는/JX
경찰이	경찰/NNG+이/JKS
증인의	증인/NNG+의/JKG
집으로	집/NNG+으로/JKB
가서	가/VV+아서/EC
법원까지	법원/NNG+까지/JX
동행하고	동행하/VV+고/EC
증언이	증언/NNG+이/JKS
끝나면	끝나/VV+면/EC
집까지	집/NNG+까지/JX
데려다주기도	데려다주/VV+기/ETN+도/JX
한다”고	하/VX+ㄴ다”고/EC
설명했다	설명하/VV+었/EP+다/EC

이	이/NNP
변호사는	변호사/NNG+는/JX
이어	이어/MAG
“성폭력	“/SN+성폭력/NNG
전담	전담/NNG
재판부는	재판부/NNG+는/JX
별도로	별도/NNG+로/JKB
존재하진	존재하/VV+지/EC+ㄴ/JX
않으나	않/VX+으나/EC
성폭력	성폭력/NNG
사건을	사건/NNG+을/JKO
처리하기	처리하/VV+기/ETN
위해서는	위하/VV+여서/EC+는/JX
관련	관련/NNG
교육을	교육/NNG+을/JKO
이수해야	이수하/VV+여야/EC
되고	되/VV+고/EC
2~3년마다	2/SN+~/SO+3/SN+년/NNB+마다/JX
재교육	재교육/NNG
받아야	받/VV+아야/EC
한다”며	하/VX+ㄴ다”며/EC
“영국에서	“/SN+영국/NNP+에서/JKB
시행되고	시행되/VV+고/EC
있는	있/VX+는/ETM
중개인(intermediary,	중개/NNG+이/VCP+ㄴ/ETM+(/SS+intermediary/SL+,/SP
진술조력인과	진술조력인/NNG+과/JKB
같은	같/VA+은/ETM
의미)	의미/NNG+)/SS
제도에	제도/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
평가가	평가/NNG+가/JKS
매우	매우/MAG
긍정적이다	긍정적/NNG+이/VCP+다/EC

현재	현재/MAG
영국도	영국/NNP+도/JX
성범죄	성범죄/NNG
기소율이	기소/NNG+율/XSN+이/JKS
낮다는	낮/VA+다는/ETM
비판에	비판/NNG+에/JKB
따라	따르/VV+아/EC
기소율을	기소율/NNG+을/JKO
높이기	높이/VV+기/ETN
위해	위하/VV+여/EC
노력하고	노력하/VV+고/EC
있고,	있/VX+고/EC+,/SP
성폭력에	성폭력/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
편견을	편견/NNG+을/JKO
