“여성장애인	“/SN+여/XSN+성장애/NNG+이/VCP+ㄴ/ETM
유권자의	유권자/NNG+의/JKG
힘	힘/NNG
보여주자!”	보열/VV+주/VX+자/EF+!/SF+”/SL

“변화의	“/SN+변화/NNG+의/JKG
힘,	힘/NNG+,/SP
여성장애인의	여성장애인/NNG+의/JKG
참정권을	참정권/NNG+을/JKO
확보하고	확보하/VV+고/EC
유권자의	유권자/NNG+의/JKG
힘	힘/NNG
보여주자!”한국여성장애인연합(이하	보열/VV+주/VX+자/EF+!/SF+”/SL+한국/NNP+여성장애인연합/NNG+(/SS+이하/NNG
여장연,	여장연/NNG+,/SP
상임대표	상임대표/NNG
권순기)은	권순기/NNP+)/SS+은/JX
2일	2/SN+일/NNB
오후	오후/NNG
2시	2/SN+시/NNB
올림픽파크텔에서	올림픽파크텔/NNP+에서/JKB
전국의	전국/NNG+의/JKG
여성장애인	여성장애인/NNG
300여명이	300/SN+여/XSN+명/NNB+이/JKS
참석한	참석하/VV+ㄴ/ETM
가운데	가운데/NNG
‘제11회	‘/SN+제/XPN+11/SN+회/NNB
한국여성장애인대회’	한국/NNP+여성장애인대회/NNG+’/SN
개회식을	개회식/NNG+을/JKO
갖고,	갖/VV+고/EC+,/SP
1박	1/SN+박/NNB
2일간의	2/SN+일/NNB+간/XSN+의/JKG
일정에	일정/NNG+에/JKB
들어갔다	들어가/VV+았/EP+다/EC

이날	이날/NNG
개회식에는	개회식/NNG+에/JKB+는/JX
곽정숙	곽정숙/NNP
전	전/MM
국회의원(18대	국회의원/NNG+(/SS+18/SN+대/NNG
국회의원),	국회의원/NNG+)/SS+,/SP
장애여성네트워크	장애여성네트워크/NNP
김효진	김효진/NNP
상임대표,	상임대표/NNG+,/SP
홍보대사	홍보대사/NNG
장윤주,	장윤주/NNP+,/SP
한국장애인개발원	한국/NNP+장애인개발/NNG+원/XSN
변용찬	변용찬/NNP
원장,	원장/NNG+,/SP
선진통일당	선진통일당/NNP
강찬규	강찬규/NNP
사무총장	사무총장/NNG
등의	등/NNB+의/JKG
각계각층의	각계각층/NNG+의/JKG
내빈들이	내빈/NNG+들/XSN+이/JKS
참석했다	참석하/VV+였/EP+다/EC

권순기	권순기/NNP
상임대표는	상임대표/NNG+는/JX
대회사를	대회/NNG+사/XSN+를/JKO
통해	통하/VV+여/EC
“우리사회의	“/SL+우리/NP+사회/NNG+의/JKG
여성장애인은	여성장애인/NNG+은/JX
차별의	차별/NNG+의/JKG
현실	현실/NNG
속에서	속/NNG+에서/JKB
정책화,	정책/NNG+화/XSN+,/SP
입법화가	입법화/NNG+가/JKS
어렵기	어렵/VA+기/ETN
때문에	때문/NNB+에/JKB
당사자가	당사자/NNG+가/JKS
적극적으로	적극적/NNG+으로/JKB
정책을	정책/NNG+을/JKO
입안하고	입안하/VV+고/EC
의사결정과정에	의사결정과정/NNG+에/JKB
참여해야	참여하/VV+여야/EC
한다”면서	하/VX+ㄴ다”면서/EC
“각	“/SL+각/NNG
정당은	정당/NNG+은/JX
여성장애인의	여성장애인/NNG+의/JKG
목소리가	목소리/NNG+가/JKS
반영된	반영되/VV+ㄴ/ETM
공약을	공약/NNG+을/JKO
집행함으로써	집행하/VV+ㅁ/ETN+으로써/JKB
정치적	정치적/NNG
역량을	역량/NNG+을/JKO
발휘할	발휘하/VV+ㄹ/ETM
때	때/NNG
더	더/MAG
빨리	빨리/MAG
해결될	해결되/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다”고/EC
설명했다	설명하/VV+었/EP+다/EC

또한	또한/MAG
“이번	“/SL+이번/NNG
국회의원	국회의원/NNG
선거와	선거/NNG+와/JC
대선이	대선/NNG+이/JKS
연이어	연잇/VV+어/EC
치러지는	치르/VV+어/EC+지/VX+는/ETM
만큼	만큼/NNB
선거권은	선거권/NNG+은/JX
자신의	자신/NNG+의/JKG
정치적	정치적/NNG
견해,	견해/NNG+,/SP
이익을	이익/NNG+을/JKO
대변할	대변하/VV+ㄹ/ETM
대표를	대표/NNG+를/JKO
뽑는	뽑/VV+는/ETM
매우	매우/MAG
중요한	중요하/VA+ㄴ/ETM
권리다	권리/VV+다/EC

장애인이라는	장애인/NNG+이/VCP+라는/ETM
이유나	이유/NNG+나/JC
비장애인의	비/XPN+장애인/NNG+의/JKG
무지로	무지/NNG+로/JKB
인해	인하/VV+여/EC
선거에서	선거/NNG+에서/JKB
‘참정권’을	‘/SL+참정권/NNG+’/SL+을/JKO
침해	침해/NNG
당해서는	당하/VV+여서/EC+는/JX
안	안/MAG
된다”며	되/VV+ㄴ다”며/EC
“우리의	“/SL+우리/NP+의/JKG
참정권을	참정권/NNG+을/JKO
이행할	이행하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
힘을	힘/NNG+을/JKO
모으는	모으/VV+는/ETM
자리”라고	자리”/NNG+이/VCP+라고/EC
강조했다	강조하/VV+였/EP+다/EC

권	권/NNP
상임대표는	상임대표/NNG+는/JX
“이번	“/SL+이번/NNG
대회를	대회/NNG+를/JKO
통해	통하/VV+여/EC
모든	모든/MM
선거에서	선거/NNG+에서/JKB
여성장애인의	여성장애인/NNG+의/JKG
참정권을	참정권/NNG+을/JKO
보장하고	보장하/VV+고/EC
