2년간	2/SN+년/NNB+간/XSN
2500km,	2500/SN+km/SL+,/SP
아직	아직/MAG
끝나지	끝나/VV+지/EC
않은	않/VX+은/ETM
걸음	걸음/NNG

부산에서	부산/NNP+에서/JKB
서울까지	서울/NNP+까지/JX
600여km를	600/SN+여/XSN+km/SL+를/JKO
4차례나	4/SN+차례/NNG+나/JX
도보로	도보/NNG+로/JKB
걸은	걷/VV+은/ETM
부자가	부자/NNG+가/JKS
있다	있/VA+다/EC

바로	바로/MAG
자폐성장애	자폐성장애/NNG
1급인	1/SN+급/NNG+이/VCP+ㄴ/ETM
아들	아들/NNG
균도씨와	균도/NNP+씨/NNB+와/JC
아빠	아빠/NNG
이진섭(부산장애인부모회장)	이진섭/NNP+(/SS+부산장애인부모회/NNG+장/XSN+)/SS
씨	씨/NNB

이들이	이/NP+들/XSN+이/JKS
4차례	4/SN+차례/NNG
부산에서	부산/NNP+에서/JKB
서울까지	서울/NNP+까지/JX
왕복한	왕복하/VV+ㄴ/ETM
거리를	거리/NNG+를/JKO
계산하면	계산하/VV+면/EC
무려	무려/MAG
2,500km나	2,500/SN+km/SL+나/JC
걸은	걷/VV+은/ETM
셈이다	셈/NNB+이/VCP+다/EC

이들	이/NP+들/XSN
부자는	부자/NNG+는/JX
지난해	지난해/NNG
3월	3/SN+월/NNB
장애아동복지지원법과	장애아동복지지원법/NNG+과/JC
발달장애인지원법,	발달장애인지원법/NNG+,/SP
국민기초생활보장법(부양의무제	국민기초생활보장법/NNG+(/SS+부양의무제/NNG
폐지)	폐지/NNG+)/SS
개정을	개정/NNG+을/JKO
요구하며	요구하/VV+며/EC
‘발달장애인	‘/SN+발달장애인/NNG
균도와	균도/NNG+와/JKB
함께	함께/MAG
세상걷기’	세상/NNG+걷/VV+기/ETN+’/SP
1탄을	1/SN+탄/NNG+을/JKO
시작했다	시작하/VV+였/EP+다/EF

노력	노력/NNG
끝에	끝/NNG+에/JKB
지난해	지난해/NNG
6월	6/SN+월/NNB
장애아동복지원법	장애아동복지원법/NNG
제정의	제정/NNG+의/JKG
기쁨도	기쁨/NNG+도/JX
누렸다	누리/VV+었/EP+다/EC

하지만	하지만/MAJ
이씨	이/NNP+씨/NNB
부자는	부자/NNG+는/JX
또	또/MAG
다시	다시/MAG
거리로	거리/NNG+로/JKB
나섰다	나서/VV+었/EP+다/EF

장애가	장애/NNG+가/JKS
있는	있/VA+는/ETM
자녀에게	자녀/NNG+에게/JKB
수급비를	수급비/NNG+를/JKO
받게	받/VV+게/EC
하려고	하/VX+려고/EC
스스로	스스로/MAG
목숨을	목숨/NNG+을/JKO
끊는	끊/VV+는/ETM
부모들이	부모/NNG+들/XSN+이/JKS
계속	계속/MAG
생겨나	생겨나/VV+아/EC
부양의무제에	부양의무제/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
피해가	피해/NNG+가/JKS
발생하고	발생하/VV+고/EC
있고,	있/VX+고/EC+,/SP
발달장애인에	발달장애인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
정부의	정부/NNG+의/JKG
노력도	노력/NNG+도/JX
미흡하기	미흡하/VA+기/ETN
때문이다	때문/NNB+이/VCP+다/EC

현재	현재/MAG
