"장애	"/SS+장애/NNG
가족	가족/NNG
특성	특성/NNG
맞는	맞/VV+는/ETM
자녀양육	자녀양육/NNG
방안	방안/NNG
필요"	필요/NNG+"/SS

장애	장애/NNG
가족	가족/NNG
특성에	특성/NNG+에/JKB
맞는	맞/VV+는/ETM
자녀	자녀/NNG
양육	양육/NNG
방안이	방안/NNG+이/JKS
마련돼야	마련되/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
제언이	제언/NNG+이/JKS
나왔다	나오/VV+았/EP+다/EF

한국장애인개발원	한국/NNP+장애인개발/NNG+원/XSN
김정희	김정희/NNP
정책개발연구부장은	정책개발연구부/NNG+장/XSN+은/JX
지난	지나/VV+ㄴ/ETM
4일	4/SN+일/NNB
열린	열리/VV+ㄴ/ETM
‘2012	‘/SL+2012/SN
제2차	제/XPN+2/SN+차/NNB
장애인정책토론회’에서	장애인정책토론회/NNG+’/SL+에서/JKB
서울지역	서울/NNP+지역/NNG
시각·청각·지적여성장애인을	시각/NNG+·/SP+청각/NNG+·/SP+지적여성장애인/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
진행한	진행하/VV+ㄴ/ETM
연구	연구/NNG
결과를	결과/NNG+를/JKO
발표하고,	발표하/VV+고/EC+,/SP
장애	장애/NNG
특성이	특성/NNG+이/JKS
고려되지	고려되/VV+지/EC
않은	않/VX+은/ETM
자녀양육	자녀양육/NNG
지원의	지원/NNG+의/JKG
개선	개선/NNG
필요성을	필요성/NNG+을/JKO
강조했다	강조하/VV+였/EP+다/EC

연구결과에	연구결과/NNG+에/JKB
따르면	따르/VV+면/EC
여성장애인의	여성장애인/NNG+의/JKG
자녀양육에	자녀양육/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
어려움은	어려움/NNG+은/JX
12개	12/SN+개/NNB
세부항목으로	세부항목/NNG+으로/JKB
나눠지는데	나누/VV+어/EC+지/VX+는데/EC
대부분	대부분/NNG
3	3/SN

5점	5/SN+점/NNB
이상을	이상/NNG+을/JKO
넘었다	넘/VV+었/EP+다/EF

5점이	5/SN+점/NNB+이/JKS
‘매우	‘/SN+매우/MAG
어렵다’는	어렵/VA+다/EC+’/SL+는/JX
점을	점/NNG+을/JKO
감안하면	감안하/VV+면/EC
여성장애인이	여성장애인/NNG+이/JKS
자녀를	자녀/NNG+를/JKO
양육하는데	양육하/VV+는/ETM+데/NNB
어려움이	어려움/NNG+이/JKS
높다는	높/VA+다는/ETM
것을	것/NNB+을/JKO
의미한다	의미하/VV+ㄴ다/EF

12개	12/SN+개/NNB
세부항목	세부항목/NNG
중	중/NNB
책읽어주기,	책/NNG+읽/VV+어/EC+주/VX+기/ETN+,/SP
노래불러주기	노래불러주기/NNG
등	등/NNB
6개	6/SN+개/NNB
항목에서	항목/NNG+에서/JKB
장애유형에	장애유형/NNG+에/JKB
따라	따르/VV+아/EC
자녀양육	자녀양육/NNG
어려움에	어려움/NNG+에/JKB
차이가	차이/NNG+가/JKS
있는	있/VA+는/ETM
것으로	것/NNB+으로/JKB
나타났다	나타나/VV+았/EP+다/EC

장애	장애/NNG
유형별로	유형/NNG+별/XSN+로/JKB
살펴보면	살펴보/VV+면/EC
청각장애여성의	청각장애여성/NNG+의/JKG
경우	경우/NNG
노래하기,	노래하/VV+기/ETN+,/SP
이야기하기	이야기하/VV+기/ETN
등	등/NNB
말하는	말하/VV+는/ETM
능력이	능력/NNG+이/JKS
요구되는	요구되/VV+는/ETM
정서적	정서적/NNG
돌봄(4	돌봄/NNG+(/SS+4/SN

4점)에서	4/SN+점/NNB+)/SS+에서/JKB
타	타/VV+아/EC
장애	장애/NNG
여성보다	여성/NNG+보다/JKB
더	더/MAG
많은	많/VA+은/ETM
어려움을	어려움/NNG+을/JKO
느끼는	느끼/VV+는/ETM
것으로	것/NNB+으로/JKB
조사됐다	조사되/VV+었/EP+다/EF

또한	또한/MAG
시각장애여성은	시각장애여성/NNG+은/JX
타	타/MM
장애	장애/NNG
여성보다	여성/NNG+보다/JKB
바깥놀이	바깥놀이/NNG
하기(4	하/VV+기/ETN+(/SS+4/SN

53점),	53/SN+점/NNB+)/SS+,/SP
외출	외출/NNG
및	및/MAG
병원	병원/NNG
데려가기(4	데려가/VV+기/ETN+(/SS+4/SN

41점),	41/SN+점/NNB+)/SS+,/SP
아이의	아이/NNG+의/JKG
건강상태	건강상태/NNG
살피기(3	살피/VV+기/ETN+(/SS+3/SN

7점),	7/SN+점/NNB+)/SS+,/SP
위급상황	위급상황/NNG
시	시/NNG
응급대처(4	응급대처/NNG+(/SS+4/SN

11점)	11/SN+점/NNB+)/SS
등	등/NNB
외부활동에	외부활동/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
어려움이	어려움/NNG+이/JKS
컸다	크/VA+었/EP+다/EF

지적장애여성도	지적장애여성/NNG+도/JX
타	타/MM
장애	장애/NNG
여성보다	여성/NNG+보다/JKB
정신적	정신적/NNG
발달상황	발달상황/NNG
인식(4	인식/NNG+(/SS+4/SN

31점),	31/SN+점/NNB+)/SS+,/SP
자녀양육	자녀양육/NNG
및	및/MAG
교육정보	교육정보/NNG
부족(4	부족/NNG+(/SS+4/SN

44점),	44/SN+점/NNB+)/SS+,/SP
모든	모든/MM
가족이	가족/NNG+이/JKS
해야	하/VV+여야/EC
하는	하/VX+는/ETM
부담(4점)이	부담/NNG+(/SS+4/SN+점/NNB+)/SS+이/JKS
있는	있/VA+는/ETM
것으로	것/NNB+으로/JKB
분석됐다	분석되/VV+었/EP+다/EF

이는	이/NP+는/JX
장애	장애/NNG
특성상	특성/NNG+상/XSN
정상적	정상적/NNG
발달	발달/NNG
상황	상황/NNG
인식하기와	인식하/VV+기/ETN+와/JKB
같은	같/VA+은/ETM
인지적	인지/NNG+적/XSN
능력을	능력/NNG+을/JKO
요구하는	요구하/VV+는/ETM
양육을	양육/NNG+을/JKO
어려워하는	어려워하/VV+는/ETM
것을	것/NNB+을/JKO
나타낸다	나타내/VV+ㄴ다/EC

이에	이/NP+에/JKB
대해	대하/VV+여/EC
김	김/NNP
부장은	부장/NNG+은/JX
“영유아	“/SL+영유아/NNG
자녀를	자녀/NNG+를/JKO
양육함에	양육하/VV+ㅁ/ETN+에/JKB
있어	있/VA+어/EC
각	각/MM
장애유형에	장애유형/NNG+에/JKB
따라	따르/VV+아/EC
모성으로서의	모성/NNG+으로서/JKB+의/JKG
여성장애인들은	여성장애인/NNG+들/XSN+은/JX
어려움의	어려움/NNG+의/JKG
