6세미만	6/SN+세/NNB+미만/NNG
어린이도	어린이/NNG+도/JX
치아홈메우기	치아홈메우기/NNG
건강보험	건강보험/NNG
적용	적용/NNG

어린이	어린이/NNG
충치예방을	충치예방/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
치아홈메우기	치아홈메우기/NNP
건강보험	건강보험/NNG
적용	적용/NNG
연령이	연령/NNG+이/JKS
오는	오/VV+는/ETM
10월부터	10/SN+월/NNB+부터/JX
6세	6/SN+세/NNB
미만으로까지	미만/NNG+으로/JKB+까지/JX
확대되고	확대되/VV+고/EC
치아도	치아/NNG+도/JX
작은	작/VA+은/ETM
어금니까지	어금니/NNG+까지/JX
포함된다	포함되/VV+ㄴ다/EC

보건복지부(이하	보건복지부/NNG+(/SS+이하/NNG
복지부)는	복지부/NNG+)/SS+는/JX
이	이/NP
같은	같/VA+은/ETM
내용이	내용/NNG+이/JKS
담긴	담기/VV+ㄴ/ETM
‘국민건강보험	‘/SN+국민건강보험/NNG
요양급여의	요양급여/NNG+의/JKG
기준에	기준/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
규칙’	규칙/NNG+’/SN
개정안을	개정안/NNG+을/JKO
25일	25/SN+일/NNB
입안예고	입안예/VV+고/EC
한다고	하/VX+ㄴ다고/EC
24일	24/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

지난	지나/VV+ㄴ/ETM
2009년	2009/SN+년/NNB
12월부터	12/SN+월/NNB+부터/JX
6~14세의	6/SN+~/SO+14/SN+세/NNB+의/JKG
어린이	어린이/NNG
중	중/NNB
충치가	충치/NNG+가/JKS
발생치	발생하/VV+지/EC
않은	않/VX+은/ETM
제1대구치(큰	제/XPN+1/SN+대구치/NNG+(/SS+크/VA+ㄴ/ETM
어금니)에	어금니/NNG+)/SS+에/JKB
대해	대하/VV+여/EC
치아홈메우기가	치아홈메우기/NNG+가/JKS
보험	보험/NNG
적용된	적용되/VV+ㄴ/ETM
이후	이후/NNG
충치환자의	충치환자/NNG+의/JKG
1/3정도에서	1/SN+//SP+3/SN+정도/NNG+에서/JKB
충치	충치/NNG
치료대상치아가	치료대상치아/NNG+가/JKS
감소된	감소되/VV+ㄴ/ETM
효과를	효과/NNG+를/JKO
보였으나,	보이/VV+었/EP+으나/EC+,/SP
6세	6/SN+세/NNB
미만	미만/NNG
어린이	어린이/NNG
중	중/NNB
4만1천명이	4/SN+만/NR+1/SN+천/NR+명/NNB+이/JKS
치아발육이	치아발육/NNG+이/JKS
빨라	빠르/VA+아/EC
제1대구치가	제/XPN+1/SN+대구/NNG+치/XSN+가/JKS
났음에도	나/VV+았/EP+음/ETN+에/JKB+도/JX
연령	연령/NNG
때문에	때문/NNB+에/JKB
보험적용이	보험적용/NNG+이/JKS
되지	되/VV+지/EC
않았다	않/VX+았/EP+다/EF

개정안에는	개정안/NNG+에/JKB+는/JX
하한	하한/NNG
연령을	연령/NNG+을/JKO
삭제,	삭제/NNG+,/SP
6세	6/SN+세/NNB
미만의	미만/NNG+의/JKG
어린이도	어린이/NNG+도/JX
보험	보험/NNG
적용을	적용/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
했다	하/VX+였/EP+다/EF

또한	또한/MAG
제1대구치와	제/XPN+1/SN+대구치/NNG+와/JKB
마찬가지로	마찬가지/NNG+로/JKB
1년	1/SN+년/NNB
이내에	이내/NNG+에/JKB
충치가	충치/NNG+가/JKS
발생할	발생하/VV+ㄹ/ETM
확률이	확률/NNG+이/JKS
높은	높/VA+은/ETM
제2대구치도	제/XPN+2/SN+대구치/NNG+도/JX
보험	보험/NNG
적용	적용/NNG
대상에	대상/NNG+에/JKB
포함했다	포함하/VV+였/EP+다/EF

복지부	복지부/NNG
관계자는	관계자/NNG+는/JX
“이번	“/SN+이번/NNG
개정을	개정/NNG+을/JKO
통해	통하/VV+여/EC
충치예방에	충치예방/NNG+에/JKB
효과적인	효과적/NNG+이/VCP+ㄴ/ETM
치아홈메우기	치아홈메우기/NNG
비용에	비용/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
부담	부담/NNG
경감뿐	경감/NNG+뿐/JX
만이	만/NNB+이/JKC
아니라	아니/VCN+라/EC
청소년기,	청소년기/NNG+,/SP
성인기,	성인기/NNG+,/SP
노년기의	노년기/NNG+의/JKG
구강건강	구강건강/NNG
향상에도	향상/NNG+에/JKB+도/JX
기여할	기여하/VV+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
기대했다	기대하/VV+였/EP+다/EC

한편	한편/MAG
이번	이번/NNG
입안예고는	입안/NNG+예고/JKB+는/JX
오는	오/VV+는/ETM
9월	9/SN+월/NNB
3일까지이며,	3/SN+일/NNB+까지/JX+이/VCP+며/EC+,/SP
복지부	복지부/NNG
홈페이지에서	홈페이지/NNG+에서/JKB
확인할	확인하/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC
