성인대상	성인대상/NNG
성범죄	성범죄/NNG
양형기준도	양형기준/NNG+도/JX
대폭	대폭/MAG
올린다	올리/VV+ㄴ다/EC

(서울=연합뉴스)	(/SS+서울/NNP+=/SW+연합뉴스/NNP+)/SS
박대한	박대하/VA+ㄴ/ETM
기자	기자/NNG
=	=/SW
아동ㆍ청소년ㆍ장애인	아동/NNG+ㆍ/SP+청소년/NNG+ㆍ/SP+장애인/NNG
대상	대상/NNG
성범죄에	성범죄/NNG+에/JKB
이어	잇/VV+어/EC
성인	성인/NNG
대상	대상/NNG
성범죄의	성범죄/NNG+의/JKG
양형기준도	양형기준/NNG+도/JX
대폭	대폭/MAG
강화된다	강화되/VV+ㄴ다/EF

강도강간은	강도강간/NNG+은/JX
가중요소가	가중요소/NNG+가/JKS
있을	있/VA+을/ETM
경우	경우/NNG
현행	현행/NNG
양형기준에서는	양형기준/NNG+에서/JKB+는/JX
최고	최고/NNG
징역	징역/NNG
13년형까지만	13/SN+년/NNB+형/XSN+까지만/JX
가능하지만	가능하/VA+지만/EC
앞으로는	앞/NNG+으로/JKB+는/JX
무기징역형까지	무기징역형/NNG+까지/JX
적용하는	적용하/VV+는/ETM
방안이	방안/NNG+이/JKS
추진된다	추진되/VV+ㄴ다/EF

25일	25/SN+일/NNB
법원에	법원/NNG+에/JKB
따르면	따르/VV+면/EC
대법원	대법원/NNG
양형위원회(이기수	양/MM+형위원회/NNG+(/SS+이기수/NNP
위원장)는	위원장/NNG+)/SS+는/JX
국민	국민/NNG
눈높이에	눈높이/NNG+에/JKB
맞는	맞/VV+는/ETM
양형기준을	양형기준/NNG+을/JKO
마련하고자	마련하/VV+고자/EC
성범죄	성범죄/NNG
양형기준을	양형기준/NNG+을/JKO
추가	추가/NNG
개정키로	개정하/VV+기/ETN+로/JKB
하고	하/VV+고/EC
26일	26/SN+일/NNB
제44차	제/XPN+44/SN+차/NNB
전체회의를	전체회의/NNG+를/JKO
열어	열/VV+어/EC
개정	개정/NNG
방안을	방안/NNG+을/JKO
논의한다	논의하/VV+ㄴ다/EF

양형위는	양/MM+형위/NNG+는/JX
우선	우선/MAG
강제추행ㆍ강간	강제추행/NNG+ㆍ/SP+강간/NNG
등	등/NNB
성인	성인/NNG
대상	대상/NNG
성범죄의	성범죄/NNG+의/JKG
양형기준을	양형기준/NNG+을/JKO
대폭	대폭/MAG
강화한다는	강화하/VV+ㄴ다는/ETM
기본	기본/NNG
방침을	방침/NNG+을/JKO
세웠다	세우/VV+었/EP+다/EC

이에	이/NP+에/JKB
따라	따르/VV+아/EC
일반강제추행(현행	일반강제추행/NNG+(/SS+현행/NNG
기본구간	기본구간/NNG
징역	징역/NNG
6월∼2년),	6/SN+월/NNB+∼/SO+2/SN+년/NNB+)/SS+,/SP
친족ㆍ주거침입ㆍ특수강제추행(2년6월∼5년),	친족/NNG+ㆍ/SP+주거침입/NNG+ㆍ/SP+특수강제추행/NNG+(/SS+2/SN+년/NNB+6/SN+월/NNB+∼/SO+5/SN+년/NNB+)/SS+,/SP
특수강도강제추행(6∼9년),	특수강도강제추행/NNG+(/SS+6/SN+∼/SO+9/SN+년/NNB+)/SS+,/SP
일반강간(2년6월∼5년),	일반강간/NNG+(/SS+2/SN+년/NNB+6/SN+월/NNB+∼/SO+5/SN+년/NNB+)/SS+,/SP
친족ㆍ주거침입ㆍ특수강간(5∼8년),	친족/NNG+ㆍ/SP+주거침입ㆍ특수강간/NNG+(/SS+5/SN+∼/SO+8/SN+년/NNB+)/SS+,/SP
강도강간(7∼10년)	강도강간/NNG+(/SS+7/SN+∼/SO+10/SN+년/NNB+)/SS
등	등/NNB
모든	모든/MM
성범죄의	성범죄/NNG+의/JKG
형량이	형량/NNG+이/JKS
최소	최소/NNG
1∼2년에서	1/SN+∼/SO+2/SN+년/NNB+에서/JKB
최대	최대/NNG
3∼4년	3/SN+∼/SO+4/SN+년/NNB
늘어날	늘어나/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다	전망되/VV+ㄴ다/EF

양형위는	양/MM+형위/NNG+는/JX
강도강간에	강도강간/NNG+에/JKB
대해서는	대하/VV+여서/EC+는/JX
더	더/MAG
엄격한	엄격하/VA+ㄴ/ETM
기준을	기준/NNG+을/JKO
마련키로	마련하/VV+기/ETN+로/JKB
하고	하/VV+고/EC
가중요소	가중요소/NNG
고려	고려/NNP
시	시/NNG
현행	현행/NNG
9∼13년에서	9/SN+∼/SO+13/SN+년/NNB+에서/JKB
최고	최고/NNG
무기징역형을	무기징역형/NNG+을/JKO
적용하는	적용하/VV+는/ETM
방안을	방안/NNG+을/JKO
검토하고	검토하/VV+고/EC
있다	있/VX+다/EC

현재	현재/MAG
특별양형인자	특별양형인자/NNG
중	중/NNB
유일하게	유일하/VA+게/EC
남아있는	남/VV+아/EC+있/VX+는/ETM
감경요소인	감경요소/NNG+이/VCP+ㄴ/ETM
'폭행ㆍ협박이	'/SS+폭행/NNG+ㆍ/SP+협박/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
위계ㆍ위력을	위계/NNG+ㆍ/SP+위력/NNG+을/JKO
사용한	사용하/VV+ㄴ/ETM
경우'를	경우/NNG+'/SS+를/JKO
삭제하는	삭제하/VV+는/ETM
방안도	방안/NNG+도/JX
논의될	논의되/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

양형기준에서	양형기준/NNG+에서/JKB
형량범위는	형량범위/NNG+는/JX
감경구간,	감경구간/NNG+,/SP
기본구간,	기본구간/NNG+,/SP
가중구간으로	가중구간/NNG+으로/JKB
나뉜다	나뉘/VV+ㄴ다/EF

일반양형인자는	일반양형인자/NNG+는/JX
정해진	정하/VV+여/EC+지/VX+ㄴ/ETM
형량구간	형량구간/NNG
내에서만	내/NNB+에서/JKB+만/JX
참작되지만	참작되/VV+지만/EC
특별양형인자는	특별양형인자/NNG+는/JX
양형의	양형/NNG+의/JKG
감경구간과	감경구간/NNG+과/JC
가중구간	가중구간/NNG
적용	적용/NNG
여부에	여부/NNG+에/JKB
영향을	영향/NNG+을/JKO
미친다	미치/VV+ㄴ다/EC

특별양형인자에서	특별양형인자/NNG+에서/JKB
감경요소가	감경요소/NNG+가/JKS
사라지면	사라지/VV+면/EC
성범죄자가	성범죄자/NNG+가/JKS
기본구간에서	기본구간/NNG+에서/JKB
감경구간으로	감경구간/NNG+으로/JKB
형량이	형량/NNG+이/JKS
약해지는	약하/VA+여/EC+지/VX+는/ETM
경우는	경우/NNG+는/JX
발생하지	발생하/VV+지/EC
않는다	않/VX+는다/EF

지금까지는	지금/NNG+까지는/JX
강제추행ㆍ강간에	강제추행/NNG+ㆍ/SP+강간/NNG+에/JKB
폭행이나	폭행/NNG+이나/JC
협박이	협박/NNG+이/JKS
동반되지	동반되/VV+지/EC
않으면	않/VX+으면/EC
형량을	형량/NNG+을/JKO
줄일	줄이/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
요소로	요소/NNG+로/JKB
참작됐지만	참작되/VV+었/EP+지만/EC
이제는	이제/NNG+는/JX
지위,	지위/NNG+,/SP
권세,	권세/NNG+,/SP
수적	수적/NNG
우세	우세/NNG
등을	등/NNB+을/JKO
이용하거나(위력)	이용하/VV+거나/EC+(/SS+위력/NNG+)/SS
거짓말	거짓말/NNG
등으로	등/NNB+으로/JKB
올바른	올바르/VA+ㄴ/ETM
판단을	판단/NNG+을/JKO
못하게	못하/VV+게/EC
하는	하/VX+는/ETM
경우(위계)도	경우/NNG+(/SS+위계/NNG+)/SS+도/JX
감경요소에서	감경요소/NNG+에서/JKB
배제된다	배제되/VV+ㄴ다/EF

양형위는	양/MM+형위/NNG+는/JX
모든	모든/MM
성범죄에	성범죄/NNG+에/JKB
대해	대하/VV+여/EC
이처럼	이/NP+처럼/JKB
특별양형인자	특별양/NNG+형/XSN+이/VCP+ㄴ자/EC
감경요소를	감경요소/NNG+를/JKO
삭제하는	삭제하/VV+는/ETM
방안을	방안/NNG+을/JKO
신중히	신중히/MAG
검토할	검토하/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

양형위는	양형위/NNG+는/JX
26일	26/SN+일/NNB
전체회의	전체회의/NNG
의견을	의견/NNG+을/JKO
토대로	토대/NNG+로/JKB
오는	오/VV+는/ETM
12월	12/SN+월/NNB
강화된	강화되/VV+ㄴ/ETM
성범죄	성범죄/NNG
양형기준을	양형기준/NNG+을/JKO
최종	최종/NNG
확정해	확정하/VV+여/EC
즉각	즉각/MAG
적용한다는	적용하/VV+ㄴ다는/ETM
방침이다	방침/NNG+이/VCP+다/EC

