'상해보험'	'/SS+상해보험/NNG+'/SS
때문에	때문/NNB+에/JKB
서러운	서럽/VA+ㄴ/ETM
장애인선수들	장애인선수/NNG+들/XSN

장애인선수들이	장애인선수/NNG+들/XSN+이/JKS
경기	경기/NNG
중	중/NNB
발생할	발생하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
위험에	위험/NNG+에/JKB
대비한	대비하/VV+ㄴ/ETM
최소한의	최소한/NNG+의/JKG
안전장치인	안전장치/NNG+이/VCP+ㄴ/ETM
상해보험에	상해보험/NNP+에/JKB
가입하기가	가입하/VV+기/ETN+가/JKS
'하늘의	'/SS+하늘/NNG+의/JKG
별	별/NNG
따기'인데다,	따/VV+기/ETN+'/SS+이/VCP+ㄴ데/EC+다/JX+,/SP
어렵게	어렵/VA+게/EC
가입한다고	가입하/VV+ㄴ다고/EC
하더라도	하/VV+더라도/EC
혜택의	혜택/NNG+의/JKG
제한을	제한/NNG+을/JKO
받고	받/VV+고/EC
있다는	있/VX+다는/ETM
지적이다	지적/NNG+이/VCP+다/EC

국회	국회/NNG
문회체육관광방송통신위원회	문회체육관광방송통신/NNP+위원회/NNG
소속	소속/NNG
이재영	이재영/NNP
의원(새누리당)은	의원/NNG+(/SS+새누리당/NNP+)/SS+은/JX
19일	19/SN+일/NNB
국정감사	국정감사/NNG
자료를	자료/NNG+를/JKO
통해	통하/VV+여/EC
"장애인	"/SS+장애인/NNG
등록	등록/NNG
선수는	선수/NNG+는/JX
급증하고	급증하/VV+고/EC
있으나	있/VX+으나/EC
이들에	이/NP+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
상해보험가입에는	상해보험가입/NNP+에/JKB+는/JX
제한이	제한/NNG+이/JKS
많을	많/VA+을/ETM
뿐만	뿐/NNB+만/JX
아니라	아니/VCN+라/EC
다치더라도	다치/VV+더라도/EC
제대로	제대로/MAG
된	되/VV+ㄴ/ETM
보상을	보상/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
없는	없/VA+는/ETM
게	것/NNB+이/JKS
현실"이라고	현실/NNG+"/SS+이라고/JKQ
꼬집었다	꼬집/VV+었/EP+다/EF

이	이/MM
의원이	의원/NNG+이/JKS
대한장애인체육회로부터	대한/NNP+장애인체육회/NNG+로부터/JKB
제출	제출/NNG
받은	받/VV+은/ETM
자료에	자료/NNG+에/JKB
따르면	따르/VV+면/EC
올해	올해/NNG
9월말	9/SN+월말/NNB
현재	현재/MAG
종목별	종목별/NNG
등록된	등록되/VV+ㄴ/ETM
장애인	장애인/NNG
선수는	선수/NNG+는/JX
1만	1/SN+만/NR
224명으로,	224/SN+명/NNB+으로/JKB+,/SP
지난	지나/VV+ㄴ/ETM
2008년보다	2008/SN+년/NNB+보다/JKB
약	약/MM
1	1/SN

7배	7/SN+배/NNG
증가했다	증가하/VV+였/EP+다/EC

5년간	5/SN+년/NNB+간/XSN
경기	경기/NNP
중	중/NNB
부상을	부상/NNG+을/JKO
당한	당하/VV+ㄴ/ETM
선수는	선수/NNG+는/JX
368명으로	368/SN+명/NNB+으로/JKB
육상이	육상/NNG+이/JKS
170명(46	170/SN+명/NNB+(/SS+46/SN

2%)으로	2/SN+%/SW+)/SS+으로/JKB
가장	가장/MAG
많았다	많/VA+았/EP+다/EC

스키(42명),	스키/NNP+(/SS+42/SN+명/NNB+)/SS+,/SP
사이클(41명),	사이클/NNG+(/SS+41/SN+명/NNB+)/SS+,/SP
하키(27명),	하키/NNP+(/SS+27/SN+명/NNB+)/SS+,/SP
축구(21명)	축구/NNG+(/SS+21/SN+명/NNB+)/SS
등이	등/NNB+이/JKS
뒤를	뒤/NNG+를/JKO
이었다	잇/VV+었/EP+다/EF

이	이/MM
의원은	의원/NNG+은/JX
대한장애인체육회	대한장애인체육회/NNP
관계자에게	관계자/NNG+에게/JKB
확인한	확인하/VV+ㄴ/ETM
바에	바/NNB+에/JKB
의하면	의하/VV+면/EC
장애인선수는	장애인선수/NNG+는/JX
가입조건에서	가입조건/NNG+에서/JKB
고위험군으로	고위험군/NNG+으로/JKB
구분되어	구분되/VV+어/EC
가입할	가입하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
보험종류가	보험종류/NNG+가/JKS
제한적이며,	제한/NNG+적/XSN+이/VCP+며/EC+,/SP
가입심사	가입심사/NNG
및	및/MAG
기준이	기준/NNG+이/JKS
까다로워	까다롭/VA+어/EC
가입하기가	가입하/VV+기/ETN+가/JKS
사실상	사실상/NNG
어려운	어렵/VA+ㄴ/ETM
실정이라고	실정/NNG+이/VCP+라고/EC
설명했다	설명하/VV+었/EP+다/EC

또한	또한/MAG
