"인체드로잉	"/SS+인체드로잉/NNG
감상하러	감상하/VV+러/EC
오세요"	오/VV+세요/EF+"/SS

선사랑드로잉회가	선사랑드로잉/NNG+회/XSN+가/JKS
오는	오/VV+는/ETM
10월	10/SN+월/NNB
3일부터	3/SN+일/NNB+부터/JX
9일까지	9/SN+일/NNB+까지/JX
인사아트플라자에서	인사아트플라자/NNG+에서/JKB
‘제4회	‘/SN+제/XPN+4/SN+회/NNB
선사랑	선사랑/NNG
드로잉전’을	드로잉전’/NNG+을/JKO
개최한다	개최하/VV+ㄴ다/EF

선사랑드로잉회의	선사랑드로잉/NNG+회/XSN+의/JKG
지난	지나/VV+ㄴ/ETM
2000년에	2000/SN+년/NNB+에/JKB
‘선사랑	‘/SN+선사/NNG+랑/JKB
크로키회’라는	크로키회’/NNG+이/VCP+라는/ETM
이름으로	이름/NNG+으로/JKB
창립해	창립하/VV+여/EC
창작	창작/NNG
활동,	활동/NNG+,/SP
후배	후배/NNG
양성에	양성/NNG+에/JKB
힘쓰며	힘쓰/VV+며/EC
장애인	장애인/NNG
화가들의	화가/NNG+들/XSN+의/JKG
역량을	역량/NNG+을/JKO
키워오고	키우/VV+어/EC+오/VX+고/EC
있다	있/VX+다/EC

이번	이번/NNG
전시회는	전시회/NNG+는/JX
선사랑드로잉회의	선사랑드로잉/NNG+회/XSN+의/JKG
30명	30/SN+명/NNB
회원들이	회원/NNG+들/XSN+이/JKS
장애미술인의	장애미술인/NNG+의/JKG
전문화를	전문화/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
인체드로잉	인체드로잉/NNG
심화강좌를	심화강좌/NNG+를/JKO
이수한	이수하/VV+ㄴ/ETM
결과물을	결과물/NNG+을/JKO
발표하기	발표하/VV+기/ETN
위해	위하/VV+여/EC
진행되며,	진행되/VV+며/EC+,/SP
60여	60/SN+여/XSN
작품이	작품/NNG+이/JKS
관객들에게	관객/NNG+들/XSN+에게/JKB
선을	선/NNG+을/JKO
보인다	보일/VV+ㄴ다/EF

한편	한편/MAG
이번	이번/NNG
전시회는	전시회/NNG+는/JX
한국문화예술위원회의	한국문화예술위원회/NNP+의/JKG
‘2012년	‘/SL+2012/SN+년/NNB
장애인	장애인/NNG
창작	창작/NNG
및	및/MAG
표현활동	표현활동/NNG
지원사업’	지원사업’/NNG
일환으로	일환/NNG+으로/JKB
진행되며,	진행되/VV+며/EC+,/SP
행복공감복권위원회의	행복공감복권위원회/NNG+의/JKG
후원으로	후원/NNG+으로/JKB
마련된다	마련되/VV+ㄴ다/EC
