씁쓸한	씁쓸하/VA+ㄴ/ETM
장애예술인들의	장애예술인/NNG+들/XSN+의/JKG
‘현주소’	‘/SN+현주소/NNG+’/SN

“장애인이	“/SL+장애인/NNG+이/JKS
연극한다고	연극하/VV+ㄴ다고/EC
하면,	하/VV+면/EC+,/SP
‘이제	‘/SL+이제/MAG
살만한가	살만하/VA+ㄴ가/EC
보다?’	보/VX+다/EF+?/SF+’/SL
라는	이/VCP+라는/ETM
편견어린	편견/NNG+어리/VV+ㄴ/ETM
시선이	시선/NNG+이/JKS
아직도	아직/MAG+도/JX
사회에	사회/NNG+에/JKB
팽배해요	팽배해요/VV

”	”/SL
(장애인	(/SS+장애인/NNG
연극배우	연극배우/NNG
A씨)“첫번째는	A/SL+씨/NNB+)/SS+“/SN+첫/NR+번째/NNB+는/JX
돈이고,	돈/NNG+이/VCP+고/EC+,/SP
그	그/MM
들어간	들어가/VV+ㄴ/ETM
돈이	돈/NNG+이/JKS
판매가	판매/NNG+가/JKC
되어	되/VV+어/EC
갖고	갖/VV+고/EC
순환이	순환/NNG+이/JKC
되어야	되/VV+어야/EC
하는데	하/VX+는데/EC
이게	이것/NP+이/JKS
잘	잘/MAG
안될	안되/VV+ㄹ/ETM
경우에	경우/NNG+에/JKB
빚이	빚/NNG+이/JKS
되잖아요	되/VV+지/EC+않/VX+아요/EF

전시회하고	전시회하/VV+고/EC
빚을	빚/NNG+을/JKO
진	지/VV+ㄴ/ETM
사람이	사람/NNG+이/JKC
꽤	꽤/MAG
되더라구요	되/VV+더라구오/EF

운이	운/NNG+이/JKS
좋아	좋/VA+아/EC
들어간	들어가/VV+ㄴ/ETM
것	것/NNB
만큼	만큼/NNB
들어오고,	들어오/VV+고/EC+,/SP
그	그/MM
다음에	다음/NNG+에/JKB
전시회	전시회/NNG
할	하/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
정도가	정도/NNG+가/JKC
되야”	되/VV+야”/EC
(크로키	(/SS+크로키/NNG
화가	화가/NNG
석창우)“어쨌든	석창우/NNP+)/SS+“어쩌/VV+었/EP+든/EC
시각	시각/NNG
장애인이고	장애인/NNG+이/VCP+고/EC
그	그/MM
희귀성	희귀성/NNG
때문에	때문/NNB+에/JKB
나는	나/VV+는/ETM
이렇게	이렇/VA+게/EC
돈을	돈/NNG+을/JKO
벌고	벌/VV+고/EC
사는	살/VV+는/ETM
부분은	부분/NNG+은/JX
있지만	있/VA+지만/EC
시각	시각/NNG
장애인이기	장애인/NNG+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
메인	메인/NNG
스트림	스트림/NNG
속에	속/NNG+에/JKB
들어가지	들어가/VV+지/EC
못하는	못하/VX+는/ETM
그런	그런/MM
분노와	분노/NNG+와/JC
한은	한/NNG+은/JX
있는거죠	있/VA+는거죠/EF

”	”/SL
(클라리넷	(/SS+클라리넷/NNG
연주가	연주가/NNG
이상재)도대체	이상재/NNP+)/SS+도대체/NNG
우리나라에	우리나라/NNG+에/JKB
장애인예술정책이란	장애인예술정책/NNG+이/VCP+란/ETM
것이	것/NNB+이/JKS
존재하는	존재하/VV+는/ETM
것일까?	것/NNB+이/VCP+ㄹ까/EF+?/SF
이	이/MM
질문의	질문/NNG+의/JKG
대답은	대답/NNG+은/JX
