“우리부부	“/SL+우리/NP+부부/NNG
이제부터	이제/NNG+부터/JX
다시	다시/MAG
신혼시작!”	신혼시작/NNG+!/SF+”/SL

예년과는	예년/NNG+과/JKB+는/JX
사뭇	사뭇/MAG
다른	다르/VA+ㄴ/ETM
쌀쌀한	쌀쌀하/VA+ㄴ/ETM
11월	11/SN+월/NNB
말	말/NNB

가을이	가을/NNG+이/JKS
가고	가/VV+고/EC
겨울이	겨울/NNG+이/JKS
다가오는	다가오/VV+는/ETM
이	이/MM
시점에	시점/NNG+에/JKB
대한민국	대한민국/NNP
제2의	제/XPN+2/SN+의/JKG
도시이자	도시/NNG+이/VCP+자/EC
제일의	제일/NNG+의/JKG
항구인	항구/NNG+이/VCP+ㄴ/ETM
부산에는	부산/NNP+에/JKB+는/JX
신혼여행을	신혼여행/NNG+을/JKO
온	오/VV+ㄴ/ETM
24쌍의	24/SN+쌍/NNG+의/JKG
부부로	부부/NNG+로/JKB
따듯한	따듯하/VA+ㄴ/ETM
바람이	바람/NNG+이/JKS
불었다	불/VV+었/EP+다/EC

장애와	장애/NNG+와/JC
경제적인	경제적/NNG+이/VCP+ㄴ/ETM
어려움으로	어려움/NNG+으로/JKB
결혼식은	결혼식/NNG+은/JX
물론이고	물론/NNG+이/VCP+고/EC
신혼여행도	신혼여행/NNG+도/JX
가지	가/VV+지/EC
못했던	못하/VX+였/EP+던/ETM
장애인부부를	장애인부부/NNG+를/JKO
위해	위하/VV+여/EC
기아자동차와	기아자동차/NNP+와/JC
초록여행이‘리마인드	초록여행이‘리마인드/NNG
허니문’부산여행을	허니문/NNG+’/SL+부산여행/NNG+을/JKO
마련했다	마련하/VV+였/EP+다/EC

이번	이번/NNG
2차여행은	2/SN+차/NNB+여/XSN+행/NNG+은/JX
지체·뇌병변장애로	지체/NNG+·/SP+뇌병변장애/NNG+로/JKB
구성된	구성되/VV+ㄴ/ETM
장애인부부만을	장애인부부/NNG+만/JX+을/JKO
위한	위하/VV+ㄴ/ETM
여행으로	여행/NNG+으로/JKB
진행됐다	진행되/VV+었/EP+다/EF

바람이	바람/NNG+이/JKS
유난히	유난히/MAG
차갑게	차갑/VA+게/EC
불던	불/VV+던/ETM
11월24일	11/SN+월/NNB+24/SN+일/NNB
오전	오전/NNG

이른	이르/VA+ㄴ/ETM
시간에도	시간/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
신혼여행을	신혼여행/NNG+을/JKO
가기위한	가/VV+기/ETN+위하/VV+ㄴ/ETM
부부들의	부부/NNG+들/XSN+의/JKG
표정은	표정/NNG+은/JX
한결	한결/MAG
밝았고	밝/VA+았/EP+고/EC
발걸음은	발걸음/NNG+은/JX
가벼웠다	가볍/VA+었/EP+다/EF

이번	이번/NNG
여행은	여행/NNG+은/JX
휠체어를	휠체어/NNG+를/JKO
이용하는	이용하/VV+는/ETM
부부들을	부부/NNG+들/XSN+을/JKO
위해	위하/VV+여/EC
안전하고	안전하/VA+고/EC
편안한	편안하/VA+ㄴ/ETM
특장버스	특장버스/NNG
3대를	3/SN+대/NNB+를/JKO
준비하였을	준비하/VV+였/EP+을/ETM
뿐만	뿐/NNB+만/JX
아니라	아니/VCN+라/EC
일정의	일정/NNG+의/JKG
모든	모든/MM
음식점과	음식점/NNG+과/JC
관광명소가	관광명소/NNG+가/JKS
휠체어	휠체어/NNG
이동이	이동/NNG+이/JKS
가능할	가능하/VA+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
장소이며,	장소/NNG+이/VCP+며/EC+,/SP
안전과	안전/NNG+과/JC
활동보조를	활동보조/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
자원봉사자12명이	자원봉사자/NNG+12/SN+명/NNB+이/JKS
참여해	참여하/VV+여/EC
중증장애인	중증장애인/NNG
부부에게	부부/NNG+에게/JKB
최적화	최적화/NNG
되었다	되/VV+었/EP+다/EC

또한	또한/MAG
2박3일	2/SN+박/NNB+3/SN+일/NNB
일정으로	일정/NNG+으로/JKB
충북	충북/NNP
속리산을	속리산/NNP+을/JKO
경유하여	경유하/VV+여/EC
부산	부산/NNP
동백섬,	동백섬/NNP+,/SP
해운대,	해운대/NNP+,/SP
부산	부산/NNP
아쿠아리움,	아쿠아리움/NNG+,/SP
자갈치시장,	자갈치시장/NNP+,/SP
거가대교,	거가대교/NNG+,/SP
원예예술촌	원예예술촌/NNG
등	등/NNB
부산·남해의	부산/NNP+·/SP+남해/NNP+의/JKG
대표적인	대표적/NNG+이/VCP+ㄴ/ETM
명소를	명소/NNG+를/JKO
관광하는	관광하/VV+는/ETM
신혼여행	신혼여행/NNG
코스로	코스/NNG+로/JKB
이루어져	이루어지/VV+어/EC
참여	참여/NNG
장애인부부의	장애인부부/NNG+의/JKG
눈길을	눈길/NNG+을/JKO
사로잡기에	사로잡/VV+기/ETN+에/JKB
충분했다	충분하/VV+였/EP+다/EF

속리산	속리산/NNP
법주사	법주사/NNP
산책중인	산책/NNG+중/NNB+이/VCP+ㄴ/ETM
김성규씨	김성규/NNP+씨/NNB
부부	부부/NNG

ⓒ초록여행	ⓒ/SL+초록/NNP+여행/NNG
이번	이번/NNG
단체여행에	단체여행/NNG+에/JKB
참여한	참여하/VV+ㄴ/ETM
장애인	장애인/NNG
24쌍	24/SN+쌍/NNG
중	중/NNB
유난히	유난히/MAG
사이가	사이/NNG+가/JKS
좋아보이는	좋/VA+아/EC+보이/VV+는/ETM
김성규(52)씨	김성규/NNP+(/SS+52/SN+)/SS+씨/NNB
부부가	부부/NNG+가/JKS
눈에	눈/NNG+에/JKB
띄었다	띄/VV+었/EP+다/EF

김씨는	김/NNP+씨/NNB+는/JX
전동스쿠터를	전동스쿠터/NNG+를/JKO
타는	타/VV+는/ETM
지체1급장애인으로	지체/NNG+1/SN+급장애인/NNG+으로/JKB
비장애인	비/XPN+장애인/NNG
아내와	아내/NNG+와/JKB
함께	함께/MAG
참여하였다	참여하/VV+였/EP+다/EF

부부는	부부/NNG+는/JX
17년전	17/SN+년/NNB+전/NNG
친구의	친구/NNG+의/JKG
소개로	소개/NNG+로/JKB
만나	만나/VV+아/EC
결혼을	결혼/NNG+을/JKO
빨리하고	빨리하/VV+고/EC
싶었지만	싶/VX+었/EP+지만/EC
남편의	남편/NNG+의/JKG
장애로	장애/NNG+로/JKB
인해	인하/VV+여/EC
처가의	처가/NNG+의/JKG
반대가	반대/NNG+가/JKS
심했다	심하/VA+었/EP+다/EC

“제	“/SL+제/NNG
장애로	장애/NNG+로/JKB
인해	인하/VV+여/EC
처가의	처가/NNG+의/JKG
반대가	반대/NNG+가/JKS
정말	정말/MAG
심했어요	심하/VA+었/EP+어요/EC

양가	양가/NNG
허락	허락/NNG
없이	없이/MAG
어렵게	어렵/VA+게/EC
같이	같이/MAG
살게	살/VV+게/EC
되니	되/VV+니/EC
결혼은커녕	결혼/NNG+은커녕/JX
