“엄마,	“/SN+엄마/NNG+,/SP
나	나/NP
패럴림픽	패럴림픽/NNG
금메달	금메달/NNG
땄어요!”	따/VV+았/EP+어요/EF+!/SF+”/SN

한국	한국/NNP
선수끼리	선수/NNG+끼리/XSN
맞붙어	맞붙/VV+어/EC
화제를	화제/NNG+를/JKO
모았던	모으/VV+았/EP+던/ETM
보치아	보치아/NNP
BC3	BC/SL+3/SN
개인전에서	개인전/NNG+에서/JKB
최예진이	최예진/NNP+이/JKS
세계랭킹1위	세계랭킹/NNG+1/SN+위/NNB
정호원을	정호원/NNG+을/JKO
누르고	누르/VV+고/EC
금메달을	금메달/NNG+을/JKO
차지했다	차지하/VV+었/EP+다/EC

최예진은	최예진/NNP+은/JX
8일	8/SN+일/NNB
오후	오후/NNG
4시25분(현지시간)	4/SN+시/NNB+25/SN+분/NNB+(/SS+현지시간/NNG+)/SS
액셀	액셀/NNP
노스	노스/NNG
아레나	아레나/NNP
보치아	보치아/NNP
경기장에서	경기장/NNG+에서/JKB
펼쳐진	펼쳐지/VV+ㄴ/ETM
결승에서	결승/NNG+에서/JKB
세계랭킹1위인	세계랭킹/NNG+1/SN+위/NNB+이/VCP+ㄴ/ETM
한국의	한국/NNP+의/JKG
정호원에게	정호원/NNG+에게/JKB
최종	최종/NNG
스코어	스코어/NNG
4대3으로	4/SN+대/NNB+3/SN+으로/JKB
승리하며	승리하/VV+며/EC
시상대	시상대/NNG
최상단에	최/XPN+상단/NNG+에/JKB
올라섰다	올라서/VV+었/EP+다/EF

남	남/NNG
녀	녀/NNG
구분	구분/NNG
없이	없이/MAG
혼성으로	혼성/NNG+으로/JKB
경기가	경기/NNG+가/JKS
진행되는	진행되/VV+는/ETM
보치아	보치아/NNP
종목에서	종목/NNG+에서/JKB
여자	여자/NNG
선수가	선수/NNG+가/JKS
패럴림픽	패럴림픽/NNG
금메달을	금메달/NNG+을/JKO
획득한	획득하/VV+ㄴ/ETM
것은	것/NNB+은/JX
이번이	이번/NNG+이/JKS
처음으로	처음/NNG+으로/JKB
최예진은	최예진/NNP+은/JX
새로운	새롭/VA+ㄴ/ETM
역사를	역사/NNG+를/JKO
기록하게	기록하/VV+게/EC
됐다	되/VV+었/EP+다/EC

이전까지	이전/NNG+까지/JX
여자선수는	여자선수/NNG+는/JX
이	이/MM
경기에서	경기/NNG+에서/JKB
동메달도	동메달/NNG+도/JX
획득한	획득하/VV+ㄴ/ETM
적이	적/NNB+이/JKS
없었다	없/VA+었/EP+다/EF

런던	런던/NNP
입성	입성/NNG
후	후/NNG
세계랭킹	세계랭킹/NNG
1위인	1/SN+위/NNB+이/VCP+ㄴ/ETM
정호원에	정호원/NNP+에/JKB
비해	비하/VV+여/EC
세계대회	세계대회/NNG
경험이	경험/NNG+이/JKS
다소	다소/MAG
적어,	적어/NNG+,/SP
결승전	결승전/NNG
예상은	예상/NNG+은/JX
정호원	정호원/NNP
쪽으로	쪽/NNB+으로/JKB
기울지	기울/VV+지/EC
않을까	않/VX+을까/EC
예상했다	예상하/VV+였/EP+다/EC

하지만,	하지만/MAJ+,/SP
최예진은	최예진/NNP+은/JX
준결승에서부터	준결승/NNG+에서부터/JKB
돋보이는	돋보이/VV+는/ETM
경기를	경기/NNG+를/JKO
펼쳤다	펼치/VV+었/EP+다/EC

최예진은	최예진/NNP+은/JX
한국의	한국/NNP+의/JKG
김한수와의	김한수/NNP+와/JKB+의/JKG
준결승전에서	준결승전/NNG+에서/JKB
8대0으로	8/SN+대/NNB+0/SN+으로/JKB
승리를	승리/NNG+를/JKO
거두며,	거두/VV+며/EC+,/SP
이번	이번/NNG
대회	대회/NNG
절정의	절정/NNG+의/JKG
컨디션을	컨디션/NNG+을/JKO
선보이며	선보이/VV+며/EC
결승전에	결승전/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
기대를	기대/NNG+를/JKO
높였다	높이/VV+었/EP+다/EF

이날	이날/NNG
결승전에서는	결승전/NNG+에서/JKB+는/JX
막판	막판/NNG
