온	온/MM
가족이	가족/NNG+이/JKS
함께한	함께하/VV+ㄴ/ETM
7080콘서트	7080/SN+콘서트/NNG

386세대라는	386/SN+세대/NNG+이/VCP+라는/ETM
말이	말/NNG+이/JKS
유행했었다	유행하/VV+였었/EP+다/EF

386세대란	386/SN+세대/NNG+란/JX
60년대에	60/SN+년대/NNB+에/JKB
태어나	태어나/VV+아/EC
80년대에	80/SN+년대/NNB+에/JKB
대학을	대학/NNG+을/JKO
다녔던	다니/VV+었/EP+던/ETM
30대를	30/SN+대/NNB+를/JKO
가리키는	가리키/VV+는/ETM
말이라고	말/NNG+이/VCP+라고/EC
한다	하/VV+ㄴ다/EF

그들이	그/NP+들/XSN+이/JKS
30대였을	30/SN+대/NNB+이/VCP+었/EP+을/ETM
때는	때/NNG+는/JX
1990년대였다	1990/SN+년/NNB+대/XSN+이/VCP+었/EP+다/EF

386세대가	386/SN+세/NNB+대/XSN+가/JKS
젊었을	젊/VA+었/EP+을/ETM
때는	때/NNG+는/JX
70~80년쯤이었을까	70/SN+~/SO+80/SN+년/NNB+쯤/XSN+이/VCP+었/EP+을까/EC

‘콘서트7080’	‘/SL+콘서트/NNG+7080’/SN
입장권	입장권/NNG

ⓒ이복남	ⓒ/SL+이복/NNP+남/NNG
386세대와는	386/SN+세대/NNG+와/JKB+는/JX
별도로	별도/NNG+로/JKB
7080이라는	7080/SN+이/VCP+라는/ETM
말이	말/NNG+이/JKS
유행하기	유행하/VV+기/ETN
시작했다	시작하/VV+였/EP+다/EF

인터넷에서	인터넷/NNG+에서/JKB
‘7080’이라고	‘7080’/SN+이/VCP+라고/EC
검색을	검색/NNG+을/JKO
해	하/VV+여/EC
보면	보/VX+면/EC
관련	관련/NNG
단어들이	단어/NNG+들/XSN+이/JKS
쭈르르	쭈르르/MAG
뜨는데	뜨/VV+는데/EC
제일	제일/MAG
앞에	앞/NNG+에/JKB
나오는	나오/VV+는/ETM
것이	것/NNB+이/JKS
7080콘서트	7080/SN+콘서트/NNG
또는	또는/MAG
7080노래듣기	7080/SN+노래듣기/NNG
등이다	등/NNB+이/VCP+다/EC

70~80년대에	70/SN+~/SO+80/SN+년대/NNB+에/JKB
젊은	젊/VA+은/ETM
시절을	시절/NNG+을/JKO
보낸	보내/VV+ㄴ/ETM
사람들을	사람/NNG+들/XSN+을/JKO
일컫는	일컫/VV+는/ETM
말이라고	말/NNG+이/VCP+라고/EC
한다	하/VV+ㄴ다/EF

7080노래는	7080/SN+노래/NNG+는/JX
그	그/MM
때	때/NNG
그	그/MM
시절	시절/NNG
젊은이들에게	젊은이/NNG+들/XSN+에게/JKB
유행했던	유행하/VV+였/EP+던/ETM
노래였다	노래/NNG+이/VCP+었/EP+다/EF

KBS	KBS/SL
1TV에서는	1/SN+TV/SL+에서/JKB+는/JX
2004년부터	2004/SN+년/NNB+부터/JX
일요일	일요일/NNG
밤	밤/NNG
11시에	11/SN+시/NNB+에/JKB
‘콘서트7080’을	‘/SL+콘서트/NNG+7080/SN+’/SL+을/JKO
배철수의	배철수/NNP+의/JKG
사회로	사회/NNG+로/JKB
진행하고	진행하/VV+고/EC
있는데	있/VX+는데/EC
KBS	KBS/SL
부산방송국	부산/NNP+방송국/NNG
개국	개국/NNG
77주년을	77/SN+주년/NNB+을/JKO
기념하는	기념하/VV+는/ETM
‘콘서트7080’	‘/SL+콘서트/NNG+7080/SN+’/SL
9월	9/SN+월/NNB
15일(토)	15/SN+일/NNB+(/SS+토/NNG+)/SS
부산	부산/NNP
수영만	수영만/NNP
요트	요트/NNG
경기장에서	경기장/NNG+에서/JKB
개최한다고	개최하/VV+ㄴ다고/EC
했다	하/VV+였/EP+다/EC

부산	부산/NNP
‘콘서트7080’의	‘/SL+콘서트/NNG+7080/SN+’/SL+의/JKG
입장은	입장/NNG+은/JX
무료지만	무료/NNG+이/VCP+지만/EC
참가자는	참가자/NNG+는/JX
KBS부산방송총국에서는	KBS/SL+부산방송총국/NNP+에서/JKB+는/JX
미리	미리/MAG
표를	표/NNG+를/JKO
받아야	받/VV+아야/EC
된다고	되/VV+ㄴ다고/EC
했다	하/VV+였/EP+다/EC

‘콘서트7080’	‘/SL+콘서트/NNG+7080’/SN
입장권은	입장권/NNG+은/JX
1인당	1/SN+인/NNG+당/XSN
2장씩	2/SN+장/NNB+씩/XSN
