“나에게	“/SL+나/NP+에게/JKB
필요	필요/NNG
없어도,	없/VA+어도/EC+,/SP
절실한	절실하/VA+ㄴ/ETM
사람	사람/NNG
있어”	있/VA+어”/EC

‘Among	‘Among/SL
The	The/SL
Giants(거인들	Giants/SL+(/SS+거인/NNG+들/XSN
사이에서)'는	사이/NNG+에서/JKB+)'/SS+는/JX
다큐멘터리로	다큐멘터리/NNG+로/JKB
미국의	미국/NNP+의/JKG
‘맞춤형	‘/SL+맞춤형/NNG
디자인	디자인/NNG
연맹’에서	연맹/NNG+’/SL+에서/JKB
종이상자로	종이상자/NNG+로/JKB
쓰이는	쓰이/VV+는/ETM
재질로	재질/NNG+로/JKB
장애인들에게	장애인/NNG+들/XSN+에게/JKB
맞춤식	맞춤식/VV
디자인을	디자인/NNG+을/JKO
설계해	설계하/VV+여/EC
일상생활의	일상생활/NNG+의/JKG
불편함을	불편하/VA+ㅁ/ETN+을/JKO
많이	많이/MAG
해소해	해소하/VV+여/EC
주고	주/VX+고/EC
있는	있/VX+는/ETM
모습들을	모습/NNG+들/XSN+을/JKO
담고	담/VV+고/EC
있다	있/VX+다/EC

이	이/MM
작품에서	작품/NNG+에서/JKB
‘맞춤형	‘/SN+맞춤/NNG+형/XSN
디자인’에	디자인/NNG+’/SL+에/JKB
대해	대하/VV+여/EC
알게	알/VV+게/EC
되니	되/VV+니/EC
자연히	자연히/MAG
‘유니버셜	‘/SL+유니버셜/NNG
디자인’과	디자인’/NNG+과/JKB
비슷한	비슷하/VA+ㄴ/ETM
맥락이라	맥락/NNG+이/VCP+라/EC
이해된다	이해되/VV+ㄴ다/EC

많은	많/VA+은/ETM
장애인들은	장애인/NNG+들/XSN+은/JX
자신이	자신/NNG+이/JKS
갖고	갖/VV+고/EC
있는	있/VX+는/ETM
장애로	장애/NNG+로/JKB
인하여	인하/VV+여/EC
힘들고	힘들/VA+고/EC
불편하다기보다	불편하/VA+다기/ETN+보다/JKB
많은	많/VA+은/ETM
사회적	사회적/NNG
무관심과	무관심/NNG+과/JC
제대로	제대로/MAG
설치되어	설치되/VV+어/EC
있지	있/VX+지/EC
않은	않/VX+은/ETM
시설물들로	시설물/NNG+들/XSN+로/JKB
인한	인하/VV+ㄴ/ETM
불편함이	불편하/VA+ㅁ/ETN+이/JKS
더욱	더욱/MAG
크다	크/VA+다/EC

유니버셜	유니버셜/NNP
디자인(UD)이란	디자인/NNG+(/SS+UD/SL+)/SS+이/VCP+란/ETM
성별,	성별/NNG+,/SP
연령,	연령/NNG+,/SP
국적,	국적/NNG+,/SP
문화적	문화적/NNG
배경,	배경/NNG+,/SP
장애의	장애/NNG+의/JKG
유무에	유무/NNG+에/JKB
상관없이	상관없이/MAG
누구나	누구/NP+나/JX
손쉽게	손쉽/VA+게/EC
쓸	쓰/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
제품	제품/NNG
및	및/MAG
사용	사용/NNG
환경을	환경/NNG+을/JKO
만드는	만들/VV+는/ETM
디자인이다	디자인/NNG+이/VCP+다/EC

이	이/MM
작품은	작품/NNG+은/JX
꼭	꼭/MAG
유니버셜	유니버셜/NNG
디자인을	디자인/NNG+을/JKO
지칭하지는	지칭하/VV+지/EC+는/JX
않지만	않/VX+지만/EC
맞춤형	맞춤/NNG+형/XSN
디자인이라고	디자인/NNG+이/VCP+라고/EC
해서	하/VV+여서/EC
장애에	장애/NNG+에/JKB
맞춰	맞추/VV+어/EC
일상생활이나	일상생활/NNG+이나/JC
사회생활	사회생활/NNG
활동을	활동/NNG+을/JKO
더욱	더욱/MAG
자유롭고	자유롭/VA+고/EC
편리하게	편리하/VA+게/EC
해주어	하/VX+여/EC+주/VX+어/EC
그들이	그/NP+들/XSN+이/JKS
사회의	사회/NNG+의/JKG
한	한/MM
구성원으로서	구성원/NNG+으로서/JKB
당당한	당당하/VA+ㄴ/ETM
삶을	삶/NNG+을/JKO
살아갈	살아가/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
해준다	하/VX+여/EC+주/VX+ㄴ다/EF

사람은	사람/NNG+은/JX
저마다	저마다/MAG
꿈을	꿈/NNG+을/JKO
지니고	지니/VV+고/EC
키우며	키우/VV+며/EC
이루려고	이루/VV+려고/EC
노력하며	노력하/VV+며/EC
살아간다	살아가/VV+ㄴ다/EF

그	그/MM
과정에서	과정/NNG+에서/JKB
자신의	자신/NNG+의/JKG
노력이	노력/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
장애라는	장애/NNG+이/VCP+라는/ETM
이유만으로	이유/NNG+만/JX+으로/JKB
꿈을	꿈/NNG+을/JKO
포기한	포기하/VV+ㄴ/ETM
채	채/NNB
살아간다면	살아가/VV+ㄴ다면/EC
삶이	삶/NNG+이/JKS
얼마나	얼마나/MAG
불행해질까	불행하/VV+여/EC+지/VX+ㄹ까/EC

이	이/MM
다큐멘터리를	다큐멘터리/NNG+를/JKO
통해	통하/VV+여/EC
자신이	자신/NNG+이/JKS
불편함을	불편하/VA+ㅁ/ETN+을/JKO
못	못/MAG
느끼거나,	느끼/VV+거나/EC+,/SP
혹은	혹은/MAG
필요성을	필요성/NNG+을/JKO
느끼지	느끼/VV+지/EC
못해	못하/VX+여/EC
별	별/MM
관심이	관심/NNG+이/JKS
없었던	없/VA+었/EP+던/ETM
모든	모든/MM
것(제품,	것/NNB+(/SS+제품/NNG+,/SP
편의시설	편의시설/NNG
등)들이	등/NNB+)/SS+들/XSN+이/JKS
어떤	어떤/MM
이에겐	이/NP+에게/JKB+ㄴ/JX
절실하게	절실하/VA+게/EC
필요한	필요하/VA+ㄴ/ETM
부분이었음을	부분/NNG+이/VCP+었/EP+음/ETN+을/JKO
생각해	생각하/VV+여/EC
보게	보/VX+게/EC
되는	되/VV+는/ETM
시간이었으면	시간/NNG+이/VCP+었/EP+으면/EC
