민병언,	민병언/NNG+,/SP
베이징	베이징/NNP
한	한/MM
런던에서	런던/NNP+에서/JKB
풀었다	풀/VV+었/EP+다/EC

수영	수영/NNG
S3	S/SL+3/SN
50m	50/SN+m/SL
배영	배영/NNG
세계최강자	세계최강자/NNG
민병언이	민병언/NNG+이/JKS
런던에서	런던/NNP+에서/JKB
웃었다	웃/VV+었/EP+다/EF

대회	대회/NNG
11일차인	11/SN+일차/NNB+이/VCP+ㄴ/ETM
지난	지나/VV+ㄴ/ETM
8일	8/SN+일/NNB
런던	런던/NNP
아쿠아스틱	아쿠아스틱/NNG
센터에서	센터/NNG+에서/JKB
펼쳐진	펼쳐지/VV+ㄴ/ETM
S3	S/SL+3/SN
50m	50/SN+m/SL
배영	배영/NNG
결승에서	결승/NNG+에서/JKB
민병언은	민병언/NNG+은/JX
시종일관	시종일관/NNG
압도적인	압도적/NNG+이/VCP+ㄴ/ETM
차이를	차이/NNG+를/JKO
선보이며	선보이/VV+며/EC
42초51의	42/SN+초/NNB+51/SN+의/JKG
기록으로	기록/NNG+으로/JKB
가장	가장/MAG
먼저	먼저/MAG
터치패드를	터치패드/NNG+를/JKO
찍었다	찍/VV+었/EP+다/EF

2위	2/SN+위/NNB
우크라이나의	우크라이나/NNP+의/JKG
디미트로와	디미트로/NNG+와/JC
3	3/SN

75초	75/SN+초/NNB
차이를	차이/NNG+를/JKO
내며	내/VV+며/EC
완벽한	완벽하/VA+ㄴ/ETM
경기를	경기/NNG+를/JKO
선보인	선보이/VV+ㄴ/ETM
것이다	것/NNB+이/VCP+다/EC

이로써	이/NP+로써/JKB
민병언은	민병언/NNG+은/JX
베이징	베이징/NNP
패럴림픽에서	패럴림픽/NNG+에서/JKB
0	0/SN

49초	49/SN+초/NNB
차로	차/NNG+로/JKB
금메달을	금메달/NNG+을/JKO
놓친	놓치/VV+ㄴ/ETM
한을	한/NNG+을/JKO
풀었다	풀/VV+었/EP+다/EC

라이벌로	라이벌/NNG+로/JKB
금메달을	금메달/NNG+을/JKO
다툴	다투/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
예상했던	예상하/VV+였/EP+던/ETM
중국의	중국/NNP+의/JKG
두지엔	두/MM+지/NNB+에/JKB+ㄴ/JX
펑은	펑/NNG+은/JX
46초48의	46/SN+초/NNB+48/SN+의/JKG
기록으로	기록/NNG+으로/JKB
3위로	3/SN+위/NNB+로/JKB
터치해	터치하/VV+여/EC
민병언의	민병언/NNG+의/JKG
상대가	상대/NNG+가/JKC
되지	되/VV+지/EC
않았다	않/VX+았/EP+다/EF

민병언은	민병언/NNG+은/JX
예선에서도	예선/NNG+에서/JKB+도/JX
45초65로	45/SN+초/NNB+65/SN+로/JKB
조	조/NNG
1위를	1/SN+위/NNB+를/JKO
차지하며	차지하/VV+며/EC
금메달에	금메달/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
기대감을	기대감/NNG+을/JKO
높였다	높이/VV+었/EP+다/EF

지난	지나/VV+ㄴ/ETM
혼영	혼영/NNG
경기에	경기/NNG+에/JKB
출전했던	출전하/VV+였/EP+던/ETM
민병언은	민병언/NNG+은/JX
배영	배영/NNG
종목에서	종목/NNG+에서/JKB
압도적인	압도적/NNG+이/VCP+ㄴ/ETM
스피드를	스피드/NNG+를/JKO
선보이며	선보이/VV+며/EC
