런던패럴림픽	런던/NNP+패럴림픽/NNG
국가대표,	국가대표/NNG+,/SP
스페셜올림픽	스페셜올림픽/NNG
응원	응원/NNG

2012런던장애인올림픽에	2012/SN+런던/NNP+장애인올림픽/NNG+에/JKB
참가해	참가하/VV+여/EC
국민들에게	국민/NNG+들/XSN+에게/JKB
감동을	감동/NNG+을/JKO
안겼던	안기/VV+었/EP+던/ETM
13명의	13/SN+명/NNB+의/JKG
여성	여성/NNG
국가대표들이	국가대표/NNG+들/XSN+이/JKS
2013년	2013/SN+년/NNB
1월	1/SN+월/NNB
29일부터	29/SN+일/NNB+부터/JX
열리는	열리/VV+는/ETM
‘2013평창동계스페셜올림픽’을	‘/SL+2013/SN+평/NNB+창동계스페셜올림픽/NNP+’/SL+을/JKO
응원한다	응원하/VV+ㄴ다/EF

양궁의	양궁/NNG+의/JKG
이화숙,	이화숙/NNP+,/SP
고희숙,	고희숙/NNP+,/SP
김란숙과	김란숙/NNP+과/JC
보치아	보치아/NNP
최예진,	최예진/NNP+,/SP
육상의	육상/NNG+의/JKG
전민재	전/MM+민재/NNG
등은	등/NNB+은/JX
런던장애인올림픽에서	런던/NNP+장애인올림픽/NNG+에서/JKB
입었던	입/VV+었/EP+던/ETM
자신들의	자신/NNG+들/XSN+의/JKG
태극마크	태극마크/NNG
유니폼을	유니폼/NNG+을/JKO
스페셜올림픽	스페셜올림픽/NNG
국가대표	국가대표/NNG
선수들에게	선수/NNG+들/XSN+에게/JKB
전달할	전달하/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

이번	이번/NNG
유니폼	유니폼/NNG
전달은	전달/NNG+은/JX
런던장애인올림픽	런던/NNP+장애인올림픽/NNG
승리의	승리/NNG+의/JKG
기운이	기운/NNG+이/JKS
스페셜올림픽	스페셜올림픽/NNG
국가대표	국가대표/NNG
선수들에게	선수/NNG+들/XSN+에게/JKB
전해지고,	전하/VV+여/EC+지/VX+고/EC+,/SP
장애인올림픽에서	장애인올림픽/NNG+에서/JKB
보여줬던	보이/VV+어/EC+주/VX+었/EP+던/ETM
국민들의	국민/NNG+들/XSN+의/JKG
관심이	관심/NNG+이/JKS
계속	계속/MAG
이어지기를	이어지/VV+기/ETN+를/JKO
바라는	바라/VV+는/ETM
마음에서다	마음/NNG+에서/JKB+다/JX

또한	또한/MAG
‘런던장애인올림픽	‘/SL+런던/NNP+장애인올림픽/NNG
사진전’에	사진전’/NNG+에/JKB
전시됐던	전시되/VV+었/EP+던/ETM
자신들의	자신/NNG+들/XSN+의/JKG
액자사진에	액자사진/NNG+에/JKB
직접	직접/MAG
응원메시지를	응원메시지/NNG+를/JKO
담아	담/VV+아/EC
스페셜올림픽조직위원회에	스페셜올림픽조직위원회/NNG+에/JKB
전달하고	전달하/VV+고/EC
대회기간	대회기간/NNG
중	중/NNB
평창에서	평창/NNP+에서/JKB
별도의	별도/NNG+의/JKG
전시회를	전시회/NNG+를/JKO
진행할	진행하/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

유니폼	유니폼/NNG
전달식은	전달식/NNG+은/JX
오는	오/VV+는/ETM
16일	16/SN+일/NNB
이천장애인종합훈련원에서	이천/NNP+장애인종합훈련원/NNG+에서/JKB
열리는	열리/VV+는/ETM
2012대한장애인올림위원회	2012/SN+대한/NNP+장애인올림위원회/NNG
여성스포츠위원회	여성스포츠위원회/NNG
워크숍	워크숍/NNG
사전행사로	사전행사/NNG+로/JKB
진행된다	진행되/VV+ㄴ다/EC
