지적장애인	지적장애인/NNG
밴드	밴드/NNG
'소리울림',	'/SS+소리/NNG+울리/VV+ㅁ/ETN+'/SS+,/SP
22일	22/SN+일/NNB
공연	공연/NNG

지적장애인으로	지적장애인/NNG+으로/JKB
꾸려진	꾸리/VV+어/EC+지/VX+ㄴ/ETM
소리울림밴드가	소리울림밴드/NNG+가/JKS
오는	오/VV+는/ETM
22일	22/SN+일/NNB
오후	오후/NNG
7시	7/SN+시/NNB
서울시	서울시/NNP
동작구	동작구/NNP
대방동	대방동/NNP
소재	소재/NNG
서울여성프라자	서울여성프라자/NNP
아트홀에서	아트홀/NNG+에서/JKB
9번째	9/SN+번째/NNB
정기공연인	정기공연/NNG+이/VCP+ㄴ/ETM
happy	happy/SL
together를	together/SL+를/JKO
갖는다	갖/VV+는다/EF

국제로타리클럽과	국제로타리클럽/NNG+과/JKB
함께하는세상,	함께하/VV+는/ETM+세상/NNG+,/SP
현재자동차CSR의	현재자동차/NNP+CSR/SL+의/JKG
후원으로	후원/NNG+으로/JKB
진행되는	진행되/VV+는/ETM
이번	이번/NNG
정기공연은	정기공연/NNG+은/JX
동작구	동작구/NNP
지역밴드와	지역밴드/NNG+와/JC
인기	인기/NNG
인디밴드	인디밴드/NNG
‘허클베리핀’과의	‘/SL+허클베리핀/NNP+’/SL+과/JKB+의/JKG
합동공연	합동공연/NNG
등	등/NNB
문화	문화/NNG
한마당으로	한마당/NNP+으로/JKB
구성돼	구성되/VV+어/EC
있다	있/VX+다/EF

한편	한편/MAG
소리울림밴드는	소리울림밴드/NNG+는/JX
2003년	2003/SN+년/NNB
서울남부장애인복지관	서울남/NNP+부장애인복지/NNG+관/XSN
직업재활시설에서	직업재활시설/NNG+에서/JKB
결성돼	결성되/VV+어/EC
현재까지	현재/NNG+까지/JX
장애인식개선과	장애인식개선/NNG+과/JC
비장애인과의	비장애인/NNG+과/JKB+의/JKG
문화적정상화를	문화적정상화/NNG+를/JKO
위해	위하/VV+여/EC
왕성한	왕성하/VA+ㄴ/ETM
활동을	활동/NNG+을/JKO
펼치고	펼치/VV+고/EC
있는	있/VX+는/ETM
그룹사운드이다	그룹사운드/NNG+이/VCP+다/EC
