정부,	정부/NNG+,/SP
2013평창스페셜올림픽	2013/SN+평/NNB+창스페셜올림픽/NNG
적극	적극/NNG
지원	지원/NNG

정부는	정부/NNG+는/JX
15일	15/SN+일/NNB
국립중앙도서관에서	국립중앙도서관/NNP+에서/JKB
2013평창동계스페셜올림픽	2013/SN+평/NNB+창동계스페셜올/NNP+림픽/NNG
세계대회	세계대회/NNG
지원위원회(위원장	지원위원회/NNG+(/SS+위원장/NNG
김황식	김황식/NNP
국무총리,	국무총리/NNG+,/SP
이하	이하/NNG
지원위원회)를	지원위원회/NNG+)/SS+를/JKO
열고	열/VV+고/EC
스페셜올림픽의	스페셜올림픽/NNG+의/JKG
성공적	성공적/NNG
개최를	개최/NNG+를/JKO
위해	위하/VV+여/EC
지원을	지원/NNG+을/JKO
아끼지	아끼/VV+지/EC
않기로	않/VX+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

지원위원회는	지원위원회/NNG+는/JX
12개	12/SN+개/NNB
정부부처와	정부부처/NNG+와/JC
개최지인	개최지/NNG+이/VCP+ㄴ/ETM
강원도,	강원도/NNP+,/SP
유관기관,	유관기관/NNG+,/SP
직능단체	직능단체/NNG
및	및/MAG
사회단체	사회단체/NNG
등	등/NNB
대회	대회/NNG
지원에	지원/NNG+에/JKB
힘써	힘쓰/VV+어/EC
온	오/VX+ㄴ/ETM
공공·민간	공공/NNP+·/SP+민간/NNG
부문	부문/NNG
대표	대표/NNG
29명으로	29/SN+명/NNB+으로/JKB
구성돼	구성되/VV+어/EC
있다	있/VX+다/EF

이날	이날/NNG
지원위원회는	지원위원회/NNG+는/JX
경기	경기/NNG
및	및/MAG
부대	부대/NNG
프로그램,	프로그램/NNG+,/SP
대회	대회/NNG
운영,	운영/NNG+,/SP
후원,	후원/NNG+,/SP
관람,	관람/NNG+,/SP
홍보	홍보/NNG
등	등/NNB
각	각/MM
분야별	분야/NNG+별/XSN
추진현황을	추진현황/NNG+을/JKO
점검하고	점검하/VV+고/EC
향후	향후/NNG
중점적으로	중점적/NNG+으로/JKB
추진할	추진하/VV+ㄹ/ETM
내용을	내용/NNG+을/JKO
논의했다	논의하/VV+였/EP+다/EC

먼저	먼저/MAG
지원위원회는	지원위원회/NNG+는/JX
장애선수들에게	장애선수/NNG+들/XSN+에게/JKB
발생할	발생하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
실종	실종/NNG
등에	등/NNB+에/JKB
