김연아와	김연아/NNP+와/JC
대학생들,	대학생/NNG+들/XSN+,/SP
'평창스페셜올림픽'	'/SS+평창스페셜올림픽/NNP+'/SS
응원	응원/NNG

2013	2013/SN
평창동계	평창동/NNP+계/XSN
스페셜올림픽	스페셜올림픽/NNG
조직위원회(위원장	조직위원회/NNG+(/SS+위원장/NNG
나경원)는	나경원/NNP+)/SS+는/JX
지난	지나/VV+ㄴ/ETM
21일	21/SN+일/NNB
오후	오후/NNG
3시	3/SN+시/NNB
청계천	청계천/NNP
광장에서	광장/NNG+에서/JKB
스페셜올림픽	스페셜올림픽/NNG
개막	개막/NNG
100일을	100/SN+일/NNB+을/JKO
앞두고	앞두/VV+고/EC
성공적	성공적/NNG
개최를	개최/NNG+를/JKO
기념하기	기념하/VV+기/ETN
위해	위하/VV+여/EC
‘청계천	‘/SL+청계천/NNP
걷기대회’를	걷기대회/NNG+’/SL+를/JKO
개최했다	개최하/VV+였/EP+다/EC

이번	이번/NNG
행사에는	행사/NNG+에/JKB+는/JX
김연아,	김연아/NNP+,/SP
양준혁,	양준혁/NNP+,/SP
남경주,	남경주/NNP+,/SP
팝핀현준,	팝핀현준/NNP+,/SP
스페셜대회	스페셜대회/NNG
선수들,	선수/NNG+들/XSN+,/SP
대학생	대학생/NNG
서포터즈	서포터즈/NNG
등	등/NNB
약	약/MM
2천여명이	2/SN+천/NR+여/XSN+명/NNB+이/JKS
참가했다	참가하/VV+였/EP+다/EC

특히	특히/MAG
이날	이날/NNG
가수	가수/NNG
이적이	이적/NNG+이/JKS
오는	오/VV+는/ETM
2013년	2013/SN+년/NNB
1월에	1/SN+월/NNB+에/JKB
열리는	열리/VV+는/ETM
스페셜올림픽의	스페셜올림픽/NNG+의/JKG
주제가를	주제가/NNG+를/JKO
공식	공식/NNG
석상에서	석상/NNG+에서/JKB
불러	부르/VV+어/EC
많은	많/VA+은/ETM
이들의	이/NP+들/XSN+의/JKG
관심을	관심/NNG+을/JKO
모으기도	모으/VV+기/ETN+도/JX
했다	하/VX+였/EP+다/EF

개막식을	개막식/NNG+을/JKO
마친	마치/VV+ㄴ/ETM
참가자들은	참가자/NNG+들/XSN+은/JX
스페셜올림픽	스페셜올림픽/NNG
참가	참가/NNG
선수들과	선수/NNG+들/XSN+과/JKB
함께	함께/MAG
청계천을	청계천/NNP+을/JKO
자유롭게	자유롭/VA+게/EC
걸으며	걷/VV+으며/EC
대회의	대회/NNG+의/JKG
성공개최를	성공개최/NNG+를/JKO
다짐하기도	다짐하/VV+기/ETN+도/JX
했다	하/VX+였/EP+다/EF

스페셜올림픽	스페셜올림픽/NNG
홍보대사	홍보대사/NNG
김연아	김연아/NNP
선수가	선수/NNG+가/JKS
인사말을	인사말/NNG+을/JKO
하고	하/VV+고/EC
있다	있/VX+다/EC

ⓒ2013	ⓒ/SL+2013/SN
평창동계	평창동/NNP+계/XSN
스페셜올림픽	스페셜올림픽/NNG
조직위원회	조직위원회/NNG
김연아	김연아/NNP
홍보대사(왼쪽부터),	홍보대사/NNG+(/SS+왼쪽/NNG+부터/JX+)/SS+,/SP
우정령	우정령/NNP
스페셜올림픽	스페셜올림픽/NNG
스노슈잉	스노슈잉/NNG
선수,	선수/NNG+,/SP
나경원	나경원/NNG
위원장이	위원장/NNG+이/JKS
개막식	개막식/NNG
축하공연을	축하공연/NNG+을/JKO
관람하고	관람하/VV+고/EC
있다	있/VX+다/EC

ⓒ2013	ⓒ/SL+2013/SN
평창동계	평창동/NNP+계/XSN
스페셜올림픽	스페셜올림픽/NNG
조직위원회	조직위원회/NNG
가수	가수/NNG
이적이	이적/NNG+이/JKS
2013	2013/SN
평창동계	평창동/NNP+계/XSN
공식주제가를	공식주제/NNG+가/XSN+를/JKO
부르고	부르/VV+고/EC
있다	있/VX+다/EC

ⓒ2013	ⓒ/SL+2013/SN
평창동계	평창동/NNP+계/XSN
스페셜올림픽	스페셜올림픽/NNG
조직위원회	조직위원회/NNG
21일	21/SN+일/NNB
열린	열리/VV+ㄴ/ETM
스페셜올림픽	스페셜올림픽/NNG
성공기원	성공기원/NNG
걷기대회에	걷기대회/NNG+에/JKB
참가한	참가하/VV+ㄴ/ETM
참가자들이	참가자/NNG+들/XSN+이/JKS
청계천을	청계천/NNP+을/JKO
따라	따르/VV+아/EC
걷고	걷/VV+고/EC
있다	있/VX+다/EC

ⓒ2013	ⓒ/SL+2013/SN
평창동계	평창동/NNP+계/XSN
스페셜올림픽	스페셜올림픽/NNG
조직위원회	조직위원회/NNG
