장애여성과	장애여성/NNG+과/JKB
함께하는	함께하/VV+는/ETM
‘조각보	‘/SL+조각보/NNG
전’	전/MM+’/SN

장애여성	장애여성/NNG
규방공예가	규방공예/NNG+가/JKS
유옥순과	유옥순/NNP+과/JC
‘인권연대	‘/SL+인권연대/NNG
장애와	장애/NNG+와/JC
여성	여성/NNG
마실’이	마실/NNG+’/SL+이/JKS
함께	함께/MAG
준비한	준비하/VV+ㄴ/ETM
‘이야기가	‘/SL+이야기/NNG+가/JKS
있는	있/VA+는/ETM
조각보’	조각보’/NNG
전시회가	전시회/NNG+가/JKS
오는	오/VV+는/ETM
31일부터	31/SN+일/NNB+부터/JX
11월4일까지	11/SN+월/NNB+4/SN+일/NNB+까지/JX
운현궁에서	운현궁/NNP+에서/JKB
개최된다	개최되/VV+ㄴ다/EF

이번	이번/NNG
전시회는	전시회/NNG+는/JX
‘이야기가	‘/SL+이야기/NNG+가/JKS
있는	있/VA+는/ETM
조각보’	조각보’/NNG
강좌	강좌/NNG
참여자들이	참여/NNG+자들/XSN+이/JKS
자투리	자투리/NNG
천,	천/NNG+,/SP
헌	헌/MM
옷	옷/NNG
등을	등/NNB+을/JKO
활용해	활용하/VV+여/EC
다양한	다양하/VA+ㄴ/ETM
작품을	작품/NNG+을/JKO
전시하는	전시하/VV+는/ETM
것으로	것/NNB+으로/JKB
조각보의	조각보/NNG+의/JKG
실용성과	실용성/NNG+과/JC
예술성,	예술성/NNG+,/SP
친환경성을	친환경/NNG+성/XSN+을/JKO
알리고	알리/VV+고/EC
장애	장애/NNG
여성들의	여성/NNG+들/XSN+의/JKG
삶의	삶/NNG+의/JKG
이야기를	이야기/NNG+를/JKO
공유하기	공유하/VV+기/ETN
위해	위하/VV+여/EC
마련한	마련하/VV+ㄴ/ETM
자리다	자리/NNG+이/VCP+다/EF

전시회에서는	전시회/NNG+에서/JKB+는/JX
장애여성	장애여성/NNG
규방공예가	규방공예/NNG+가/JKS
유옥순의	유옥순/NNP+의/JKG
조각보	조각보/NNG
작품	작품/NNG
10여점과	10/SN+여/XSN+점/NNB+과/JKB
강좌에	강좌/NNG+에/JKB
참여했던	참여하/VV+였/EP+던/ETM
수료생	수료생/NNG
작품	작품/NNG
10여점이	10/SN+여/XSN+점/NNB+이/JKS
함께	함께/MAG
전시된다	전시/NNG+되/XSV+ㄴ다/EF

손을	손/NNG+을/JKO
자유롭게	자유롭/VA+게/EC
쓸	쓰/VV+ㄹ/ETM
수는	수/NNB+는/JX
없지만	없/VA+지만/EC
한땀	한/MM+땀/NNG
한땀	한/MM+땀/NNG
정성을	정성/NNG+을/JKO
다해	다하/VV+여/EC
만든	만들/VV+ㄴ/ETM
참여자들의	참여/NNG+자들/XSN+의/JKG
모시조각들을	모시조각/NNG+들/XSN+을/JKO
이어서	잇/VV+어서/EC
만든	만들/VV+ㄴ/ETM
테이블	테이블/NNG
러너,	러너/NNG+,/SP
모시발,	모시발/NNG+,/SP
침봉,	침봉/NNG+,/SP
재활용	재활용/NNG
가방,	가방/NNG+,/SP
핸드폰걸이	핸드폰걸이/NNG
등	등/NNB
조각보	조각보/NNG
작품과	작품/NNG+과/JC
친환경	친/XPN+환경/NNG
생활용품들이	생활용품/NNG+들/XSN+이/JKS
전시될	전시되/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

이번	이번/NNG
전시회는	전시회/NNG+는/JX
운현궁을	운현궁/NNG+을/JKO
관람하는	관람하/VV+는/ETM
관람객에	관람객/NNG+에/JKB
한해	한/MM+해/NNB
무료로	무료/NNG+로/JKB
제공되며	제공되/VV+며/EC
자세한	자세하/VA+ㄴ/ETM
전시	전시/NNG
내용은	내용/NNG+은/JX
운현궁	운현궁/NNG
홈페이지(www	홈페이지/NNG+(/SS+www/SL

unhyeongung	unhyeongung/SL

or	or/SL

kr)를	kr/SL+)/SS+를/JKO
통해	통하/VV+여/EC
확인할	확인하/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC
