전국장애인체전	전/MM+국장애인체전/NNG
경기장	경기장/NNG
편의시설	편의시설/NNG
점검-①	점검/NNG+-/SO+①/SW

‘제32회	‘/SN+제/XPN+32/SN+회/NNB
전국장애인체육대회(이하	전/MM+국장애인체육대회/NNG+(/SS+이하/NNG
장애인체전)’가	장애인체전/NNG+)/SS+’/SL+가/JKS
오는	오/VV+는/ETM
10월	10/SN+월/NNB
8일부터	8/SN+일/NNB+부터/JX
12일까지	12/SN+일/NNB+까지/JX
5일간	5/SN+일/NNB+간/XSN
고양시	고양시/NNP
종합운동장에서	종합운동장/NNG+에서/JKB
열리는	열리/VV+는/ETM
개회식을	개회식/NNG+을/JKO
시작으로	시작/NNG+으로/JKB
열전에	열전/NNG+에/JKB
들어간다	들어가/VV+ㄴ다/EC

‘다	‘/SN+다/MAG
함께,	함께/MAG+,/SP
굳세게,	굳세/VA+게/EC+,/SP
끝까지’라는	끝/NNG+까지’/JX+이/VCP+라는/ETM
슬로건	슬로건/NNG
아래,	아래/NNG+,/SP
경기도에서	경기도/NNP+에서/JKB
처음	처음/NNG
개최되는	개최되/VV+는/ETM
이번	이번/NNG
장애인체전은	장애인체전/NNG+은/JX
고양시를	고/XPN+양시/NNG+를/JKO
중심으로	중심/NNG+으로/JKB
경기도	경기도/NNP
11개	11/SN+개/NNB
시·군	시/NNG+·/SP+군/NNG
32개	32/SN+개/NNB
경기장에서	경기장/NNG+에서/JKB
진행된다	진행되/VV+ㄴ다/EC

16개	16/SN+개/NNB
시도에서	시도/NNG+에서/JKB
약	약/MM
7,000여명이	7,000/SN+여/XSN+명/NNB+이/JKS
참가해	참가하/VV+여/EC
골볼,	골볼/NNG+,/SP
보치아,	보치아/NNG+,/SP
펜싱,	펜싱/NNG+,/SP
농구,	농구/NNG+,/SP
유도,	유도/NNG+,/SP
사격,	사격/NNG+,/SP
수영	수영/NNG
등	등/NNB
총	총/MM
27개	27/SN+개/NNB
종목에서	종목/NNG+에서/JKB
‘아름다운	‘/SN+아름답/VA+ㄴ/ETM
도전’을	도전/NNG+’/SL+을/JKO
펼친다	펼치/VV+ㄴ다/EF

이에	이/NP+에/JKB
고양시는	고양시/NNP+는/JX
앞선	앞서/VV+ㄴ/ETM
지난	지나/VV+ㄴ/ETM
19일부터	19/SN+일/NNB+부터/JX
21일까지	21/SN+일/NNB+까지/JX
장애인	장애인/NNG
선수	선수/NNG
등과	등/NNB+과/JKB
함께	함께/MAG
각	각/MM
종목별	종목별/NNG
경기가	경기/NNG+가/JKS
열리는	열리/VV+는/ETM
대회파크,	대회파크/NNG+,/SP
재활스포츠센터,	재활스포츠센터/NNG+,/SP
고양어울림누리체육관,	고양어울림누리체육관/NNP+,/SP
고양시	고양시/NNP
체육관	체육관/NNG
등의	등/NNB+의/JKG
편의시설을	편의시설/NNG+을/JKO
점검했다	점검하/VV+였/EP+다/EF

이는	이/NP+는/JX
대회	대회/NNG
시작에	시작/NNG+에/JKB
앞서	앞서/VV+어/EC
경기장	경기장/NNG
내	내/NNB
장애인편의에	장애인편의/NNG+에/JKB
만전을	만전/NNG+을/JKO
기해	기하/VV+여/EC
장애인의	장애인/NNG+의/JKG
불편을	불편/NNG+을/JKO
최소화하겠다는	최소화하/VV+겠/EP+다는/ETM
고양시의	고양시/NNP+의/JKG
의지다	의지/NNG+이/VCP+다/EF

에이블뉴스는	에이블뉴스/NNP+는/JX
이중	이/MM+중/NNB
지난	지나/VV+ㄴ/ETM
20일	20/SN+일/NNB
실시된	실시되/VV+ㄴ/ETM
고양어울림누리체육관,	고양어울림누리체육관/NNP+,/SP
고양시체육관,	고/XPN+양시체육관/NNG+,/SP
고양종합운동장내	고양종합운/NNP+동장/NNG+내/NNB
편의시설	편의시설/NNG
점검	점검/NNG
결과를	결과/NNG+를/JKO
집중보도한다	집중/NNG+보도하/VV+ㄴ다/EF

먼저	먼저/MAG
첫	첫/MM
번째	번째/NNB
점검	점검/NNG
시설인	시설/NNG+이/VCP+ㄴ/ETM
고양어울림누리체육관에서는	고양어울림누리체육관/NNP+에서/JKB+는/JX
장애인럭비종목	장애인럭비종목/NNG
대회가	대회/NNG+가/JKS
열린다	열리/VV+ㄴ다/EF

이에	이/NP+에/JKB
이번	이번/NNG
장애인체전에	장애인체전/NNG+에/JKB
출전하는	출전하/VV+는/ETM
장애인럭비	장애인럭비/NNG
선수들이	선수/NNG+들/XSN+이/JKS
직접	직접/MAG
편의시설	편의시설/NNG
점검에	점검/NNG+에/JKB
나섰다	나서/VV+었/EP+다/EF

현재	현재/MAG
어울림누리체육관에는	어울리/VV+ㅁ/ETN+누리체육관/NNP+에/JKB+는/JX
장애인화장실이	장애인화장실/NNG+이/JKS
1층	1/SN+층/NNG
1개,	1/SN+개/NNB+,/SP
2~3층	2/SN+~/SO+3/SN+층/NNG
각	각/MM
2개	2/SN+개/NNB
등	등/NNB
총	총/MM
5개가,	5/SN+개/NNB+가/JKS+,/SP
엘리베이터는	엘리베이터/NNG+는/JX
1곳이	1/SN+곳/NNG+이/JKS
설치돼	설치되/VV+어/EC
있다	있/VX+다/EF

이외	이외/NNG
1층과	1/SN+층/NNG+과/JC
3층에는	3/SN+층/NNG+에/JKB+는/JX
주차장이	주차장/NNG+이/JKS
마련돼	마련되/VV+어/EC
있었다	있/VX+었/EP+다/EF

이날	이날/NNG
점검에	점검/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
장애인럭비	장애인럭비/NNG
선수들은	선수/NNG+들/XSN+은/JX
“경기가	“/SL+경기/NNG+가/JKS
2층	2/SN+층/NNG
체육관에서	체육관/NNG+에서/JKB
열린다”며	열리/VV+ㄴ다/EF+”/SN+며/EC
“경기용	“/SL+경기/NNG+용/XSN
휠체어를	휠체어/NNG+를/JKO
잠시	잠시/MAG
보관할	보관하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
매트	매트/NNG
깔린	깔리/VV+ㄴ/ETM
보관소가	보관소/NNG+가/JKS
2층에	2/SN+층/NNG+에/JKB
필요하다”고	필요하/VA+다/EC+”/SN+고/JKQ
강조했다	강조하/VV+였/EP+다/EC

이어	이어/MAG
“주차장은	“/SN+주차장/NNG+은/JX
1층과	1/SN+층/NNG+과/JC
3층에만	3/SN+층/NNG+에/JKB+만/JX
있고	있/VA+고/EC
엘리베이터는	엘리베이터/NNG+는/JX
1대만	1/SN+대/NNB+만/JX
있어	있/VA+어/EC
장애인체전이	장애인체전/NNG+이/JKS
열리는	열리/VV+는/ETM
기간	기간/NNG
혼잡이	혼잡/NNG+이/JKS
예상된다”며	예상되/VV+ㄴ다/EC+”/VV+며/EC
“2층에	“/SL+2/SN+층/NNG+에/JKB
임시로	임시/NNG+로/JKB
럭비선수들을	럭비선수/NNG+들/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
주차장이	주차장/NNG+이/JKS
마련돼	마련되/VV+어/EC
바로	바로/MAG
경기장으로	경기장/NNG+으로/JKB
들어갈	들어가/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
해야한다”고	하/VX+여야/EC+하/VX+ㄴ다/EC+”/VV+고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

한편	한편/MAG
장애인화장실은	장애인화장실/NNG+은/JX
남녀	남녀/NNG
공통으로	공통/NNG+으로/JKB
내부에	내부/NNG+에/JKB
휴지걸이,	휴지걸이/NNG+,/SP
비상호출벨이	비/XPN+상호출벨/NNG+이/JKS
설치돼	설치되/VV+어/EC
있었지만	있/VX+었/EP+지만/EC
중증장애인들의	중증장애인/NNG+들/XSN+의/JKG
손이	손/NNG+이/JKS
닿는	닿/VV+는/ETM
범위보다	범위/NNG+보다/JKB
조금	조금/MAG
높게	높/VA+게/EC
설치돼	설치되/VV+어/EC
있어	있/VX+어/EC
개선이	개선/NNG+이/JKS
필요했다	필요하/VA+었/EP+다/EC

또한	또한/MAG
용변기에는	용변/NNG+기/XSN+에/JKB+는/JX
등받이가	등받이/NNG+가/JKS
설치돼	설치되/VV+어/EC
있지	있/VX+지/EC
않았고,	않/VX+았/EP+고/EC+,/SP
세면대에도	세면대/NNG+에/JKB+도/JX
손잡이가	손잡이/NNG+가/JKS
설치돼	설치되/VV+어/EC
있지	있/VX+지/EC
않아	않/VX+아/EC
중증장애인들의	중증장애인/NNG+들/XSN+의/JKG
불편이	불편/NNG+이/JKS
예상됐다	예상되/VV+었/EP+다/EF

어울림누리체육관	어울림누리체육관/NNP
내에는	내/NNB+에/JKB+는/JX
스낵코너만	스낵코너/NNG+만/JX
있고	있/VA+고/EC
식당이	식당/NNG+이/JKS
없어	없/VA+어/EC
건너편	건너편/NNG
고양문화재단	고양문화재단/NNG
건물	건물/NNG
내	내/NNB
식당을	식당/NNG+을/JKO
이용해야	이용하/VV+여야/EC
한다	하/VX+ㄴ다/EF

도시관리공사	도시관리공사/NNG
담당자는	담당자/NNG+는/JX
“장애인선수들의	“/SL+장애인선수/NNG+들/XSN+의/JKG
불편이	불편/NNG+이/JKS
없도록	없/VA+도록/EC
2층에	2/SN+층/NNG+에/JKB
장애인주차장	장애인주차장/NNG
및	및/MAG
경사로를	경사로/NNG+를/JKO
보완하고	보완하/VV+고/EC
이동장애인화장실을	이동장애인화장/NNG+실/XSN+을/JKO
설치하는	설치하/VV+는/ETM
