<패럴림픽>	</SS+패럴림픽/NNG+>/SS
銀	銀/SL
손병준	손병준/NNP
"생각나는	"/SS+생각나/VV+는/ETM
사람?	사람/NNG+?/SF
아이유요"	아이유/NNG+요/JX+"/SS

(런던=연합뉴스)	(/SS+런던/NNP+=/SW+연합뉴스/NNP+)/SS
전명훈	전명훈/NNP
기자	기자/NNG
=	=/SW
2012	2012/SN
런던	런던/NNP
패럴림픽에서	패럴림픽/NNG+에서/JKB
은메달을	은메달/NNG+을/JKO
따낸	따/VV+아/EC+내/VX+ㄴ/ETM
지적장애인	지적장애인/NNG
탁구선수	탁구선수/NNG
손병준(18)은	손병준/NNP+(/SS+18/SN+)/SS+은/JX
결승전을	결승전/NNG+을/JKO
마치고	마치/VV+고/EC
시무룩한	시무룩하/VA+ㄴ/ETM
표정을	표정/NNG+을/JKO
좀처럼	좀처럼/MAG
감추지	감추/VV+지/EC
못했다	못하/VX+였/EP+다/EC

손병준의	손병준/NNP+의/JKG
결승	결승/NNG
상대였던	상대/NNG+이/VCP+었/EP+던/ETM
헝가리의	헝가리/NNP+의/JKG
페테르	페테르/NNP
팔로스는	팔로스/NNP+는/JX
손병준의	손병준/NNP+의/JKG
맞수다	맞수/VV+다/EC

올해	올해/NNG
초	초/NNB
슬로베니아에서	슬로베니아/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
국제	국제/NNG
대회에서도	대회/NNG+에서/JKB+도/JX
팔로스와	팔로스/NNP+와/JKB
만났지만	만나/VV+았/EP+지만/EC
손병준이	손병준/NNP+이/JKS
졌다	지/VV+었/EP+다/EF

이를	이/NP+를/JKO
갈던	갈/VV+던/ETM
손병준은	손병준/NNP+은/JX
2012	2012/SN
런던	런던/NNP
패럴림픽	패럴림픽/NNG
무대에서	무대/NNG+에서/JKB
다시	다시/MAG
만난	만나/VV+ㄴ/ETM
그의	그/NP+의/JKG
코를	코/NNG+를/JKO
납작하게	납작하/VA+게/EC
했다	하/VX+였/EP+다/EF

예선에서	예선/NNG+에서/JKB
팔로스를	팔로스/NNG+를/JKO
3-1로	3/SN+-/SO+1/SN+로/JKB
누른	누르/VV+ㄴ/ETM
것	것/NNB

하지만	하지만/MAJ
외나무다리에서	외나무다리/NNG+에서/JKB
원수를	원수/NNG+를/JKO
다시	다시/MAG
만났다	만나/VV+았/EP+다/EC

이번에는	이번/NNG+에/JKB+는/JX
패럴림픽	패럴림픽/NNG
금메달을	금메달/NNG+을/JKO
놓고	놓/VV+고/EC
피할	피하/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
승부를	승부/NNG+를/JKO
벌이는	벌이/VV+는/ETM
처지가	처지/NNG+가/JKC
됐다	되/VV+었/EP+다/EC

대표팀	대표팀/NNG
동료들은	동료/NNG+들/XSN+은/JX
손병준에게	손병준/NNP+에게/JKB
"한	"/SS+한/MM
번	번/NNB
이겼으니	이기/VV+었/EP+으니/EC
이번에도	이번/NNG+에/JKB+도/JX
이길	이기/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
힘을	힘/NNG+을/JKO
불어	불/VV+어/EC
넣었다	넣/VV+었/EP+다/EC

손병준도	손병준/NNG+도/JX
그렇게	그렇/VA+게/EC
생각했다	생각하/VV+였/EP+다/EC

하지만	하지만/MAJ
결승에서	결승/NNG+에서/JKB
1-3으로	1/SN+-/SO+3/SN+으로/JKB
지고	지/VV+고/EC
은메달을	은메달/NNG+을/JKO
목에	목/NNG+에/JKB
거는	걸/VV+는/ETM
것으로	것/NNB+으로/JKB
만족해야	만족하/VA+여야/EC
했다	하/VX+였/EP+다/EC

좀처럼	좀처럼/MAG
기분이	기분/NNG+이/JKS
나아지지	나아지/VV+지/EC
않았다	않/VX+았/EP+다/EF

그렇지만	그렇지만/MAJ
질문에	질문/NNG+에/JKB
짧고	짧/VA+고/EC
간결한	간결하/VA+ㄴ/ETM
문장으로	문장/NNG+으로/JKB
대답하는	대답하/VV+는/ETM
그의	그/NP+의/JKG
말솜씨만은	말솜씨/NNG+만은/JX
