'전국어울림사이클생활체육대회'	'/SS+전/MM+국어울림사이클생활체육대회/NNG+'/SS
8일	8/SN+일/NNB
막올라	막/NNG+오르/VV+아/EC

'대한장애인체육회장배	'/SS+대한/NNP+장애인체육회장배/NNG
전국어울림사이클생활체육대회'가	전국어울리/VV+ㅁ/ETN+사이클생활체육대회/NNG+'/SS+가/JKS
오는	오/VV+는/ETM
8일부터	8/SN+일/NNB+부터/JX
9일까지	9/SN+일/NNB+까지/JX
양일간	양일/NNG+간/XSN
전라북도	전라북도/NNP
순창군	순창군/NNP
일원에서	일원/NNG+에서/JKB
열린다	열리/VV+ㄴ다/EF

대한장애인사이클연맹이	대한/NNP+장애인사이클연맹/NNG+이/JKS
주최하는	주최하/VV+는/ETM
이번	이번/NNG
대회에는	대회/NNG+에/JKB+는/JX
장애인	장애인/NNG
90명,	90/SN+명/NNB+,/SP
비장애인	비/XPN+장애인/NNG
100명	100/SN+명/NNB
등이	등/NNB+이/JKS
참여해	참여하/VV+여/EC
열띤	열띠/VA+ㄴ/ETM
경기를	경기/NNG+를/JKO
펼치게	펼치/VV+게/EC
된다	되/VV+ㄴ다/EF

이번	이번/NNG
대회는	대회/NNG+는/JX
사이클,	사이클/NNG+,/SP
핸드사이클	핸드사이클/NNP
텐듬사이클,	텐듬사이클/NNG+,/SP
MTB,	MTB/SL+,/SP
지적장애부문으로	지적장애부문/NNG+으로/JKB
나뉘어	나뉘/VV+어/EC
진행되며,	진행되/VV+며/EC+,/SP
경기	경기/NNP
후	후/NNG
순위	순위/NNG
및	및/MAG
각	각/MM
부문별	부문/NNG+별/XSN
MVP를	MVP/SL+를/JKO
선정해	선정하/VV+여/EC
수상할	수상하/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

한편	한편/MAG
이번	이번/NNG
대회는	대회/NNG+는/JX
장애인과	장애인/NNG+과/JC
비장애인	비/XPN+장애인/NNG
함께	함께/MAG
즐길	즐기/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
사이클	사이클/NNG
대회를	대회/NNG+를/JKO
통한	통하/VV+ㄴ/ETM
장애인체육에	장애인체육/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
이해	이해/NNG
폭	폭/NNG
증진	증진/NNG
등을	등/NNB+을/JKO
목적으로	목적/NNG+으로/JKB
마련됐다	마련되/VV+었/EP+다/EF
