장애인국제예술단	장애인국제예술단/NNG
창작뮤지컬	창작뮤지컬/NNG
미국공연	미국/NNP+공연/NNG
앞둬	앞두/VV+어/EC

전	전/MM
세계적으로	세계적/NNG+으로/JKB
K-POP이	K/SL+-/SO+POP/SL+이/JKS
열풍이	열풍/NNG+이/JKS
불고	불/VV+고/EC
있고	있/VX+고/EC
“강남스타일”이	“/SL+강남스타일/NNP+”/SL+이/JKS
미국	미국/NNP
전체가	전체/NNG+가/JKS
들썩이고	들썩이/VV+고/EC
있는	있/VX+는/ETM
가운데	가운데/NNG
한국장애인국제예술단(대표	한국장애인국제예술단/NNP+(/SS+대표/NNG
배은주)의	배은주/NNG+)/SS+의/JKG
창작뮤지컬	창작뮤지컬/NNG
‘ONE&ONE’이	‘ONE/SL+&/SW+ONE’/SL+이/JKS
미국의	미국/NNP+의/JKG
초청을	초청/NNG+을/JKO
받아	받/VV+아/EC
로스앤젤레스에서	로스앤젤레스/NNP+에서/JKB
공연을	공연/NNG+을/JKO
앞두고	앞두/VV+고/EC
있다	있/VX+다/EC

지난	지나/VV+ㄴ/ETM
2010년	2010/SN+년/NNB
프랑스	프랑스/NNP
파리	파리/NNP
마들렌느	마들렌느/NNP
성당	성당/NNG
초청공연으로	초청공연/NNG+으로/JKB
이미	이미/MAG
실력을	실력/NNG+을/JKO
입증	입증/NNG
받은	받/VV+은/ETM
바	바/NNB
있는	있/VA+는/ETM
한국장애인국제예술단은	한국장애인국제예술단/NNP+은/JX
같은	같/VA+은/ETM
해	해/NNG
창작뮤지컬	창작뮤지컬/NNG
‘ONE&ONE’을	‘ONE/SL+&/SW+ONE’/SL+을/JKO
제작했다	제작하/VV+였/EP+다/EF

연습실도	연습실/NNG+도/JX
없이	없이/MAG
21명의	21/SN+명/NNB+의/JKG
장애인	장애인/NNG
단원들로	단원/NNG+들/XSN+로/JKB
구성된	구성되/VV+ㄴ/ETM
한국장애인국제예술단이	한국장애인국제예술단/NNP+이/JKS
뮤지컬을	뮤지컬/NNG+을/JKO
제작해서	제작하/VV+여서/EC
공연을	공연/NNG+을/JKO
한다는	하/VV+ㄴ다는/ETM
것은	것/NNB+은/JX
불가능한	불가능하/VA+ㄴ/ETM
일이였다	일/NNG+이/VCP+였/EP+다/EF

하지만	하지만/MAJ
배은주	배은주/NNP
대표는	대표/NNG+는/JX
중증장애로	중증장애/NNG+로/JKB
인해	인하/VV+여/EC
무대에	무대/NNG+에/JKB
오를	오르/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
단원들을	단원/NNG+들/XSN+을/JKO
뮤지컬	뮤지컬/NNG
배우를	배우/NNG+를/JKO
만들어	만들/VV+어/EC
무대에	무대/NNG+에/JKB
세우겠다는	세우/VV+겠/EP+다는/ETM
약속을	약속/NNG+을/JKO
지키기	지키/VV+기/ETN
위해	위하/VV+여/EC
뮤지컬을	뮤지컬/NNG+을/JKO
제작했다	제작하/VV+였/EP+다/EF

배은주	배은주/NNP
대표는	대표/NNG+는/JX
“무대에	“/SN+무대/NNG+에/JKB
오르기까지	오르/VV+기/ETN+까지/JX
많은	많/VA+은/ETM
것을	것/NNB+을/JKO
이겨내고	이기/VV+어/EC+내/VX+고/EC
극복해낸	극복하/VV+여/EC+내/VX+ㄴ/ETM
배우들의	배우/NNG+들/XSN+의/JKG
진실한	진실하/VA+ㄴ/ETM
삶이	삶/NNG+이/JKS
무대에서	무대/NNG+에서/JKB
왜곡됨	왜곡되/VV+ㅁ/ETN
없이	없이/MAG
진실	진실/NNG
되게	되/VV+게/EC
표현됨으로써	표현되/VV+ㅁ/ETN+으로써/JKB
미국에	미국/NNP+에/JKB
있는	있/VA+는/ETM
많은	많/VA+은/ETM
사람들에게	사람/NNG+들/XSN+에게/JKB
꿈과	꿈/NNG+과/JC
희망을	희망/NNG+을/JKO
전하게	전하/VV+게/EC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
말했다	말하/VV+였/EP+다/EC

창작뮤지컬	창작뮤지컬/NNG
‘ONE&ONE’은	‘ONE/SL+&/SW+ONE’/SL+은/JX
실제	실제/NNG
단원들의	단원/NNG+들/XSN+의/JKG
이야기를	이야기/NNG+를/JKO
논픽션	논픽션/NNG
휴먼드라마로	휴먼드라마/NNG+로/JKB
만들었다	만들/VV+었/EP+다/EC

뛰어난	뛰어나/VA+ㄴ/ETM
노래	노래/NNG
실력을	실력/NNG+을/JKO
갖추고	갖추/VV+고/EC
있음에도	있/VX+음/ETN+에/JKB+도/JX
불구하고	불구하/VV+고/EC
안면장애로	안면장애/NNG+로/JKB
인해	인하/VV+여/EC
가수의	가수/NNG+의/JKG
꿈을	꿈/NNG+을/JKO
포기해야	포기하/VV+여야/EC
하는	하/VX+는/ETM
안면장애인	안면장애/NNG+이/VCP+ㄴ/ETM
심보준씨,	심보준/NNP+씨/NNB+,/SP
촉망받는	촉망/NNG+받/VV+는/ETM
발레리나였지만	발레리나/NNG+이/VCP+었/EP+지만/EC
교통사고로	교통사고/NNG+로/JKB
다시는	다시/MAG+는/JX
무대에서	무대/NNG+에서/JKB
춤을	춤/NNG+을/JKO
출수	추/VV+ㄹ/ETM+수/NNB
없게	없/VA+게/EC
된	되/VV+ㄴ/ETM
척수장애인	척수장애인/NNG
최혜영씨,	최혜영/NNP+씨/NNB+,/SP
숟가락	숟가락/NNG
들	들/VV+ㄹ/ETM
힘조차	힘/NNG+조차/JX
없었던	없/VA+었/EP+던/ETM
류마티스	류마티스/NNG
관절염을	관절염/NNG+을/JKO
앓고	앓/VV+고/EC
있는	있/VX+는/ETM
정유미와	정유미/NNP+와/JC
이들을	이/NP+들/XSN+을/JKO
무대의	무대/NNG+의/JKG
주인공을	주인공/NNG+을/JKO
만들기	만들/VV+기/ETN
위해	위하/VV+여/EC
고군분투하는	고군분투하/VV+는/ETM
배	배/NNG
대표	대표/NNG

이들이	이/NP+들/XSN+이/JKS
겪었던	겪/VV+었/EP+던/ETM
실제	실제/NNG
이야기들이	이야기/NNG+들/XSN+이/JKS
절절한	절절하/VA+ㄴ/ETM
연기와	연기/NNG+와/JC
노래로	노래/NNG+로/JKB
관중들에게	관중/NNG+들/XSN+에게/JKB
깊은	깊/VA+은/ETM
감동을	감동/NNG+을/JKO
전하면서	전하/VV+면서/EC
2011년도에는	2011/SN+년도/NNB+에/JKB+는/JX
전국순회공연,	전국순회공연/NNG+,/SP
2012년도에는	2012/SN+년/NNB+도/NNG+에/JKB+는/JX
강남문화재단	강남/NNP+문화재단/NNG
공모사업에	공모사업/NNG+에/JKB
선정되기도	선정되/VV+기/ETN+도/JX
했다	하/VX+였/EP+다/EF

특히	특히/MAG
한국장애인국제예술단의	한국장애인국제예술단/NNP+의/JKG
창작뮤지컬	창작뮤지컬/NNG
ONE&ONE	ONE/SL+&/SW+ONE/SL
미국공연을	미국/NNP+공연/NNG+을/JKO
위해	위하/VV+여/EC
국내	국내/NNG
휠체어	휠체어/NNG
제조업체인	제조업체/NNG+이/VCP+ㄴ/ETM
주식회사	주식회사/NNG
휠라인(대표	휠라인/NNP+(/SS+대표/NNG
금동옥)이	금동옥/NNP+)/SS+이/JKS
활동형	활동형/NNG
휠체어를	휠체어/NNG+를/JKO
기증했다	기증하/VV+였/EP+다/EF

창작뮤지컬	창작뮤지컬/NNG
ONE&ONE의	ONE/SL+&/SW+ONE/SL+의/JKG
미국공연은	미국/NNP+공연/NNG+은/JX
오는	오/VV+는/ETM
12월	12/SN+월/NNB
1일과	1/SN+일/NNB+과/JC
5일	5/SN+일/NNB
오후	오후/NNG
7시	7/SN+시/NNB
로스앤젤레스	로스앤젤레스/NNP
NEW	NEW/SL
Vision	Vision/SL
Center에서	Center/SL+에서/JKB
열린다	열리/VV+ㄴ다/EF

이	이/MM
공연은	공연/NNG+은/JX
문화체육관광부가	문화체육관광부/NNG+가/JKS
주최하고,	주최하/VV+고/EC+,/SP
한국문화예술위원회와	한국문화예술위원회/NNP+와/JC
