“어떻게	“/SL+어떻/VA+게/EC
나아	나/VV+아/EC
키울래,	키울래/NNG+,/SP
유전될	유전되/VV+ㄹ/ETM
텐데…”	터/NNB+이/VCP+ㄴ데/EF+…/SE+”/SN

다큐멘터리를	다큐멘터리/NNG+를/JKO
보는	보/VV+는/ETM
내내	내내/MAG
가슴	가슴/NNG
한켠이	한/MM+켠/NNB+이/JKS
울컥하고	울컥하/VV+고/EC
눈에서는	눈/NNG+에서/JKB+는/JX
눈물이	눈물/NNG+이/JKS
저절로	저절로/MAG
흐른다	흐르/VV+ㄴ다/EF

결코	결코/MAG
그녀들이	그녀/NP+들/XSN+이/JKS
가엽거나	가엽/VA+거나/EC
안타까워서가	안타깝/VA+어서/EC+가/JKC
아니라	아니/VCN+라/EC
나와	나/NP+와/JKB
같은	같/VA+은/ETM
이가	이/NNB+가/JKS
있구나하며	있/VA+구나/EF+하/VV+며/EC
나의	나/NP+의/JKG
경험을	경험/NNG+을/JKO
뒤돌아보며	뒤돌아보/VV+며/EC
설움에	설움/NNG+에/JKB
복받쳐	복받치/VV+어/EC
흘러내리는	흘러내리/VV+는/ETM
눈물이었다	눈물/NNG+이/VCP+었/EP+다/EC

그것은	그것/NP+은/JX
공감을	공감/NNG+을/JKO
넘어선	넘어서/VV+ㄴ/ETM
동감이었다	동감/NNG+이/VCP+었/EP+다/EF

'제13회	'/SS+제/XPN+13/SN+회/NNB
제주장애인인권영화제'의	제주/NNP+장애인인권영화제/NNG+'/SS+의/JKG
개막작인	개막/NNG+작/XSN+이/VCP+ㄴ/ETM
‘부모(不母)에서	‘/SL+부모/NNG+(/SS+不母/SL+)/SS+에서/JKB
부모(父母)로’의	부모/NNG+(/SS+父母/SL+)/SS+로/JKB+’/SL+의/JKG
작품은	작품/NNG+은/JX
두	두/MM
명의	명/NNB+의/JKG
뇌병변	뇌병변/NNG
장애여성이	장애여성/NNG+이/JKS
아이를	아이/NNG+를/JKO
낳고	낳/VV+고/EC
기르는	기르/VV+는/ETM
과정의	과정/NNG+의/JKG
많은	많/VA+은/ETM
사회적	사회적/NNG
편견과	편견/NNG+과/JC
어려움들에	어려움/NNG+들/XSN+에/JKB
대해	대하/VV+여/EC
이야기하고	이야기하/VV+고/EC
있다	있/VX+다/EC

행복한	행복하/VA+ㄴ/ETM
결혼	결혼/NNG
생활의	생활/NNG+의/JKG
더한	더하/VA+ㄴ/ETM
축복은	축복/NNG+은/JX
아이를	아이/NNG+를/JKO
갖는	갖/VV+는/ETM
일이다	일/NNG+이/VCP+다/EC

아이를	아이/NNG+를/JKO
갖는다는	갖/VV+는다는/ETM
것은	것/NNB+은/JX
걱정도	걱정/NNG+도/JX
따르는	따르/VV+는/ETM
일이겠지만	일/NNG+이/VCP+겠/EP+지만/EC
커다란	커다랗/VA+ㄴ/ETM
축복이	축복/NNG+이/JKC
아닐	아니/VCN+ㄹ/ETM
수	수/NNB
없다	없/VA+다/EC

주위의	주위/NNG+의/JKG
가족,	가족/NNG+,/SP
친지들의	친지/NNG+들/XSN+의/JKG
축하와	축하/NNG+와/JC
격려를	격려/NNG+를/JKO
받으며	받/VV+으며/EC
열	열/NR
달을	달/NNB+을/JKO
품고	품/VV+고/EC
엄마가	엄마/NNG+가/JKC
될	되/VV+ㄹ/ETM
준비를	준비/NNG+를/JKO
한다	하/VV+ㄴ다/EF

그러나	그러나/MAJ
유독	유독/MAG
장애여성들은(특히	장애여성/NNG+들/XSN+은/JX+(/SS+특히/MAG
장애가	장애/NNG+가/JKS
심할수록)	심하/VA+ㄹ수록/EC+)/SS
커다란	커다랗/VA+ㄴ/ETM
축복의	축복/NNG+의/JKG
과정에서	과정/NNG+에서/JKB
많은	많/VA+은/ETM
축하와	축하/NNG+와/JC
격려가	격려/NNG+가/JKS
더	더/MAG
필요함에도	필요하/VA+ㅁ에도/EC
불구하고	불구하/VV+고/EC
가장	가장/MAG
가까운	가깝/VA+ㄴ/ETM
가족으로부터	가족/NNG+으로부터/JKB
많은	많/VA+은/ETM
상처를	상처/NNG+를/JKO
받는다	받/VV+는다/EC

어떻게	어떻/VA+게/EC
나을래,	나을래/NNG+,/SP
어떻게	어떻/VA+게/EC
키울래	키울/VV+ㄹ래/EC
라는	이/VCP+라는/ETM
말과	말/NNG+과/JKB
또한	또한/MAG
잘못된	잘못되/VV+ㄴ/ETM
편견	편견/NNG
중	중/NNB
하나인	하나/NNG+이/VCP+ㄴ/ETM
유전될	유전되/VV+ㄹ/ETM
텐데	텐데/NNG
등의	등/NNB+의/JKG
따가운	따갑/VA+ㄴ/ETM
시선과	시선/NNG+과/JC
말들로	말/NNG+들/XSN+로/JKB
장애여성	장애여성/NNG
엄마들은	엄마/NNG+들/XSN+은/JX
