법무법인	법무법인/NNG
율촌,	율촌/NNP+,/SP
평창스페셜올림픽	평창스/NNP+페셜올림픽/NNG
후원금	후원금/NNG
전달	전달/NNG

법무법인(유)	법무법인/NNG+(/SS+유/NNP+)/SS
율촌(대표	율촌/NNP+(/SS+대표/NNG
우창록)이	우창록/NNP+)/SS+이/JKS
‘2013평창동계스페셜올림픽	‘/SL+2013/SN+평창동계스페셜올/NNP+림픽/NNG
조직위원회’(위원장	조직위원회/NNG+’/SL+(/SS+위원장/NNG
나경원)에	나경원/NNP+)/SS+에/JKB
후원금	후원금/NNG
약	약/MM
1500만원을	1500/SN+만/NR+원/NNB+을/JKO
전달했다	전달하/VV+였/EP+다/EC

율촌	율촌/NNP
우창록	우창록/NNP
대표변호사는	대표변호사/NNG+는/JX
27일	27/SN+일/NNB
사내	사내/NNG
회의실에서	회의실/NNG+에서/JKB
나경원	나경원/NNG
위원장을	위원장/NNG+을/JKO
만나	만나/VV+아/EC
평창동계스페셜올림픽	평창동계스페셜올림픽/NNP
후원	후원/NNG
약정서에	약정서/NNG+에/JKB
서명한	서명하/VV+ㄴ/ETM
뒤	뒤/NNG
후원금을	후원금/NNG+을/JKO
전달하고,	전달하/VV+고/EC+,/SP
성공적인	성공적/NNG+이/VCP+ㄴ/ETM
개최를	개최/NNG+를/JKO
위해	위하/VV+여/EC
적극	적극/NNG
돕기로	돕/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

이날	이날/NNG
전달된	전달되/VV+ㄴ/ETM
후원금은	후원금/NNG+은/JX
지난	지나/VV+ㄴ/ETM
10월	10/SN+월/NNB
28일	28/SN+일/NNB
춘천에서	춘천/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
마라톤대회에	마라톤대회/NNG+에/JKB
이윤남·김나영	이윤남/NNP+·/SP+김나영/NNP
변호사가	변호사/NNG+가/JKS
스페셜올림픽의	스페셜올림픽/NNG+의/JKG
성공적인	성공적/NNG+이/VCP+ㄴ/ETM
개최를	개최/NNG+를/JKO
기원하는	기원하/VV+는/ETM
‘1미터	‘/SL+1/SN+미터/NNB
1원	1/SN+원/NNB
후원	후원/NNG
행사’를	행사/NNG+’/SL+를/JKO
통해	통하/VV+여/EC
율촌에서	율촌/NNP+에서/JKB
모금한	모금하/VV+ㄴ/ETM
것이다	것/NNB+이/VCP+다/EC

‘1미터	‘/SL+1/SN+미터/NNB
1원	1/SN+원/NNB
후원	후원/NNG
행사’는	행사/NNG+’/SL+는/JX
평창동계스페셜올림픽	평창동계스페셜올/NNP+림픽/NNG
유치과정에서부터	유치과정/NNG+에서부터/JKB
무료	무료/NNG
법률자문을	법률자문/NNG+을/JKO
제공하고	제공하/VV+고/EC
있는	있/VX+는/ETM
강희철	강희철/NNP
변호사가	변호사/NNG+가/JKS
후원회장을	후원회장/NNG+을/JKO
맡고,	맡/VV+고/EC+,/SP
144명의	144/SN+명/NNB+의/JKG
율촌	율촌/NNP
변호사	변호사/NNG
등	등/NNB
전문가들이	전문가/NNG+들/XSN+이/JKS
참여했다	참여하/VV+였/EP+다/EC

당시	당시/NNG
마라톤대회에서	마라톤대회/NNG+에서/JKB
이	이/MM
변호사는	변호사/NNG+는/JX
풀코스(42	풀코스/NNG+(/SS+42/SN

195km)를	195/SN+km/SL+)/SS+를/JKO
완주했고,	완주하/VV+였/EP+고/EC+,/SP
김	김/NNP
변호사는	변호사/NNG+는/JX
생애	생애/NNG
최초로	최초/NNG+로/JKB
10km	10/SN+km/SL
마라톤에	마라톤/NNG+에/JKB
도전했다	도전하/VV+였/EP+다/EC

율촌은	율촌/NNP+은/JX
거의	거의/MAG
무료에	무료/NNG+에/JKB
가까운	가깝/VA+ㄴ/ETM
조건으로	조건/NNG+으로/JKB
평창동계스페셜올림픽	평창동계스페셜올/NNP+림픽/NNG
개최와	개최/NNG+와/JKB
관련된	관련되/VV+ㄴ/ETM
법률자문을	법률자문/NNG+을/JKO
하고	하/VV+고/EC
있다	있/VX+다/EC

한편	한편/MAG
2013평창동계스페셜올림픽은	2013/SN+평/NNB+창동계스페셜올림픽/NNP+은/JX
전	전/MM
세계	세계/NNG
지적발달	지적발달/NNG
장애인들이	장애인/NNG+들/XSN+이/JKS
참가하는	참가하/VV+는/ETM
국제스포츠대회로	국제스포츠대회/NNP+로/JKB
내년	내년/NNG
1월	1/SN+월/NNB
29일부터	29/SN+일/NNB+부터/JX
2월	2/SN+월/NNB
5일까지	5/SN+일/NNB+까지/JX
8일간	8/SN+일/NNB+간/XSN
강원도	강원도/NNP
평창	평창/NNP
및	및/MAG
강릉	강릉/NNP
일대에서	일대/NNG+에서/JKB
열린다	열리/VV+ㄴ다/EF
