KBS	KBS/SL
TV소설	TV/SL+소설/NNG
‘사랑아	‘/SN+사랑아/NNG
사랑아’의	사랑아/NNP+’/SL+의/JKG
자원봉사자	자원봉사자/NNG

자원봉사자(自願奉仕者,	자원봉사자/NNG+(/SS+自願奉仕者/SL+,/SP
Volunteer)란	Volunteer/SL+)/SS+이/VCP+란/ETM
자기	자기/NP
스스로가	스스로/NNG+가/JKS
대가없이	대가/NNG+없이/MAG
자신의	자신/NNG+의/JKG
열정(재능)과	열정/NNG+(/SS+재능/NNG+)/SS+과/JC
시간과	시간/NNG+과/JC
돈을	돈/NNG+을/JKO
사회	사회/NNG
또는	또는/MAG
공공의	공공/NNG+의/JKG
이익을	이익/NNG+을/JKO
위해	위하/VV+여/EC
바치는	바치/VV+는/ETM
사람이다	사람/NNG+이/VCP+다/EC

예전에는	예전/NNG+에/JKB+는/JX
자원봉사자에	자원봉사자/NNG+에/JKB
대해	대하/VV+여/EC
문의	문의/NNG
하면서	하/VV+면서/EC
그거	그거/NP
하면	하/VV+면/EC
얼마	얼마/NNG
주느냐고	주/VX+느냐고/EC
묻는	묻/VV+는/ETM
사람들도	사람/NNG+들/XSN+도/JX
있었다	있/VA+었/EP+다/EF

20여	20/SN+여/XSN
년	년/NNB
전	전/NNG
자원봉사자가	자원봉사자/NNG+가/JKS
무슨	무슨/MM
의미인지	의미/NNG+이/VCP+ㄴ지/EC
잘	잘/MAG
몰랐을	모르/VV+았/EP+을/ETM
때이므로	때/NNG+이/VCP+므로/EC
더러는	더러/MAG+는/JX
보수를	보수/NNG+를/JKO
바라기도	바라/VV+기/ETN+도/JX
했던	하/VX+였/EP+던/ETM
것이다	것/NNB+이/VCP+다/EC

자원봉사자의	자원봉사자/NNG+의/JKG
유래	유래/NNG

ⓒ한국자원봉사연합회	ⓒ/SL+한국자원봉사연합회/NNP
자원봉사활동을	자원봉사활동/NNG+을/JKO
나타내는	나타내/VV+는/ETM
볼런타리즘(Voluntarism)	볼런타리즘/NNG+(/SS+Voluntarism/SL+)/SS
또는	또는/MAG
볼런티어리즘(Volunteerism)은	볼런티어리즘/NNG+(/SS+Volunteerism/SL+)/SS+은/JX
‘자유의지’라는	‘/SN+자유의지’/NNG+이/VCP+라는/ETM
라틴어	라틴/NNP+어/XSN
볼런타스(Voluntas)에서	볼런타스/NNG+(/SS+Voluntas/SL+)/SS+에서/JKB
유래되었다고	유래되/VV+었/EP+다고/EC
하는데,	하/VV+는데/EC+,/SP
사회	사회/NNG
또는	또는/MAG
이웃을	이웃/NNG+을/JKO
위해	위하/VV+여/EC
대가를	대가/NNG+를/JKO
바라지	바라/VV+지/EC
