<패럴림픽>	</SS+패럴림픽/NNG+>/SS
IPC	IPC/SL
의족	의족/NNG
'길이'	'/SS+길이/NNG+'/SS
세부	세부/NNG
규정	규정/NNG
없다	없/VA+다/EC

(런던=연합뉴스)	(/SS+런던/NNP+=/SW+연합뉴스/NNP+)/SS
전명훈	전명훈/NNP
기자	기자/NNG
=	=/SW
국제패럴림픽위원회(IPC)	국제패럴림픽위원회/NNG+(/SS+IPC/SL+)/SS
육상	육상/NNG
규정집에는	규정집/NNG+에/JKB+는/JX
의족	의족/NNG
길이에	길이/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
세부	세부/NNG
규정이	규정/NNG+이/JKS
없다	없/VA+다/EC

국제패럴림픽위원회(IPC)에서	국제패럴림픽위원회/NNG+(/SS+IPC/SL+)/SS+에서/JKB
펴낸	펴내/VV+ㄴ/ETM
육상	육상/NNG
규정집의	규정집/NNG+의/JKG
규칙	규칙/NNG
6에	6/SN+에/JKB
따르면	따르/VV+면/EC
육상	육상/NNG
트랙	트랙/NNG
42-46등급(절단	42/SN+-/SO+46/SN+등급/NNG+(/SS+절단/NNG
및	및/MAG
기타	기타/NNG
장애)에	장애/NNG+)/SS+에/JKB
해당하는	해당하/VV+는/ETM
선수들은	선수/NNG+들/XSN+은/JX
'양	'/SS+양/MM
다리의	다리/NNG+의/JKG
길이를	길이/NNG+를/JKO
같게	같/VA+게/EC
만들어주는	만들/VV+어/EC+주/VX+는/ETM
의족'을	의족/NNG+'/SS+을/JKO
반드시	반드시/MAG
사용해야	사용하/VV+여야/EC
한다	하/VX+ㄴ다/EF

의족을	의족/NNG+을/JKO
사용하지	사용하/VV+지/EC
않고	않/VX+고/EC
한	한/MM
발로	발/NNG+로/JKB
뛰는	뛰/VV+는/ETM
것은	것/NNB+은/JX
허용하지	허용하/VV+지/EC
않는다	않/VX+는다/EF

이	이/MM
규정에	규정/NNG+에/JKB
따르면	따르/VV+면/EC
의족을	의족/NNG+을/JKO
착용한	착용하/VV+ㄴ/ETM
다리의	다리/NNG+의/JKG
길이는	길이/NNG+는/JX
의족을	의족/NNG+을/JKO
착용하지	착용하/VV+지/EC
않은	않/VX+은/ETM
다리	다리/NNG
길이와	길이/NNG+와/JKB
같아야	같/VA+아야/EC
한다	하/VX+ㄴ다/EF

이	이/MM
규정에서	규정/NNG+에서/JKB
IPC는	IPC/SL+는/JX
의족이	의족/NNG+이/JKS
선수들의	선수/NNG+들/XSN+의/JKG
경기력에	경기력/NNG+에/JKB
도움을	도움/NNG+을/JKO
줄	주/VV+ㄹ/ETM
수는	수/NNB+는/JX
없어야	없/VA+어야/EC
한다고	하/VX+ㄴ다고/EC
못박았다	못/NNG+박/VV+았/EP+다/EF

그러나	그러나/MAJ
두	두/MM
다리	다리/NNG
모두	모두/MAG
의족을	의족/NNG+을/JKO
사용할	사용하/VV+ㄹ/ETM
경우에	경우/NNG+에/JKB
대해서는	대하/VV+여서/EC+는/JX
의족	의족/NNG
길이에	길이/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
규정이	규정/NNG+이/JKS
없다	없/VA+다/EC

다만	다만/MAG
IPC는	IPC/SL+는/JX
'(의족	'(/SS+의족/NNG
착용으로)비현실적(unrealistic)으로	착용/NNG+으로/JKB+)/SS+비현실적/NNG+(/SS+unrealistic/SL+)/SS+으로/JKB
보폭이	보폭/NNG+이/JKS
늘어났을	늘어나/VV+았/EP+을/ETM
경우'	경우/NNG+'/SS
선수들의	선수/NNG+들/XSN+의/JKG
장비를	장비/NNG+를/JKO
조사할	조사하/VV+ㄹ/ETM
수	수/NNB
있다고만	있/VA+다고/EC+만/JX
명시했다	명시하/VV+였/EP+다/EC

신체	신체/NNG
비율에	비율/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
의족	의족/NNG
길이	길이/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
규정은	규정/NNG+은/JX
없다	없/VA+다/EC

IPC는	IPC/SL+는/JX
상위	상위/NNG
규정에서	규정/NNG+에서/JKB
전체	전체/NNG
육상	육상/NNG
선수들의	선수/NNG+들/XSN+의/JKG
장비에	장비/NNG+에/JKB
