방귀희	방귀희/NNP
특보,	특보/NNG+,/SP
“장애인예술회관	“/SL+장애인예술회관/NNG
건립	건립/NNG
절실”	절실/NNG+”/SN

“장애인	“/SL+장애인/NNG
체육	체육/NNG
분야에	분야/NNG+에/JKB
비해	비하/VV+여/EC
예술	예술/NNG
예산은	예산/NNG+은/JX
10분의	10/SN+분/XSN+의/JKG
1에	1/SN+에/JKB
불과해요	불과하/VA+여요/EC

그만큼	그만큼/MAG
관심이	관심/NNG+이/JKS
적다는	적/VA+다는/ETM
거죠	것/NNB+이/VCP+죠/EF

열악한	열악하/VA+ㄴ/ETM
5만여	5/SN+만/NR+여/XSN
장애예술인들의	장애예술인/NNG+들/XSN+의/JKG
공간인	공간/NNG+이/VCP+ㄴ/ETM
장애인예술회관	장애인예술회관/NNG
건립이	건립/NNG+이/JKS
너무나	너무나/MAG
절실한	절실하/VA+ㄴ/ETM
상황입니다"방귀희	상황/NNG+이/VCP+ㅂ니다/EF+"/SS+방귀희/NNP
대통령	대통령/NNG
문화특별보좌관은	문화특별보좌관/NNG+은/JX
13일	13/SN+일/NNB
서울	서울/NNP
공군회관에서	공군회관/NNG+에서/JKB
한국장애인예술백서	한국장애인예술백/NNP+서/JKB
출간기념	출간기념/NNG
기자간담회를	기자간담회/NNG+를/JKO
갖고,	갖/VV+고/EC+,/SP
이	이/NP
같이	같이/MAG
밝히며,	밝히/VV+며/EC+,/SP
사회적으로	사회적/NNG+으로/JKB
소외된	소외되/VV+ㄴ/ETM
장애예술인들에	장애예술인/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
정부와	정부/NNG+와/JC
언론의	언론/NNG+의/JKG
관심을	관심/NNG+을/JKO
호소했다	호소하/VV+었/EP+다/EC

이날	이날/NNG
방	방/NNG
특보는	특보/NNG+는/JX
지속적으로	지속적/NNG+으로/JKB
제안해온바	제안하/VV+여/EC+오/VX+ㄴ/ETM+바/MAG
있던	있/VA+던/ETM
장애인예술회관	장애인예술회관/NNG
건립이	건립/NNG+이/JKS
정부의	정부/NNG+의/JKG
무관심으로	무관심/NNG+으로/JKB
무산된	무산되/VV+ㄴ/ETM
것에	것/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
안타까움을	안타깝/VA+ㅁ/ETN+을/JKO
드러냈다	드러내/VV+었/EP+다/EF

방	방/NNG
특보는	특보/NNG+는/JX
“소외계층을	“/SL+소외계층/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
복권기금	복권기금/NNG
사업으로	사업/NNG+으로/JKB
장애인예술회관에	장애인예술회관/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
필요성을	필요성/NNG+을/JKO
지속적으로	지속적/NNG+으로/JKB
제안했다”며“내년도	제안하/VV+였/EP+다/EC+”/VX+며/EC+“/SN+내년도/NNG
예산	예산/NNG
반영을	반영/NNG+을/JKO
위해	위하/VV+여/EC
문화체육관광부	문화체육관광부/NNG
문제사업으로	문제사업/NNG+으로/JKB
총	총/MM
350억원의	350/SN+억/NR+원/NNB+의/JKG
사업비중	사업비/NNG+중/NNB
복권기금	복권기금/NNG
150억의	150/SN+억/NR+의/JKG
1차예산을	1/SN+차/NNB+예산/NNG+을/JKO
요구했지만	요구하/VV+였/EP+지만/EC
기획재정부는	기획재정부/NNG+는/JX
최근	최근/NNG
2013년도	2013/SN+년/NNB+도/JX
예산	예산/NNG
심의에서	심의/NNG+에서/JKB
논의조차	논의/NNG+조차/JX
하지	하/VV+지/EC
않고	않/VX+고/EC
탈락시켰다”고	탈락/NNG+시키/XSV+었/EP+다/EC+”/SN+고/EC
토로했다	토로하/VV+였/EP+다/EF

이어	이어/MAG
방	방/NNG
특보는	특보/NNG+는/JX
“문광부의	“/SL+문광부/NNG+의/JKG
장애예술정책	장애예술정책/NNG
의지가	의지/NNG+가/JKS
박약하다	박약하/VA+다/EC

장애인문화예술예산이	장애인문화예술예산/NNG+이/JKS
장애인체육예산의	장애인체육예산/NNG+의/JKG
10분의	10/SN+분/XSN+의/JKG
1밖에	1/SN+밖에/JX
안	안/MAG
되는	되/VV+는/ETM
상황"이라며	상황/NNG+"/SS+이/VCP+라며/EC
"예산이	"/SS+예산/NNG+이/JKS
문화예술국에	문화예술국/NNG+에/JKB
있고,	있/VA+고/EC+,/SP
업무는	업무/NNG+는/JX
체육국에서	체육국/NNG+에서/JKB
하는	하/VV+는/ETM
이중생활을	이중생활/NNG+을/JKO
하기	하/VV+기/ETN
때문에	때문/NNB+에/JKB
건립에	건립/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
예산	예산/NNG
확보	확보/NNG
업무를	업무/NNG+를/JKO
서로	서로/MAG
미룬다	미루/VV+ㄴ다/EF

장애예술인들이	장애예술인/NNG+들/XSN+이/JKS
창작활동을	창작활동/NNG+을/JKO
하기	하/VV+기/ETN
위해서는	위하/VV+여서/EC+는/JX
회관부터	회관/NNG+부터/JX
건립되야	건립되/VV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
강조했다	강조하/VV+였/EP+다/EC

특히	특히/MAG
방	방/NNG
특보는	특보/NNG+는/JX
열악한	열악하/VA+ㄴ/ETM
장애예술인들의	장애예술인/NNG+들/XSN+의/JKG
현실은	현실/NNG+은/JX
장애예술인들을	장애예술인/NNG+들/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
독립된	독립되/VV+ㄴ/ETM
법률이	법률/NNG+이/JKS
존재하지	존재하/VV+지/EC
않는	않/VX+는/ETM
것이	것/NNB+이/JKS
원인이라며	원인/NNG+이/VCP+라며/EC
장애예술인지원법률에	장애예술인지원법률/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
의지를	의지/NNG+를/JKO
보였다	보이/VV+었/EP+다/EF

방	방/NNG
특보는	특보/NNG+는/JX
"법안	"/SS+법안/NNG
초안은	초안/NNG+은/JX
거의	거의/MAG
만들어졌으며,	만들/VV+어/EC+지/VX+었/EP+으며/EC+,/SP
문광부	문광부/NNG
의원들을	의원/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
대표발의할	대표/NNG+발의하/VV+ㄹ/ETM
분을	분/NNB+을/JKO
고심하고	고심하/VV+고/EC
있다“며	있/VX+다/EC+“/VV+며/EC
”임기	”/SL+임기/NNG
안까지	안/NNG+까지/JX
법안과	법안/NNG+과/JKB
장애예술회관	장애예술회관/NNP
건립이	건립/NNG+이/JKS
목표다	목표/NNG+이/VCP+다/EF

꼭	꼭/MAG
이뤄낼	이루/VV+어/EC+내/VX+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
노력하고,	노력하/VV+고/EC+,/SP
사회적으로	사회적/NNG+으로/JKB
장애예술인들의	장애예술인/NNG+들/XSN+의/JKG
관심을	관심/NNG+을/JKO
불러일으키길	불러일으키/VV+기/ETN+ㄹ/JKO
기원한다“고	기원하/VV+ㄴ다/EC+“/VV+고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

한편,	한편/NNG+,/SP
방	방/NNG
특보는	특보/NNG+는/JX
지난	지나/VV+ㄴ/ETM
1일	1/SN+일/NNB
장애예술인들의	장애예술인/NNG+들/XSN+의/JKG
열악한	열악하/VA+ㄴ/ETM
현주소를	현주소/NNG+를/JKO
밝힌	밝히/VV+ㄴ/ETM
‘한국장애인예술백서’	‘/SL+한국/NNP+장애인예술백서/NNG+’/SN
발간했으며,	발간하/VV+였/EP+으며/EC+,/SP
백서	백서/NNG
안에는	안/NNG+에/JKB+는/JX
관련	관련/NNG
법률	법률/NNG
실태조사	실태조사/NNG
정책사업	정책사업/NNG
의정	의정/NNG
및	및/MAG
연구	연구/NNG
보고서	보고서/NNG
해외	해외/NNG
장애인예술단체	장애인예술단체/NNG
정보가	정보/NNG+가/JKS
담겨있다	담기/VV+어/EC+있/VX+다/EC
