-패럴림픽-	-/SO+패럴림픽/NNG+-/SO
탁구	탁구/NNG
김영건	김영건/NNP
金,	金/SL+,/SP
김경묵	김경묵/NNP
銀	銀/SL

(런던=연합뉴스)	(/SS+런던/NNP+=/SW+연합뉴스/NNP+)/SS
전명훈	전명훈/NNP
기자	기자/NNG
=	=/SW
한국	한국/NNP
장애인	장애인/NNG
국가대표	국가대표/NNG
선수단의	선수단/NNG+의/JKG
휠체어	휠체어/NNG
탁구	탁구/NNG
대표팀이	대표팀/NNG+이/JKS
런던	런던/NNP
하늘에	하늘/NNG+에/JKB
애국가를	애국가/NNG+를/JKO
울렸다	울리/VV+었/EP+다/EF

8년	8/SN+년/NNB
만에	만/NNB+에/JKB
패럴림픽	패럴림픽/NNG
금메달에	금메달/NNG+에/JKB
도전한	도전하/VV+ㄴ/ETM
김영건(28)은	김영건/NNP+(/SS+28/SN+)/SS+은/JX
3일(현지시간)	3/SN+일/NNB+(/SS+현지시간/NNG+)/SS
영국	영국/NNP
런던	런던/NNP
엑셀	엑셀/NNG
노스	노스/NNG
아레나	아레나/NNP
탁구	탁구/NNG
경기장에서	경기장/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
2012	2012/SN
패럴림픽	패럴림픽/NNG
남자	남자/NNG
단식	단식/NNG
클래스4	클래스/NNG+4/SN
결승에서	결승/NNG+에서/JKB
장얀(중국)을	장얀/NNP+(/SS+중국/NNP+)/SS+을/JKO
3-1(14-12	3/SN+-/SO+1/SN+(/SS+14/SN+-/SO+12/SN
11-9	11/SN+-/SO+9/SN
12-14	12/SN+-/SO+14/SN
11-9)로	11/SN+-/SO+9/SN+)/SS+로/JKB
제압하고	제압하/VV+고/EC
금메달을	금메달/NNG+을/JKO
목에	목/NNG+에/JKB
걸었다	걷/VV+었/EP+다/EF

이번	이번/NNG
대회	대회/NNG
탁구	탁구/NNG
종목에서	종목/NNG+에서/JKB
나온	나오/VV+ㄴ/ETM
첫	첫/MM
금메달이자	금메달/NNG+이/VCP+자/EC
한국	한국/NNP
패럴림픽	패럴림픽/NNG
대표팀의	대표팀/NNG+의/JKG
4번째	4/SN+번째/NNB
금메달이다	금메달/NNG+이/VCP+다/EC

앞서	앞서/MAG
사격의	사격/NNG+의/JKG
박세균,	박세균/NNP+,/SP
강주영에	강주영/NNP+에/JKB
이어	잇/VV+어/EC
유도의	유도/NNG+의/JKG
