장애인문화진흥회,	장애인문화진흥회/NNG+,/SP
‘한국장애인예술정책연구’	‘/SL+한국장애인예술정책연구/NNP+’/SL
발간	발간/NNG

(사)장애인문화진흥회(대표	(/SS+사/NNG+)/SS+장애인문화진흥/NNG+회/XSN+(/SS+대표/NNG
방귀희)가	방귀희/NNP+)/SS+가/JKS
기획재정부	기획재정부/NNG
복권위원회의	복권위원회/NNG+의/JKG
지원을	지원/NNG+을/JKO
받아	받/VV+아/EC
수행한	수행하/VV+ㄴ/ETM
‘한국장애인예술정책연구’를	‘/SL+한국/NNP+장애인예술정책연구’/NNG+를/JKO
책자로	책자/NNG+로/JKB
발간했다	발간하/VV+였/EP+다/EC

책자에서는	책자/NNG+에서/JKB+는/JX
우리나라에	우리나라/NNG+에/JKB
처음으로	처음/NNG+으로/JKB
독일	독일/NNP
장애예술인의	장애예술인/NNP+의/JKG
지원체계인	지원체계/NNG+이/VCP+ㄴ/ETM
유크레아(EUCREA),	유크레아/NNP+(/SS+EUCREA/SL+)/SS+,/SP
영국문화예술위원회에서	영국문화예술위원회/NNP+에서/JKB
장애예술인을	장애예술인/NNG+을/JKO
위해	위하/VV+여/EC
시행해	시행하/VV+여/EC
큰	크/VA+ㄴ/ETM
성과를	성과/NNG+를/JKO
올린	올리/VV+ㄴ/ETM
1차(2007-2010)와	1/SN+차/NNB+(/SS+2007/SN+-/SO+2010/SN+)/SS+와/JC
2차(2010-2013)	2/SN+차/NNB+(/SS+2010/SN+-/SO+2013/SN+)/SS
장애평등	장애평/NNG+등/NNB
계획을	계획/NNG+을/JKO
소개하며	소개하/VV+며/EC
장애인예술의	장애인예술/NNG+의/JKG
성공적인	성공적/NNG+이/VCP+ㄴ/ETM
모델을	모델/NNG+을/JKO
제시하고	제시하/VV+고/EC
있다	있/VX+다/EC

장애예술인들이	장애예술인/NNG+들/XSN+이/JKS
가장	가장/MAG
원하는	원하/VV+는/ETM
것은	것/NNB+은/JX
공공기관에서	공공기관/NNG+에서/JKB
일정	일정/NNG
비율의	비율/NNG+의/JKG
장애인예술을	장애인예술/NNG+을/JKO
참여시키는	참여/NNG+시키/XSV+는/ETM
‘장애인예술	‘/SL+장애인예술/NNG
공공	공공/NNG
쿼터제도’와	쿼터제도’/NNG+와/JC
장애예술인의	장애예술인/NNG+의/JKG
창작	창작/NNG
활동을	활동/NNG+을/JKO
위해	위하/VV+여/EC
지원금을	지원금/NNG+을/JKO
지급하는	지급하/VV+는/ETM
‘장애인창작지원금제도’인	‘/SN+장애인창작지원금제도’/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다	나타나/VV+았/EP+다/EC

이를	이/NP+를/JKO
위해	위하/VV+여/EC
책자에서는	책자/NNG+에서/JKB+는/JX
“장애예술인지원법률”	“/SL+장애예술인지원법률/NNG+”/SN
제정을	제정/NNG+을/JKO
제안하고	제안하/VV+고/EC
있다	있/VX+다/EC

법률의	법률/NNG+의/JKG
주요	주요/NNG
내용은	내용/NNG+은/JX
한국장애예술인지원재단을	한국장애예술인지원재단/NNP+을/JKO
설립해서	설립하/VV+여서/EC
장애인예술의	장애인예술/NNG+의/JKG
구심점이	구심점/NNG+이/JKC
될	되/VV+ㄹ/ETM
장애예술인회관을	장애예술인회관/NNG+을/JKO
운영하며	운영하/VV+며/EC
장애인예술	장애인예술/NNG
사업을	사업/NNG+을/JKO
펴는	펴/VV+는/ETM
것이다	것/NNB+이/VCP+다/EC

연구를	연구/NNG+를/JKO
진행한	진행하/VV+ㄴ/ETM
방귀희	방귀희/NNP
대표는	대표/NNG+는/JX
“장애인복지의	“/SL+장애인복지/NNG+의/JKG
모델이	모델/NNG+이/JKS
의료적	의료/NNG+적/XSN
모델에서	모델/NNG+에서/JKB
자립생활	자립생활/NNG
모델로	모델/NNG+로/JKB
발전했고	발전하/VV+였/EP+고/EC
앞으로는	앞/NNG+으로/JKB+는/JX
문화적	문화적/NNG
모델로	모델/NNG+로/JKB
변화해야	변화하/VV+여야/EC
한다”며	하/VX+ㄴ다”며/EC
“장애인예술을	“/SN+장애인예술/NNG+을/JKO
활성화시킬	활성화/NNG+시키/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
민과	민과/NNG
관이	관/XSN+이/JKS
함께	함께/MAG
‘장애인예술	‘/SN+장애인예술/NNG
거버넌스	거버넌스/NNG
운동’을	운동’/NNG+을/JKO
펼쳐야	펼치/VV+어야/EC
한다”고	하/VX+ㄴ다”고/EC
말했다	말하/VV+였/EP+다/EC
