서울시,	서울시/NNP+,/SP
장애인생활체육지도자	장애인생활체육지도자/NNG
2배	2/SN+배/NNG
확충	확충/NNG

서울시가	서울시/NNP+가/JKS
오는	오/VV+는/ETM
2020년까지	2020/SN+년/NNB+까지/JX
‘장애인	‘/SN+장애인/NNG
전문	전문/NNG
생활체육지도자’를	생활체육지도자’/NNG+를/JKO
현재	현재/MAG
보다	보다/MAG
2배	2/SN+배/NNG
많은	많/VA+은/ETM
80명까지	80/SN+명/NNB+까지/JX
확충한다	확충하/VV+ㄴ다/EF

서울시(시장	서울시/NNP+(/SS+시장/NNG
박원순)는	박원순/NNP+)/SS+는/JX
22일	22/SN+일/NNB
이	이/NP
같은	같/VA+은/ETM
내용이	내용/NNG+이/JKS
담긴	담기/VV+ㄴ/ETM
‘서울시	‘/SN+서울시/NNP
2020	2020/SN
체육정책	체육정책/NNG
마스터플랜’을	마스터플랜/NNG+’/SL+을/JKO
연말부터	연말/NNG+부터/JX
본격	본격/NNG
시행한다고	시행하/VV+ㄴ다고/EC
밝혔다	밝히/VV+었/EP+다/EC

이번	이번/NNG
서울시의	서울시/NNP+의/JKG
체육정책	체육정책/NNG
마스터플랜에는	마스터플랜/NNG+에/JKB+는/JX
운동을	운동/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
건강관리	건강관리/NNG
효과에	효과/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
시민의식을	시민의식/NNG+을/JKO
심어주고	심/VV+어/EC+주/VX+고/EC
대대적인	대대적/NNG+이/VCP+ㄴ/ETM
시설	시설/NNG
및	및/MAG
제도	제도/NNG
개선	개선/NNG
내용이	내용/NNG+이/JKS
담겨	담기/VV+어/EC
있다	있/VX+다/EF

서울시는	서울시/NNP+는/JX
현재	현재/MAG
39명에	39/SN+명/NNB+에/JKB
불과한	불과하/VA+ㄴ/ETM
'장애인	'/SS+장애인/NNG
전문	전문/NNG
생활체육지도자'를	생활체육지도자/NNG+'/SS+를/JKO
2배로	2/SN+배/NNG+로/JKB
확충,	확충/NNG+,/SP
스포츠	스포츠/NNG
서비스	서비스/NNG
수혜인원을	수혜인원/NNG+을/JKO
현재	현재/MAG
10만명에서	10/SN+만/NR+명/NNB+에서/JKB
20만명으로	20/SN+만/NR+명/NNB+으로/JKB
늘릴	늘리/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

현재	현재/MAG
장애인의	장애인/NNG+의/JKG
생활체육	생활체육/NNG
참여율은	참여/NNG+율/XSN+은/JX
8%에	8/SN+%/SW+에/JKB
불과하다	불과하/VA+다/EC

또한	또한/MAG
장애인	장애인/NNG
스포츠	스포츠/NNG
활동에	활동/NNG+에/JKB
사회적	사회적/NNG
관심제고와	관심제고/NNG+와/JC
기업의	기업/NNG+의/JKG
참여	참여/NNG
확대를	확대/NNG+를/JKO
위해	위하/VV+여/EC
2013년부터	2013/SN+년/NNB+부터/JX
‘1사	‘/SL+1/SN+사/NNG
1장애인	1/SN+장애인/NNG
클럽	클럽/NNG
후원활동’도	후원활동/NNG+’/SL+도/JX
전개할	전개하/VV+ㄹ/ETM
방침이다	방침/NNG+이/VCP+다/EC

서울에서는	서울/NNP+에서/JKB+는/JX
현재	현재/MAG
40여개의	40/SN+여/XSN+개/NNB+의/JKG
장애인	장애인/NNG
클럽이	클럽/NNG+이/JKS
활동	활동/NNG
중이다	중/NNB+이/VCP+다/EC

특히	특히/MAG
2013년	2013/SN+년/NNB
서울시내	서울/NNP+시내/NNG
사회복지시설	사회복지시설/NNG
416곳에	416/SN+곳/NNG+에/JKB
스포츠교습은	스포츠교습/NNG+은/JX
물론	물론/MAG
스포츠치료까지	스포츠치료/NNG+까지/JX
담당할	담당하/VV+ㄹ/ETM
생활체육지도자	생활체육지도자/NNG
10명을	10/SN+명/NNB+을/JKO
시범적	시범적/NNG
배치	배치/NNG
후	후/NNG
성과정도에	성과정도/NNG+에/JKB
따라	따르/VV+아/EC
확대를	확대/NNG+를/JKO
결정할	결정하/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

아울러	아울러/MAG
대학생	대학생/NNG
및	및/MAG
청년	청년/NNG
스포츠	스포츠/NNG
자원봉사자	자원봉사자/NNG
500명도	500/SN+명/NNB+도/JX
함께	함께/MAG
투입돼	투입되/VV+어/EC
스트레칭·요가·댄스	스트레칭/NNG+·/SP+요가/NNG+·/SP+댄스/NNG
등과	등/NNB+과/JC
스포츠	스포츠/NNG
치료	치료/NNG
등	등/NNB
시설에	시설/NNG+에/JKB
적합한	적합하/VA+ㄴ/ETM
서비스를	서비스/NNG+를/JKO
주기적으로	주기적/NNG+으로/JKB
제공하게	제공하/VV+게/EC
된다	되/VV+ㄴ다/EF

현재	현재/MAG
사회복지시설은	사회복지시설/NNG+은/JX
놀이와	놀이/NNG+와/JC
스프츠를	스프츠/NNG+를/JKO
통한	통하/VV+ㄴ/ETM
심리치료가	심리치료/NNG+가/JKS
가장	가장/MAG
필요하나	필요하/VA+나/EC
이들을	이/NP+들/XSN+을/JKO
