인천장애인AG조직위	인천/NNP+장애인/NNG+AG/SL+조직위/NNG
법인설립	법인설립/NNG
허가	허가/NNG

2014	2014/SN
인천장애인아시아경기대회조직위원회(위원장	인천장애인아시아경기대/NNP+회조직위원회/NNG+(/SS+위원장/NNG
김성일,	김성일/NNP+,/SP
이하	이하/NNG
조직위)는	조직위/NNG+)/SS+는/JX
문화체육관광부로부터	문화체육관광부/NNG+로부터/JKB
법인설립	법인설립/NNG
허가를	허가/NNG+를/JKO
받았다고	받/VV+았/EP+다고/EC
25일	25/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

법인	법인/NNG
명칭은	명칭/NNG+은/JX
'재단법인	'/SS+재단법인/NNG
2014	2014/SN
인천장애인아시아경기대회조직위원회'로	인천장애인아시아경기대/NNP+회조직위원회/NNG+'/SS+로/JKB
대회	대회/NNG
개최를	개최/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
종합	종합/NNG
및	및/MAG
세부계획	세부계획/NNG
수립,	수립/NNG+,/SP
시행	시행/NNG
등을	등/NNB+을/JKO
목적으로	목적/NNG+으로/JKB
한다	하/VV+ㄴ다/EF

인천시는	인천시/NNP+는/JX
이번주	이번주/NNG
내에	내/NNB+에/JKB
인천지방법원에	인천/NNP+지방법원/NNG+에/JKB
법인설립	법인설립/NNG
등기를	등기/NNG+를/JKO
신청할	신청하/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

한편	한편/MAG
조직위는	조직위/NNG+는/JX
오는	오/VV+는/ETM
10월	10/SN+월/NNB
중	중/NNB
개소식을	개소식/NNG+을/JKO
개최하고	개최하/VV+고/EC
중앙부처에	중앙부처/NNG+에/JKB
국비	국비/NNG
신청,	신청/NNG+,/SP
4급	4/SN+급/NNG
이상	이상/NNG
공무원에	공무원/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
정원승인	정원승/NNG+이/VCP+ㄴ/ETM
신청	신청/NNG
등	등/NNB
대회	대회/NNG
준비를	준비/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
본격적인	본격적/NNG+이/VCP+ㄴ/ETM
업무에	업무/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC
