'2012서울시장애인생활체육대회'	'/SS+2012/SN+서울/NNP+시장애인생활체육대회/NNG+'/SS
열려	열리/VV+어/EC

‘2012서울특별시장애인생활체육대회’가	‘/SL+2012/SN+서울/NNP+특별시장애인생활체육대회/NNG+’/SL+가/JKS
오는	오/VV+는/ETM
10일부터	10/SN+일/NNB+부터/JX
11일까지	11/SN+일/NNB+까지/JX
이틀간	이틀/NNG+간/XSN
잠실종합운동장	잠실종합운동장/NNP
등	등/NNB
3개소에서	3/SN+개소/NNB+에서/JKB
열린다	열리/VV+ㄴ다/EF

서울시장애인체육회가	서울/NNP+시장애인체육회/NNG+가/JKS
주최하는	주최하/VV+는/ETM
이번	이번/NNG
대회는	대회/NNG+는/JX
선수단과	선수단/NNG+과/JC
임원	임원/NNG
등	등/NNB
6,000명이	6,000/SN+명/NNB+이/JKS
모여	모이/VV+어/EC
다양한	다양하/VA+ㄴ/ETM
생활체육	생활체육/NNG
종목에서	종목/NNG+에서/JKB
승부를	승부/NNG+를/JKO
펼칠	펼치/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

10일에는	10/SN+일/NNB+에/JKB+는/JX
잠실종합운동장	잠실종합운동장/NNP
주경기장에서	주/MM+경기장/NNG+에서/JKB
단체줄넘기,	단체줄/NNG+넘/VV+기/ETN+,/SP
줄다리기,	줄다리기/NNG+,/SP
릴레이	릴레이/NNG
등	등/NNB
12개	12/SN+개/NNB
단체종목과	단체종목/NNG+과/JC
스포츠스택킹,	스포츠스택킹/NNG+,/SP
티볼	티볼/NNG
등	등/NNB
4개의	4/SN+개/NNB+의/JKG
이벤트	이벤트/NNG
종목이	종목/NNG+이/JKS
펼쳐진다	펼치/VV+어/EC+지/VX+ㄴ다/EC

11일에는	11/SN+일/NNB+에/JKB+는/JX
수영,	수영/NNG+,/SP
탁구,	탁구/NNG+,/SP
배드민턴	배드민턴/NNG
등	등/NNB
3개	3/SN+개/NNB
종목이	종목/NNG+이/JKS
정립회관과	정립회관/NNG+과/JC
중량구민체육센터	중량구민체육센터/NNG
등에서	등/NNB+에서/JKB
진행된다	진행되/VV+ㄴ다/EC

특히	특히/MAG
이번	이번/NNG
대회에는	대회/NNG+에/JKB+는/JX
페이스페인팅과	페이스페인팅/NNG+과/JC
아이아트플러스	아이아트플러스/NNP
주관으로	주관/NNG+으로/JKB
마련되는	마련되/VV+는/ETM
미술체험부스가	미술체험부스/NNG+가/JKS
현장의	현장/NNG+의/JKG
즐거움을	즐거움/NNG+을/JKO
더할	더하/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

개회식은	개회식/NNG+은/JX
오는	오/VV+는/ETM
10일	10/SN+일/NNB
오전	오전/NNG
10시	10/SN+시/NNB
30분부터	30/SN+분/NNB+부터/JX
한	한/MM
시간	시간/NNG
동안	동안/NNG
잠실	잠실/NNP
보조경기장에서	보조경기장/NNG+에서/JKB
열린다	열리/VV+ㄴ다/EF
