'2012	'/SS+2012/SN
서울시	서울시/NNP
어울림체육대회'	어울림체육대회/NNP+'/SS
7일	7/SN+일/NNB
열려	열리/VV+어/EC

서울시장애인직업재활시설협회(협회장	서울/NNP+시장애인직업재활시설협회/NNG+(/SS+협회/NNG+장/XSN
은홍수)가	은홍수/NNP+)/SS+가/JKS
주최하고	주최하/VV+고/EC
서울시와	서울시/NNP+와/JC
서울시장애인체육회에서	서울/NNP+시장애인체육/NNG+회/XSN+에서/JKB
후원하는	후원하/VV+는/ETM
‘2012	‘/SL+2012/SN
서울시	서울시/NNP
어울림생활체육대회’가	어울리/VV+ㅁ/ETN+생활체육대회/NNG+’/SL+가/JKS
오는	오/VV+는/ETM
7일	7/SN+일/NNB
오전	오전/NNG
9시	9/SN+시/NNB
30분부터	30/SN+분/NNB+부터/JX
16시까지	16/SN+시/NNB+까지/JX
KBS88	KBS/SL+88/SN
제1체육관에서	제/XPN+1/SN+체육관/NNG+에서/JKB
개최된다	개최되/VV+ㄴ다/EF

지역	지역/NNG
소재	소재/NNG
직업재활시설의	직업재활시설/NNG+의/JKG
근로장애인과	근로장애인/NNG+과/JC
종사자,	종사자/NNG+,/SP
자원봉사자	자원봉사자/NNG
등	등/NNB
1,700여명이	1,700/SN+여/XSN+명/NNB+이/JKS
참가할	참가하/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

이날	이날/NNG
대회는	대회/NNG+는/JX
동서남북	동서남북/NNG
네	네/MM
개의	개/NNB+의/JKG
권역으로	권역/NNG+으로/JKB
팀을	팀/NNG+을/JKO
나눠	나누/VV+어/EC
특급	특급/NNG
파도타기,	파도타기/NNG+,/SP
판뒤집기,	판뒤집기/NNG+,/SP
에드벌룬	에드벌룬/NNG
게임,	게임/NNG+,/SP
기둥쌓기,	기둥/NNG+쌓/VV+기/ETN+,/SP
장기자랑	장기자랑/NNG
및	및/MAG
댄스경연대회	댄스경연대회/NNG
등의	등/NNB+의/JKG
다채로운	다채롭/VA+ㄴ/ETM
경기가	경기/NNG+가/JKS
진행된다	진행되/VV+ㄴ다/EC

또한	또한/MAG
서울시장애인직업재활시설협회	서울/NNP+시장애인직업재활시설협회/NNG
홍보대사인	홍보대사/NNG+이/VCP+ㄴ/ETM
쌍둥이	쌍둥이/NNG
개그맨	개그맨/NNG
이상호·이상민의	이상호/NNP+·/SP+이상민/NNP+의/JKG
축하공연도	축하공연/NNG+도/JX
열린다	열리/VV+ㄴ다/EF
