피에타	피에타/NNP
그리고	그리고/MAJ
늑대소년	늑대소년/NNG

가을은	가을/NNG+은/JX
축제의	축제/NNG+의/JKG
계절이다	계절/NNG+이/VCP+다/EC

아니	아니/MAG
요즘은	요즘/NNG+은/JX
일	일/NR
년	년/NNB
내내	내내/MAG
축제가	축제/NNG+가/JKS
있는	있/VA+는/ETM
것	것/NNB
같다	같/VA+다/EC

그런데	그런데/MAJ
부산도	부산/NNP+도/JX
가을이면	가을/NNG+이/VCP+면/EC
불꽃축제	불꽃축제/NNG
등	등/NNB
몇몇의	몇몇/NR+의/JKG
축제가	축제/NNG+가/JKS
열리는데	열리/VV+는데/EC
그	그/MM
중에서	중/NNB+에서/JKB
으뜸이	으뜸/NNG+이/JKS
국제영화제가	국제영화제/NNG+가/JKS
아닐까	아니/VCN+ㄹ까/EC
싶다	싶/VX+다/EC

올해로	올해/NNG+로/JKB
17회가	17/SN+회/NNB+가/JKS
되는	되/VV+는/ETM
부산국제영화제는	부산/NNP+국제영화제/NNG+는/JX
지난	지나/VV+ㄴ/ETM
10월	10/SN+월/NNB
4일(목)부터	4/SN+일/NNB+(/SS+목/NNG+)/SS+부터/JX
10월	10/SN+월/NNB
13일(토)까지	13/SN+일/NNB+(/SS+토/NNG+)/SS+까지/JX
10일간	10/SN+일/NNB+간/XSN
진행되었다	진행되/VV+었/EP+다/EC

부산국제영화제	부산/NNP+국제영화제/NNG
초청권	초청권/NNG

ⓒ이복남	ⓒ/SL+이복/NNP+남/NNG
이번	이번/NNG
부산국제영화제에는	부산/NNP+국제영화제/NNG+에/JKB+는/JX
75개국에서	75/SN+개국/NNB+에서/JKB
304편의	304/SN+편/NNB+의/JKG
영화를	영화/NNG+를/JKO
초청했고,	초청하/VV+었/EP+고/EC+,/SP
7개	7/SN+개/NNB
극장	극장/NNG
37개관에서	37/SN+개/NNB+관/NNG+에서/JKB
상영했다고	상영하/VV+였/EP+다고/EC
한다	하/VV+ㄴ다/EF

부산국제영화제	부산/NNP+국제영화제/NNG
개최	개최/NNG
이후	이후/NNG
처음으로	처음/NNG+으로/JKB
관객이	관객/NNG+이/JKS
20만	20/SN+만/NR
명을	명/NNB+을/JKO
넘었다고	넘/VV+었/EP+다고/EC
하는데	하/VV+는데/EC
관객이	관객/NNG+이/JKS
많아서	많/VA+아서/EC
주최	주최/NNG
측에서는	측/NNB+에서/JKB+는/JX
비명을	비명/NNG+을/JKO
질렀는지	지르/VV+었/EP+는지/EC
모르겠지만	모르/VV+겠/EP+지만/EC
관객들은	관객/NNG+들/XSN+은/JX
표를	표/NNG+를/JKO
살	살/VV+ㄹ/ETM
수가	수/NNB+가/JKS
없다고	없/VA+다고/EC
발을	발/NNG+을/JKO
동동	동동/NNG
굴러야	구르/VV+어야/EC
했다	하/VX+였/EP+다/EF

부산국제영화제가	부산/NNP+국제영화제/NNG+가/JKS
처음	처음/NNG
시작하면서부터	시작하/VV+면서/EC+부터/JX
우리	우리/NP
장애인은	장애인/NNG+은/JX
따로	따로/MAG
초청	초청/NNG
해	하/VV+여/EC
주었으므로	주/VX+었/EP+으므로/EC
별	별/MM
걱정은	걱정/NNG+은/JX
없었다	없/VA+었/EP+다/EF

그러나	그러나/MAJ
초청권을	초청권/NNG+을/JKO
나누는	나누/VV+는/ETM
방법에	방법/NNG+에/JKB
대해서는	대하/VV+여서/EC+는/JX
몇	몇/MM
차례의	차례/NNG+의/JKG
변화가	변화/NNG+가/JKS
있었다	있/VA+었/EP+다/EF

올해는	올해/NNG+는/JX
지난	지나/VV+ㄴ/ETM
9월	9/SN+월/NNB
24일까지	24/SN+일/NNB+까지/JX
부산사회복지공동모금회에서	부산사회복지공동모금/NNG+회/XSN+에서/JKB
배포한	배포하/VV+ㄴ/ETM
내역에	내역/NNG+에/JKB
의거해서	의거하/VV+여서/EC
신청했는데	신청하/VV+였/EP+는데/EC
배분은	배분/NNG+은/JX
선착순이라고	선착순/NNG+이/VCP+라고/EC
했다	하/VV+였/EP+다/EC

필자가	필자/NNG+가/JKS
운영하는	운영하/VV+는/ETM
하사가장애인상담넷에는	하사가장애인상담넷/NNG+에/JKB+는/JX
총	총/MM
30장의	30/SN+장/NNB+의/JKG
영화표가	영화표/NNG+가/JKS
배분되었는데	배분되/VV+었/EP+는데/EC
‘피에타’	‘/SN+피에타/NNP+’/SL
5장,	5/SN+장/NNB+,/SP
‘백설공주’	‘/SN+백설공주/NNP+’/SL
5장,	5/SN+장/NNB+,/SP
그리고	그리고/MAJ
‘늑대소년’이	‘/SN+늑대소년/NNG+’/SL+이/JKS
20장이었다	20/SN+장/NNB+이/VCP+었/EP+다/EF

‘늑대소년’은	‘/SN+늑대소년/NNG+’/SL+은/JX
야외극장에서	야외극장/NNG+에서/JKB
상영되므로	상영되/VV+므로/EC
최소한	최소한/NNG
국제영화제를	국제영화제/NNG+를/JKO
기다리는	기다리/VV+는/ETM
사람들과는	사람/NNG+들/XSN+과/JKB+는/JX
함께	함께/MAG
하고	하/VV+고/EC
싶었다	싶/VX+었/EP+다/EF

그동안	그동안/NNG
야외극장에는	야외극장/NNG+에/JKB+는/JX
한	한/MM
번도	번/NNB+도/JX
못	못/MAG
가본	가/VV+아/EC+보/VX+ㄴ/ETM
사람이	사람/NNG+이/JKS
국제영화제를	국제영화제/NNG+를/JKO
기다리고	기다리/VV+고/EC
있었던	있/VX+었/EP+던/ETM
것이다	것/NNB+이/VCP+다/EC

'자비를	'/SS+자비/NNG+를/JKO
베푸소서'라는	베푸소서/NNG+'/SS+이/VCP+라는/ETM
뜻을	뜻/NNG+을/JKO
지닌	지니/VV+ㄴ/ETM
'피에타'는	'/SS+피에타/NNP+'/SS+는/JX
김기덕	김기덕/NNP
감독	감독/NNG
작품인데	작품/NNG+이/VCP+ㄴ데/EC
제69회	제/XPN+69/SN+회/NNB
베니스영화제에서	베니스/NNP+영화제/NNG+에서/JKB
황금사자상을	황금사자상/NNG+을/JKO
수상하여	수상하/VA+여/EC
더	더/MAG
유명해진	유명하/VA+여/EC+지/VX+ㄴ/ETM
영화이다	영화/NNG+이/VCP+다/EC

국제영화제에서는	국제영화제/NNG+에서/JKB+는/JX
감독이나	감독/NNG+이나/JC
주연	주연/NNG
배우	배우/NNG
등이	등/NNB+이/JKS
무대인사를	무대인사/NNG+를/JKO
하므로	하/VV+므로/EC
김기덕	김기덕/NNP
감독을	감독/NNG+을/JKO
보고	보/VV+고/EC
싶다는	싶/VX+다는/ETM
사람도	사람/NNG+도/JX
있었다	있/VA+었/EP+다/EF

피에타의	피에타/NNP+의/JKG
주인공	주인공/NNG
조민수와	조민수/NNP+와/JC
이정진	이정진/NNP

ⓒ이복남	ⓒ/SL+이복/NNP+남/NNG
‘피에타’는	‘/SL+피에타/NNP+’/SL+는/JX
5일	5/SN+일/NNB
17시	17/SN+시/NNB
CGV	CGV/SL
센텀시티	센텀시티/NNG
6관에서	6/SN+관/NNB+에서/JKB
상영되었다	상영되/VV+었/EP+다/EC

채무자들의	채무자/NNG+들/XSN+의/JKG
돈을	돈/NNG+을/JKO
뜯어내며	뜯어내/VV+며/EC
살아가는	살아가/VV+는/ETM
남자	남자/NNG
‘강도(이정진	‘/SL+강도/NNG+(/SS+이정진/NNP
분)’에게	분/NNG+)/SS+’/SL+에게/JKB
어느	어느/MM
날	날/NNG
‘엄마’라는	‘/SN+엄마’/NNG+이/VCP+라는/ETM
여자(조민수	여자/NNG+(/SS+조민수/NNP
분)가	분/NNG+)/SS+가/JKS
찾아오면서	찾아오/VV+면서/EC
혼란을	혼란/NNG+을/JKO
겪게	겪/VV+게/EC
된다	되/VV+ㄴ다/EF

채무자들에게	채무자/NNG+들/XSN+에게/JKB
잔인하고	잔인하/VA+고/EC
끔찍하게	끔찍하/VA+게/EC
돈을	돈/NNG+을/JKO
뜯어내는	뜯어내/VV+는/ETM
강도,	강도/NNG+,/SP
몽정을	몽정/NNG+을/JKO
하는	하/VV+는/ETM
소년,	소년/NNG+,/SP
어머니에	어머니/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
그리움,	그리움/NNG+,/SP
그리고	그리고/MAJ
복수와	복수/NNG+와/JC
용서라니	용서/NNG+이/VCP+라니/EF

어떤	어떤/MM
죄를	죄/NNG+를/JKO
짓더라도	짓/VV+더라도/EC
‘자비를	‘/SN+자비/NNG+를/JKO
베푸소서’라고	베푸소서’/NNG+이/VCP+라고/EC
기도한다면	기도하/VV+ㄴ다면/EC
다	다/MAG
용서가	용서/NNG+가/JKC
되는	되/VV+는/ETM
걸까	것/NNB+이/VCP+ㄹ까/EF

누가	누구/NP+가/JKS
누구를	누구/NP+를/JKO
용서한다는	용서하/VV+ㄴ다는/ETM
것일까	것/NNB+이/VCP+ㄹ까/EF

“돈이	“/SN+돈/NNG+이/JKS
뭐예요?”	뭐/NP+이/VCP+에요/EF+?/SF+”/SL
“돈?	“/SL+돈/NNG+?/SF
모든	모든/MM
것의	것/NNB+의/JKG
시작이자	시작/NNG+이/VCP+자/EC
끝이지	끝이/VV+지/EC

사랑,	사랑/NNG+,/SP
명예,	명예/NNG+,/SP
폭력,	폭력/NNG+,/SP
분노,	분노/NNG+,/SP
증오,	증오/NNG+,/SP
질투,	질투/NNG+,/SP
복수…	복수/NNG+…/SE

”영화가	”/SL+영화/NNG+가/JKS
끝나고	끝나/VV+고/EC
GV(Guest	GV/SL+(/SS+Guest/SL
View)	View/SL+)/SS
즉	즉/MAG
감독과의	감독/NNG+과/JKB+의/JKG
대화시간이	대화시간/NNG+이/JKS
있었는데	있/VA+었/EP+는데/EC
김기덕	김기덕/NNP
감독은	감독/NNG+은/JX
외국에	외국/NNG+에/JKB
출타	출타/NNG
중이라서	중/NNB+이/VCP+라서/EC
못	못/MAG
나오고	나오/VV+고/EC
이정진과	이정진/NNP+과/JC
조민수가	조민수/NNP+가/JKS
나와서	나오/VV+아서/EC
인사를	인사/NNG+를/JKO
했다	하/VV+였/EP+다/EF

조민수는	조민수/NNP+는/JX
‘피에타’에서	‘/SN+피에타/NNP+’/SL+에서/JKB
연기하기가	연기하/VV+기/ETN+가/JKS
참	참/MAG
어려웠다고	어렵/VA+었/EP+다고/EC
했다	하/VV+였/EP+다/EC

그리고	그리고/MAJ
이정진은	이정진/NNP+은/JX
강도가	강도/NNG+가/JKS
욕잘	욕/NNG+잘/MAG
하는	하/VV+는/ETM
나쁜	나쁘/VA+ㄴ/ETM
놈이기만	놈/NNB+이/VCP+기/ETN+만/JX
하면	하/VX+면/EC
맡기	맡/VV+기/ETN
어려웠을	어렵/VA+었/EP+을/ETM
텐데	터/NNB+이/VCP+ㄴ데/EC
그래도	그리하/VV+여도/EC
착한	착하/VA+ㄴ/ETM
구석이	구석/NNG+이/JKS
있어서	있/VA+어서/EC
맡게	맡/VV+게/EC
되었다고	되/VV+었/EP+다고/EC
했다	하/VV+였/EP+다/EC

그리고	그리고/MAJ
10월	10/SN+월/NNB
9일	9/SN+일/NNB
19시	19/SN+시/NNB
30분	30/SN+분/NNB
롯데시네마	롯데시네마/NNP
센텀시티	센텀시티/NNG
4관에서	4/SN+관/NNB+에서/JKB
‘백설공주’를	‘/SN+백/NR+설공주’/NNG+를/JKO
봤다	보/VV+았/EP+다/EF

처음	처음/NNG
급하게	급하/VA+게/EC
신청했을	신청하/VV+였/EP+을/ETM
때는	때/NNG+는/JX
제목만	제목/NNG+만/JX
보고	보/VV+고/EC
아이들을	아이/NNG+들/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
영화인줄	영화인줄/NNG
알고	알/VV+고/EC
아이들이	아이/NNG+들/XSN+이/JKS
있는	있/VA+는/ETM
사람한테	사람/NNG+한테/JKB
표를	표/NNG+를/JKO
줄려고	줄/VV+려고/EC
생각했는데	생각하/VV+였/EP+는데/EC
나중에	나중/NNG+에/JKB
알고	알/VV+고/EC
보니	보/VX+니/EC
아이들	아이/NNG+들/XSN
영화가	영화/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
것	것/NNB
같았다	같/VA+았/EP+다/EC

‘백설공주’는	‘/SN+백설공주/NNP+’/SL+는/JX
원작동화에서	원작동화/NNG+에서/JKB
제목과	제목/NNG+과/JC
모티브만	모티브/NNG+만/JX
차용한	차용하/VV+ㄴ/ETM
스페인	스페인/NNP
영화였는데	영화/NNG+이/VCP+었/EP+는데/EC
