‘장애이해교육	‘/SL+장애이해교육/NNG
드라마	드라마/NNG
소재	소재/NNG
공모’	공모’/NNG
결과	결과/NNG
발표	발표/NNG

장애인먼저실천운동본부는	장애인먼저실천운동본부/NNG+는/JX
6일	6/SN+일/NNB
'2012	'/SS+2012/SN
장애이해교육	장애이해교육/NNG
드라마	드라마/NNG
소재	소재/NNG
공모전'	공모전/NNG+'/SS
결과를	결과/NNG+를/JKO
발표했다	발표하/VV+였/EP+다/EC

장애이해교육	장애이해교육/NNG
드라마	드라마/NNG
소재	소재/NNG
공모전은	공모전/NNG+은/JX
지난	지나/VV+ㄴ/ETM
2009부터	2009/SN+부터/JX
중·고등학생들을	중/NNG+·/SP+고등학생/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
청소년들이	청소년/NNG+들/XSN+이/JKS
스스로	스스로/MAG
참여하고	참여하/VV+고/EC
만들어가는	만들/VV+어/EC+가/VX+는/ETM
새로운	새롭/VA+ㄴ/ETM
장애인	장애인/NNG
인식개선	인식개선/NNG
문화	문화/NNG
풍토를	풍토/NNG+를/JKO
조성하기	조성하/VV+기/ETN
위해	위하/VV+여/EC
진행되고	진행되/VV+고/EC
있다	있/VX+다/EC

선정된	선정되/VV+ㄴ/ETM
작품은	작품/NNG+은/JX
장애이해교육드라마	장애이해교육드라마/NNG
등	등/NNB
청소년들을	청소년/NNG+들/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
장애인식개선	장애인식개선/NNG
콘텐츠로	콘텐츠/NNG+로/JKB
활용된다	활용되/VV+ㄴ다/EF

발표에	발표/NNG+에/JKB
따르면	따르/VV+면/EC
대상은	대상/NNG+은/JX
안내견	안내견/NNG
영광이의	영광이/NNP+의/JKG
시선에서	시선/NNG+에서/JKB
바라보는	바라보/VV+는/ETM
장애의	장애/NNG+의/JKG
세계가	세계/NNG+가/JKS
독특해	독특하/VA+여/EC
심사위원들의	심사위원/NNG+들/XSN+의/JKG
호평이	호평/NNG+이/JKS
끊이지	끊이/VV+지/EC
않은	않/VX+은/ETM
경기	경기/NNP
안산동산고	안산동산고/NNP
2학년	2/SN+학년/NNG
이진실	이진실/NNP
학생의	학생/NNG+의/JKG
작품,	작품/NNG+,/SP
‘만서서	‘/SN+만/NR+서/VV+어서/EC
영광입니다’에게	영광/NNP+이/VCP+ㅂ니다/EC+’/SL+에게/JKB
돌아갔다	돌아가/VV+았/EP+다/EF

최우수상은	최우수상/NNG+은/JX
엄마의	엄마/NNG+의/JKG
장애를	장애/NNG+를/JKO
