장애인탁구	장애인탁구/NNG
이해곤,	이해곤/NNG+,/SP
대한민국체육상	대한민/NNP+국체육상/NNG
극복상	극복상/NNG
수상	수상/NNG

대한장애인탁구협회	대한/NNP+장애인탁구협회/NNG
이해곤	이해곤/NNP
선수(60세)가	선/NNP+수/NP+(/SS+60/SN+세/NNB+)/SS+가/JKS
제50회	제/XPN+50/SN+회/NNB
대한민국체육상의	대한민/NNP+국체육상/NNG+의/JKG
극복상	극복/NNG+상/XSN
수상자로	수상자/NNG+로/JKB
선정됐다	선정되/VV+었/EP+다/EF

문화체육관광부(장관	문화체육관광부/NNG+(/SS+장관/NNG
최광식)는	최광식/NNP+)/SS+는/JX
4일	4/SN+일/NNB
제50회	제/XPN+50/SN+회/NNB
대한민국체육상	대한민/NNP+국체육상/NNG
수상자로	수상자/NNG+로/JKB
양학선(경기상),	양학선/NNG+(/SS+경기상/NNG+)/SS+,/SP
정훈(지도상),	정훈/NNP+(/SS+지도상/NNG+)/SS+,/SP
김병현(연구상),	김병현/NNP+(/SS+연구상/NNG+)/SS+,/SP
김동규(공로상),	김동규/NNP+(/SS+공로상/NNG+)/SS+,/SP
김창준(진흥상),	김창준/NNP+(/SS+진흥상/NNG+)/SS+,/SP
이해곤(극복상),	이해곤/NNP+(/SS+극복상/NNP+)/SS+,/SP
전혜자(특수체육상)	전혜자/NNP+(/SS+특수체육상/NNP+)/SS
등	등/NNB
총	총/MM
7명의	7/SN+명/NNB+의/JKG
선수를	선수/NNG+를/JKO
확정해	확정하/VV+여/EC
발표했다	발표하/VV+였/EP+다/EC

극복상의	극복상/NNG+의/JKG
이해곤	이해곤/VA
선수는	선수/NNG+는/JX
중도장애인으로서	중도장애인/NNG+으로서/JKB
정신·신체적	정신/NNG+·/SP+신체적/NNG
좌절을	좌절/NNG+을/JKO
딛고	딛/VV+고/EC
장애인스포츠가	장애인스포츠/NNG+가/JKS
불모지였던	불모지/NNG+이/VCP+었/EP+던/ETM
1980년대	1980/SN+년대/NNB
탁구를	탁구/NNG+를/JKO
시작해	시작하/VV+여/EC
30여년간	30/SN+여/XSN+년/NNB+간/XSN
선수로	선수/NNG+로/JKB
활동하며	활동하/VV+며/EC
장애인탁구의	장애인탁구/NNG+의/JKG
저변확대에	저변확대/NNG+에/JKB
기여한	기여하/VV+ㄴ/ETM
공로가	공로/NNG+가/JKS
인정됐다	인정되/VV+었/EP+다/EF

이	이/MM
선수는	선수/NNG+는/JX
1988년부터	1988/SN+년/NNB+부터/JX
2004년에	2004/SN+년/NNB+에/JKB
이르기까지	이르/VV+기/ETN+까지/JX
장애인올림픽	장애인올림픽/NNG
탁구	탁구/NNG
5회	5/SN+회/NNB
연속	연속/NNG
금메달을	금메달/NNG+을/JKO
획득하는	획득하/VV+는/ETM
기염을	기염/NNG+을/JKO
토하며	토하/VV+며/EC
장애인	장애인/NNG
탁구선수	탁구선수/NNG
대명사로	대명사/NNG+로/JKB
불린다	불리/VV+ㄴ다/EF

이외에도	이외/NNG+에/JKB+도/JX
순천향대학교	순천향대학교/NNP
전혜자(62세)	전혜자/NNP+(/SS+62/SN+세/NNB+)/SS
교수가	교수/NNG+가/JKS
특수체육상의	특수체육/NNG+상/XSN+의/JKG
수상의	수상/NNG+의/JKG
영예를	영예/NNG+를/JKO
안게	안/VV+게/EC
됐다	되/VV+었/EP+다/EC

전	전/NNP
교수는	교수/NNG+는/JX
장애인체육의	장애인체육/NNG+의/JKG
학문적	학문적/NNG
체계화에	체계화/NNG+에/JKB
기여했으며	기여하/VV+였/EP+으며/EC
국세계특수체육학회	국세계특수체육학회/NNP
아시아	아시아/NNP
지역	지역/NNG
대표	대표/NNG
및	및/MAG
2012런던장애인올림픽	2012/SN+런던/NNP+장애인올림픽/NNG
부단장으로	부/XPN+단장/NNG+으로/JKB
활약하는	활약하/VV+는/ETM
등	등/NNB
장애인스포츠	장애인스포츠/NNG
외교력	외교/NNG+력/XSN
강화에	강화/NNG+에/JKB
큰	크/VA+ㄴ/ETM
역할을	역할/NNG+을/JKO
하고	하/VV+고/EC
있다	있/VX+다/EC

이번	이번/NNG
수상자는	수상자/NNG+는/JX
지난달	지난달/NNG
25일	25/SN+일/NNB
체육계,	체육계/NNG+,/SP
학계,	학계/NNG+,/SP
언론계를	언론계/NNG+를/JKO
중심으로	중심/NNG+으로/JKB
체육에	체육/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
정보와	정보/NNG+와/JC
경험이	경험/NNG+이/JKS
풍부한	풍부하/VA+ㄴ/ETM
인사로	인사/NNG+로/JKB
구성된	구성되/VV+ㄴ/ETM
대한민국체육상심사위원회의	대한민국체육상심사위원회/NNP+의/JKG
심층	심층/NNG
토론과	토론/NNG+과/JC
심사를	심사/NNG+를/JKO
거쳐	거치/VV+어/EC
선정됐다	선정되/VV+었/EP+다/EF

시상식은	시상식/NNG+은/JX
오는	오/VV+는/ETM
15일	15/SN+일/NNB
롯데호텔	롯데호텔/NNP
크리스털	크리스털/NNG
볼룸에서	볼룸/NNG+에서/JKB
진행된다	진행되/VV+ㄴ다/EC

수상자들에게는	수상자/NNG+들/XSN+에게/JKB+는/JX
대통령상장과	대통령상장/NNG+과/JKB
함께	함께/MAG
부상	부상/NNG
1천만원이	1/SN+천만/NR+원/NNB+이/JKS
각각	각각/MAG
수여된다	수여되/VV+ㄴ다/EF
