장애인체육회,	장애인체육회/NNG+,/SP
선수	선수/NNG
인권	인권/NNG
‘나몰라라’	‘/SL+나몰라라’/VV

최근	최근/NNG
런던	런던/NNP
패럴림픽에서	패럴림픽/NNG+에서/JKB
보치아	보치아/NNP
국가대표	국가대표/NNG
수석코치의	수석코치/NNG+의/JKG
선수	선수/NNG
폭행	폭행/NNG
및	및/MAG
금품수수	금품수수/NNG
행위가	행위/NNG+가/JKS
발생한	발생하/VV+ㄴ/ETM
가운데,	가운데/NNG+,/SP
대한장애인체육회가	대한장애인체육회/NNP+가/JKS
선수인권과	선수인권/NNG+과/JKB
관련한	관련하/VV+ㄴ/ETM
활동이	활동/NNG+이/JKS
거의	거의/MAG
전무한	전무하/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러났다	드러나/VV+았/EP+다/EC

국회	국회/NNG
문화체육관광방송통신위원회	문화체육관광방송통신/NNP+위원회/NNG
소속	소속/NNG
홍지만	홍지만/NNP
의원(새누리당)은	의원/NNG+(/SS+새누리당/NNP+)/SS+은/JX
최근	최근/NNG
4년간	4/SN+년/NNB+간/XSN
인권침해에	인권침해/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
정확한	정확하/VA+ㄴ/ETM
상황파악이	상황파악/NNG+이/JKS
고작	고작/MAG
올해	올해/NNG
3건에	3/SN+건/NNB+에/JKB
불과했다고	불과하/VA+었/EP+다고/EC
19일	19/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

선수	선수/NNG
인권침해	인권침해/NNG
조치현황	조치현황/NNG

ⓒ홍지만의원실	ⓒ/SL+홍지만의원/NNG+실/XSN
상황	상황/NNG
파악이	파악/NNG+이/JKS
없으니	없/VA+으니/EC
폭력,	폭력/NNG+,/SP
성폭력,	성폭력/NNG+,/SP
기타인권침해	기타인권침해/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
징계	징계/NNG
건수도	건수/NNG+도/JX
역시	역시/MAG
전무했다	전무하/VV+였/EP+다/EF

심지어	심지어/MAG
장애인선수들이	장애인선수/NNG+들/XSN+이/JKS
인권침해를	인권침해/NNG+를/JKO
당했을	당하/VV+였/EP+을/ETM
경우	경우/NNG
신고하거나	신고하/VV+거나/EC
접수할	접수하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
창구가	창구/NNG+가/JKS
전혀	전혀/MAG
없었다	없/VA+었/EP+다/EF

홍	홍/NNP
의원은	의원/NNG+은/JX
“장애인체육회는	“/SL+장애인체육/NNG+회/XSN+는/JX
장애인선수들의	장애인선수/NNG+들/XSN+의/JKG
인권침해	인권침해/NNG
실태를	실태/NNG+를/JKO
철저히	철저히/MAG
조사해	조사하/VV+여/EC
강력한	강력하/VA+ㄴ/ETM
징계로	징계/NNG+로/JKB
스포츠선수	스포츠선수/NNG
인권침해를	인권침해/NNG+를/JKO
뿌리	뿌리/NNG
뽑아야	뽑/VV+아야/EC
한다”며	하/VX+ㄴ다”며/EC
“장애인선수들이	“/SN+장애인선수/NNG+들/XSN+이/JKS
인권침해를	인권침해/NNG+를/JKO
당했을	당하/VV+였/EP+을/ETM
경우	경우/NNG
신고나	신고/NNG+나/JC
상담을	상담/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
센터를	센터/NNG+를/JKO
구축해야	구축하/VV+여야/EC
한다”고	하/VX+ㄴ다”고/EC
지적했다	지적하/VV+였/EP+다/EF

이어	이어/MAG
홍	홍/NNP
의원은	의원/NNG+은/JX
“인권침해를	“/SN+인권침해/NNG+를/JKO
사전에	사전/NNG+에/JKB
방지할	방지하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
예방교육도	예방교육/NNG+도/JX
철저히	철저히/MAG
실시하고,	실시하/VV+고/EC+,/SP
종목별로	종목별/NNG+로/JKB
맞춤형	맞춤/NNG+형/XSN
프로그램	프로그램/NNG
개발도	개발/NNG+도/JX
고려해	고려하/VV+여/EC
보아야	보/VX+아야/EC
할	하/VX+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
주문했다	주문하/VV+였/EP+다/EF
