장애인국가대표,	장애인국가대표/NNG+,/SP
3년간	3/SN+년/NNB+간/XSN
폭행	폭행/NNG
감독	감독/NNG
고소	고소/NNG

2012런던장애인올림픽에	2012/SN+런던/NNP+장애인올림픽/NNG+에/JKB
출전했던	출전하/VV+였/EP+던/ETM
보치아	보치아/NNP
국가대표선수	국가대표선수/NNG
지모씨(31세)가	지/NNP+모/NP+씨/NNB+(/SS+31/SN+세/NNB+)/SS+가/JKS
3년	3/SN+년/NNB
동안	동안/NNG
김모	김/NNP+모/NP
감독(런던장애인올림픽	감독/NNG+(/SS+런던/NNP+장애인올림픽/NNG
수석코치로	수석코치/NNG+로/JKB
참가)으로부터	참가/NNG+)/SS+으로부터/JKB
상습폭행,	상습폭행/NNG+,/SP
금품갈취를	금품갈취/NNG+를/JKO
당했다는	당하/VV+였/EP+다는/ETM
주장이	주장/NNG+이/JKS
제기돼	제기되/VV+어/EC
검찰과	검찰/NNG+과/JC
대한장애인체육회가	대한장애인체육회/NNP+가/JKS
진상파악에	진상파악/NNG+에/JKB
나섰다	나서/VV+었/EP+다/EF

지	지/NNP
씨는	씨/NNB+는/JX
김	김/NNP
감독으로부터	감독/NNG+으로부터/JKB
지난	지나/VV+ㄴ/ETM
2010년부터	2010/SN+년/NNB+부터/JX
최근까지	최근/NNG+까지/JX
눈으로	눈/NNG+으로/JKB
보이지	보이/VV+지/EC
않는	않/VX+는/ETM
곳을	곳/NNG+을/JKO
상습적으로	상습적/NNG+으로/JKB
폭행	폭행/NNG
당해왔고,	당하/VV+여/EC+오/VX+았/EP+고/EC+,/SP
런던장애인올림픽에서도	런던/NNP+장애인올림픽/NNG+에서/JKB+도/JX
술에	술/NNG+에/JKB
취한	취하/VV+ㄴ/ETM
김	김/NNP
감독에게	감독/NNG+에게/JKB
주먹과	주먹/NNG+과/JC
발,	발/NNG+,/SP
무릎	무릎/NNG
등으로	등/NNB+으로/JKB
머리를	머리/NNG+를/JKO
수차례	수차례/NNG
맞았다고	맞/VV+았/EP+다고/EC
주장하고	주장하/VV+고/EC
있다	있/VX+다/EC

또한	또한/MAG
2010~2011년	2010/SN+~/SO+2011/SN+년/NNB
세계선수권대회	세계선수권대회/NNG
출전	출전/NNG
당시	당시/NNG
모	모/MM
학교	학교/NNG
이사장의	이사장/NNG+의/JKG
비행기	비행기/NNG
값	값/NNG
명목으로	명목/NNG+으로/JKB
150만원을	150/SN+만/NR+원/NNB+을/JKO
갈취	갈취/NNG
당하기도	당하/VV+기/ETN+도/JX
했다고	하/VX+였/EP+다고/EC
밝히고	밝히/VV+고/EC
있다	있/VX+다/EC

지	지/NNP
씨는	씨/NNB+는/JX
“심리적으로	“/SN+심리적/NNG+으로/JKB
마음이	마음/NNG+이/JKS
편안해도	편안하/VA+여도/EC
실력을	실력/NNG+을/JKO
제대로	제대로/MAG
발휘할	발휘하/VV+ㄹ/ETM
수	수/NNB
있을까	있/VA+을까/EC
인데	인데/NNP
김	김/NNP
감독의	감독/NNG+의/JKG
폭행	폭행/NNG
등으로	등/NNB+으로/JKB
올림픽에서	올림픽/NNG+에서/JKB
제대로	제대로/MAG
된	되/VV+ㄴ/ETM
실력을	실력/NNG+을/JKO
발휘할	발휘하/VV+ㄹ/ETM
수	수/NNB
없었다”면서	없/VA+었/EP+다/EC+”/VV+면서/EC
“지난해	“/SL+지난해/NNG
11월부터	11/SN+월/NNB+부터/JX
올해	올해/NNG
8월까지는	8/SN+월/NNB+까지는/JX
불분명한	불분명하/VA+ㄴ/ETM
명목으로	명목/NNG+으로/JKB
월	월/NNG
60만원을	60/SN+만/NR+원/NNB+을/JKO
내라고	내/VV+라고/EC
요구해	요구하/VV+여/EC
개인	개인/NNG
통장으로	통장/NNG+으로/JKB
정기적으로	정기적/NNG+으로/JKB
입금해왔다”고	입금하/VV+여/EC+오/VX+았/EP+다/EC+”/SN+고/EC
주장했다	주장하/VV+였/EP+다/EC

지	지/NNP
씨는	씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
17일	17/SN+일/NNB
인천지방검찰청에	인천/NNP+지방검찰청/NNG+에/JKB
김	김/NNP
감독을	감독/NNG+을/JKO
폭행과	폭행/NNG+과/JC
금품갈취	금품갈취/NNG
등으로	등/NNB+으로/JKB
고발한	고발하/VV+ㄴ/ETM
상태다	상태/NNG+이/VCP+다/EC

이	이/NP
같은	같/VA+은/ETM
주장들에	주장/NNG+들/XSN+에/JKB
대해	대하/VV+여/EC
김	김/NNP
감독은	감독/NNG+은/JX
검찰이	검찰/NNG+이/JKS
수사	수사/NNG
중이라며	중/NNB+이/VCP+라며/EC
말을	말/NNG+을/JKO
아끼면서도	아끼/VV+면서/EC+도/JX
“그	“/SN+그/MM
동안	동안/NNG
메달을	메달/NNG+을/JKO
따기	따/VV+기/ETN
위해	위하/VV+여/EC
다들	다/NNG+들/XSN
고생했는데,	고생하/VV+였/EP+는데/EC+,/SP
이	이/NP
같은	같/VA+은/ETM
일이	일/NNG+이/JKS
벌어져	벌어지/VV+어/EC
안타까운	안타깝/VA+ㄴ/ETM
마음	마음/NNG
뿐”이라며	뿐/JX+”/SN+이/VCP+라며/EC
“모쪼록	“/SL+모/VV+쪼록/EC
이번	이번/NNG
일이	일/NNG+이/JKS
잘	잘/MAG
해결되기를	해결되/VV+기/ETN+를/JKO
바라는	바라/VV+는/ETM
마음”이라고	마음”/NNG+이/VCP+라고/EC
밝혔다	밝히/VV+었/EP+다/EC

한편	한편/MAG
대한장애인체육회는	대한/NNP+장애인체육회/NNG+는/JX
문제가	문제/NNG+가/JKS
불거지자	불거지/VV+자/EC
진상조사	진상조사/NNG
파악에	파악/NNG+에/JKB
나섰다	나서/VV+었/EP+다/EF

체육회는	체육회/NNG+는/JX
지난	지나/VV+ㄴ/ETM
18일	18/SN+일/NNB
손진호	손진호/NNP
사무총장의	사무총장/NNG+의/JKG
주도로	주도/NNG+로/JKB
대책회의를	대책회의/NNG+를/JKO
갖고	갖/VV+고/EC
진상파악과	진상파악/NNG+과/JC
함께	함께/MAG
사실여부에	사실여부/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
후속	후속/NNG
조치를	조치/NNG+를/JKO
취하기로	취하/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

체육회는	체육회/NNG+는/JX
“가해자와	“/SN+가해자/NNG+와/JC
피해자의	피해자/NNG+의/JKG
진술조사에	진술조사/NNG+에/JKB
들어갈	들어가/VV+ㄹ/ETM
예정”이며	예정”/NNG+이/VCP+며/EC
“제기된	“/SL+제기되/VV+ㄴ/ETM
의혹이	의혹/NNG+이/JKS
사실로	사실/NNG+로/JKB
밝혀질	밝혀지/VV+ㄹ/ETM
경우	경우/NNG
체육회	체육회/NNG
차원의	차원/NNG+의/JKG
징계절차를	징계절차/NNG+를/JKO
밟을	밟/VV+을/ETM
예정”이라고	예정”/NNG+이/VCP+라고/EC
밝혔다	밝히/VV+었/EP+다/EC
