전국장애인체전	전/MM+국장애인체전/NNG
경기장	경기장/NNG
편의시설	편의시설/NNG
점검-②	점검/NNG+-/SO+②/NNG

‘제32회	‘/SN+제/XPN+32/SN+회/NNB
전국장애인체육대회(이하	전/MM+국장애인체육대회/NNG+(/SS+이하/NNG
장애인체전)’가	장애인체전/NNG+)/SS+’/SL+가/JKS
오는	오/VV+는/ETM
10월	10/SN+월/NNB
8일부터	8/SN+일/NNB+부터/JX
12일까지	12/SN+일/NNB+까지/JX
5일간	5/SN+일/NNB+간/XSN
고양시	고양시/NNP
종합운동장에서	종합운동장/NNG+에서/JKB
열리는	열리/VV+는/ETM
개회식을	개회식/NNG+을/JKO
시작으로	시작/NNG+으로/JKB
열전에	열전/NNG+에/JKB
들어간다	들어가/VV+ㄴ다/EC

‘다	‘/SN+다/MAG
함께,	함께/MAG+,/SP
굳세게,	굳세/VA+게/EC+,/SP
끝까지’라는	끝/NNG+까지’/JX+이/VCP+라는/ETM
슬로건	슬로건/NNG
아래,	아래/NNG+,/SP
경기도에서	경기도/NNP+에서/JKB
처음	처음/NNG
개최되는	개최되/VV+는/ETM
이번	이번/NNG
장애인체전은	장애인체전/NNG+은/JX
고양시를	고/XPN+양시/NNG+를/JKO
중심으로	중심/NNG+으로/JKB
경기도	경기도/NNP
11개	11/SN+개/NNB
시·군	시/NNG+·/SP+군/NNG
32개	32/SN+개/NNB
경기장에서	경기장/NNG+에서/JKB
진행된다	진행되/VV+ㄴ다/EC

16개	16/SN+개/NNB
시도에서	시도/NNG+에서/JKB
약	약/MM
7,000여명이	7,000/SN+여/XSN+명/NNB+이/JKS
참가해	참가하/VV+여/EC
골볼,	골볼/NNG+,/SP
보치아,	보치아/NNG+,/SP
펜싱,	펜싱/NNG+,/SP
농구,	농구/NNG+,/SP
유도,	유도/NNG+,/SP
사격,	사격/NNG+,/SP
수영	수영/NNG
등	등/NNB
총	총/MM
27개	27/SN+개/NNB
종목에서	종목/NNG+에서/JKB
‘아름다운	‘/SN+아름답/VA+ㄴ/ETM
도전’을	도전/NNG+’/SL+을/JKO
펼친다	펼치/VV+ㄴ다/EF

이에	이/NP+에/JKB
고양시는	고양시/NNP+는/JX
지난	지나/VV+ㄴ/ETM
19일부터	19/SN+일/NNB+부터/JX
21일까지	21/SN+일/NNB+까지/JX
장애인	장애인/NNG
선수	선수/NNG
등과	등/NNB+과/JKB
함께	함께/MAG
각	각/MM
종목별	종목별/NNG
경기가	경기/NNG+가/JKS
열리는	열리/VV+는/ETM
대회파크,	대회파크/NNG+,/SP
재활스포츠센터,	재활스포츠센터/NNG+,/SP
고양어울림누리체육관,	고양어울림누리체육관/NNP+,/SP
고양시	고양시/NNP
체육관	체육관/NNG
등의	등/NNB+의/JKG
편의시설을	편의시설/NNG+을/JKO
점검했다	점검하/VV+였/EP+다/EF

이는	이/NP+는/JX
대회	대회/NNG
시작에	시작/NNG+에/JKB
앞서	앞서/VV+어/EC
경기장	경기장/NNG
내	내/NNB
장애인편의에	장애인편의/NNG+에/JKB
만전을	만전/NNG+을/JKO
기해	기하/VV+여/EC
장애인의	장애인/NNG+의/JKG
불편을	불편/NNG+을/JKO
최소화하겠다는	최소화하/VV+겠/EP+다는/ETM
고양시의	고양시/NNP+의/JKG
의지다	의지/NNG+이/VCP+다/EF

에이블뉴스는	에이블뉴스/NNP+는/JX
지난	지나/VV+ㄴ/ETM
20일	20/SN+일/NNB
실시된	실시되/VV+ㄴ/ETM
고양어울림누리체육관,	고양어울림누리체육관/NNP+,/SP
고양시체육관,	고/XPN+양시체육관/NNG+,/SP
고양시종합운동장내	고/XPN+양시종합운동장/NNG+내/NNB
편의시설	편의시설/NNG
점검	점검/NNG
결과를	결과/NNG+를/JKO
집중보도한다	집중/NNG+보도하/VV+ㄴ다/EF

두	두/MM
번째	번째/NNB
점검	점검/NNG
시설인	시설/NNG+이/VCP+ㄴ/ETM
고양시체육관에서는	고/XPN+양시체육관/NNG+에서/JKB+는/JX
장애인	장애인/NNG
수영	수영/NNG
종목의	종목/NNG+의/JKG
경기가	경기/NNG+가/JKS
치러진다	치르/VV+어/EC+지/VX+ㄴ다/EC

점검에는	점검/NNG+에/JKB+는/JX
수영클럽	수영클럽/NNG
회장	회장/NNG
및	및/MAG
선수,	선수/NNG+,/SP
고양시장애인체육회	고양시장애인체육회/NNG
관계자	관계자/NNG
등이	등/NNB+이/JKS
참여했다	참여하/VV+였/EP+다/EF

먼저	먼저/MAG
주출입구(정문)	주출입구/NNG+(/SS+정문/NNG+)/SS
앞	앞/NNG
장애인전용주차장은	장애인전용주차장/NNG+은/JX
인도와	인도/NNG+와/JC
연계가	연계/NNG+가/JKC
돼	되/VV+어/EC
있지	있/VX+지/EC
않아	않/VX+아/EC
차도로	차도/NNG+로/JKB
통행해	통행하/VV+여/EC
들어가야	들어가/VV+아야/EC
한다	하/VX+ㄴ다/EF

더욱이	더욱이/MAG
차도와	차도/NNG+와/JC
주출입구	주출입구/NNG
인도	인도/NNP
사이에는	사이/NNG+에/JKB+는/JX
조그마한	조그마하/VA+ㄴ/ETM
턱이	턱/NNB+이/JKS
있어	있/VA+어/EC
수동휠체어가	수동휠체어/NNG+가/JKS
올라가기에	올라가/VV+기/ETN+에/JKB
어려움이	어려움/NNG+이/JKS
있다	있/VA+다/EF

주출입구	주출입구/NNG
앞에	앞/NNG+에/JKB
설치된	설치되/VV+ㄴ/ETM
차량진입	차량진입/NNG
방지	방지/NNG
대리석도	대리석/NNG+도/JX
문제다	문제/NNG+이/VCP+다/EF

시각장애인	시각장애인/NNG
부딪쳤을	부딪치/VV+었/EP+을/ETM
때	때/NNG
너무	너무/MAG
낮아	낮/VA+아/EC
넘어지고,	넘어지/VV+고/EC+,/SP
충격을	충격/NNG+을/JKO
흡수할	흡수하/VV+ㄹ/ETM
수	수/NNB
없어	없/VA+어/EC
다칠	다치/VV+ㄹ/ETM
위험이	위험/NNG+이/JKS
있기	있/VA+기/ETN
때문이다	때문/NNB+이/VCP+다/EC

주출입구	주출입구/NNG
옆	옆/NNG
2층으로	2/SN+층/NNG+으로/JKB
올라가는	올라가/VV+는/ETM
계단에는	계단/NNG+에/JKB+는/JX
시각장애인을	시각장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
점자블록과	점자블록/NNG+과/JC
손잡이가	손잡이/NNG+가/JKS
설치돼	설치되/VV+어/EC
있지	있/VX+지/EC
않았다	않/VX+았/EP+다/EF

고양시체육관에	고양시체육관/NNG+에/JKB
설치된	설치되/VV+ㄴ/ETM
장애인화장실도	장애인화장실/NNG+도/JX
개선이	개선/NNG+이/JKS
필요해	필요하/VA+여/EC
보였다	보이/VV+었/EP+다/EF

이곳에는	이곳/NP+에/JKB+는/JX
총	총/MM
10곳의	10/SN+곳/NNG+의/JKG
장애인화장실이	장애인화장실/NNG+이/JKS
설치돼	설치되/VV+어/EC
있다	있/VX+다/EF

1층	1/SN+층/NNG
주출입구에는	주출입구/NNG+에/JKB+는/JX
비장애인화장실	비장애인화장실/NNG
안에	안/NNG+에/JKB
남녀장애인화장실,	남녀장애인화장실/NNG+,/SP
부출입구(후문)와	부출입구/NNG+(/SS+후문/NNG+)/SS+와/JC
수영장	수영장/NNG
관람석에는	관람석/NNG+에/JKB+는/JX
남녀장애인화장실이	남녀장애인화장실/NNG+이/JKS
각각	각각/MAG
따로	따로/MAG
마련돼	마련되/VV+어/EC
있다	있/VX+다/EF

게이트	게이트/NNG
1번과	1/SN+번/NNB+과/JKB
6번에는	6/SN+번/NNB+에/JKB+는/JX
각각	각각/MAG
남자장애인화장실,	남자장애인화장실/NNG+,/SP
5번과	5/SN+번/NNB+과/JC
10번에는	10/SN+번/NNB+에/JKB+는/JX
각각	각각/MAG
여자장애인화장실이	여자장애인화장실/NNG+이/JKS
설치돼	설치되/VV+어/EC
있다	있/VX+다/EF

주출입구의	주출입구/NNG+의/JKG
남녀	남녀/NNG
장애인화장실의	장애인화장실/NNG+의/JKG
출입문은	출입문/NNG+은/JX
여닫이문으로	여닫이문/NNG+으로/JKB
휠체어	휠체어/NNG
장애인이	장애인/NNG+이/JKS
출입하기	출입하/VV+기/ETN
힘들었고,	힘들/VA+었/EP+고/EC+,/SP
이외에는	이외/NNG+에/JKB+는/JX
터치식자동문으로	터치식자동문/NNG+으로/JKB
출입하기	출입하/VV+기/ETN
편했다	편하/VA+었/EP+다/EC

또한	또한/MAG
출입구	출입구/NNG
벽면에	벽면/NNG+에/JKB
시각장애인에게	시각장애인/NNG+에게/JKB
성별을	성별/NNG+을/JKO
알려주는	알리/VV+어/EC+주/VX+는/ETM
점자표지판과	점자표지판/NNG+과/JC
그	그/MM
밑에	밑/NNG+에/JKB
점자블록이	점자블록이/MAG
설치돼	설치되/VV+어/EC
있는데,	있/VX+는데/EC+,/SP
없애는	없애/VV+는/ETM
것이	것/NNB+이/JKS
좋다	좋/VA+다/EC

내부는	내부/NNG+는/JX
모두	모두/MAG
공통적으로	공통적/NNG+으로/JKB
용변기의	용변/NNG+기/XSN+의/JKG
높이가	높이/NNG+가/JKS
너무	너무/MAG
낮아	낮/VA+아/EC
휠체어	휠체어/NNG
장애인이	장애인/NNG+이/JKS
옮겨	옮기/VV+어/EC
앉기가	앉/VV+기/ETN+가/JKS
