사회인	사회/NNG+이/VCP+ㄴ/ETM
'첫발'…국가대표	'/SS+첫발/NNG+'/SS+…/SE+국가대표/NNG
장애인	장애인/NNG
수영선수	수영선수/NNG
김진호	김진호/NNP

(부산=연합뉴스)	(/SS+부산/NNP+=/SW+연합뉴스/NNP+)/SS
차근호	차근호/NNP
기자	기자/NNG
=	=/SW
지적장애인	지적장애/NNG+이/VCP+ㄴ/ETM
수영	수영/NNG
국가대표였던	국가대표/NNG+이/VCP+었/EP+던/ETM
김진호(26)	김진호/NNP+(/SS+26/SN+)/SS
선수가	선수/NNG+가/JKS
평범한	평범하/VA+ㄴ/ETM
사회인으로	사회인/NNG+으로/JKB
제2의	제/XPN+2/SN+의/JKG
인생을	인생/NNG+을/JKO
시작했다	시작하/VV+였/EP+다/EF

진호	진호/NNP
씨는	씨/NNB+는/JX
어머니	어머니/NNG
우현경(52)	우현경/NNP+(/SS+52/SN+)/SS
씨의	씨/NNB+의/JKG
도움을	도움/NNG+을/JKO
받아	받/VV+아/EC
부산	부산/NNP
중구	중구/NNG
남포동에	남포동/NNP+에/JKB
'카페	'/SS+카페/NNG
브리지'라는	브리지/NNG+'/SS+이/VCP+라는/ETM
카페를	카페/NNG+를/JKO
차렸다	차리/VV+었/EP+다/EC

진호	진호/NNP
씨는	씨/NNB+는/JX
'카페	'/SS+카페/NNG
브리지'의	브리지/NNG+'/SS+의/JKG
어엿한	어엿하/VA+ㄴ/ETM
'사장님'이다	'/SS+사장/NNG+님/XSN+'/SS+이/VCP+다/EC

개업한	개업하/VV+ㄴ/ETM
지	지/NNB
아직	아직/MAG
1주일도	1/SN+주일/NNB+도/JX
되지	되/VV+지/EC
않았지만,	않/VX+았/EP+지만/EC+,/SP
인사성	인사성/NNG
밝은	밝/VA+은/ETM
진호	진호/NNP
씨	씨/NNB
덕분에	덕분/NNG+에/JKB
서서히	서서히/MAG
입소문을	입소문/NNG+을/JKO
타고	타/VV+고/EC
있다	있/VX+다/EC

진호	진호/NNP
씨는	씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
8월6일	8/SN+월/NNB+6/SN+일/NNB
화려했던	화려하/VA+었/EP+던/ETM
선수생활을	선수생활/NNG+을/JKO
마감했다	마감하/VV+였/EP+다/EC

