한국,	한국/NNP+,/SP
장애인올림픽	장애인올림픽/NNG
종합	종합/NNG
12위	12/SN+위/NNB
기록	기록/NNG

종합	종합/NNG
13위	13/SN+위/NNB
목표로	목표/NNG+로/JKB
2012런던장애인올림픽에	2012/SN+런던/NNP+장애인올림픽/NNG+에/JKB
출전한	출전하/VV+ㄴ/ETM
우리나라가	우리나라/NNG+가/JKS
지난	지나/VV+ㄴ/ETM
베이징장애인올림픽	베이징/NNP+장애인올림픽/NNG
때보다	때/NNG+보다/JKB
한	한/MM
단계	단계/NNG
상승한	상승하/VV+ㄴ/ETM
종합	종합/NNG
12위로	12/SN+위/NNB+로/JKB
대회를	대회/NNG+를/JKO
마무리했다	마무리하/VV+였/EP+다/EC

당초	당초/NNG
기대했던	기대하/VV+였/EP+던/ETM
메달	메달/NNG
목표치인	목표치/NNG+이/VCP+ㄴ/ETM
금	금/NNG
11개,	11/SN+개/NNB+,/SP
은	은/NNG
10개,	10/SN+개/NNB+,/SP
동	동/NNG
13개에는	13/SN+개/NNB+에/JKB+는/JX
미치지	미치/VV+지/EC
못하는	못하/VX+는/ETM
금	금/NNG
9개,	9/SN+개/NNB+,/SP
은	은/NNG
9개,	9/SN+개/NNB+,/SP
동	동/NNG
9개를	9/SN+개/NNB+를/JKO
기록하며	기록하/VV+며/EC
절반의	절반/NNG+의/JKG
성공을	성공/NNG+을/JKO
거뒀다	거두/VV+었/EP+다/EC

우리나라는	우리나라/NNG+는/JX
이번	이번/NNG
대회에	대회/NNG+에/JKB
총	총/MM
20개	20/SN+개/NNB
종목	종목/NNG
중	중/NNB
13개	13/SN+개/NNB
종목에	종목/NNG+에/JKB
출전했다	출전하/VV+였/EP+다/EC

당초	당초/NNG
사격,	사격/NNG+,/SP
탁구,	탁구/NNG+,/SP
보치아,	보치/NNG+아/JKV+,/SP
등	등/NNB
효자종목을	효자종목/NNG+을/JKO
필두로	필두/NNG+로/JKB
메달	메달/NNG
사냥에	사냥/NNG+에/JKB
나섰지만	나서/VV+었/EP+지만/EC
노메달에	노메달/NNG+에/JKB
그치는	그치/VV+는/ETM
날도	날/NNG+도/JX
발생,	발생/NNG+,/SP
종합	종합/NNG
13위	13/SN+위/NNB
기록에	기록/NNG+에/JKB
짙은	짙/VA+은/ETM
먹구름이	먹구름/NNG+이/JKS
드리우는	드리우/VV+는/ETM
듯	듯/NNB
했다	하/VV+였/EP+다/EC

대회	대회/NNG
첫	첫/MM
금을	금/NNG+을/JKO
안기며	안기/VV+며/EC
선전을	선전/NNG+을/JKO
펼친	펼치/VV+ㄴ/ETM
사격은	사격/NNG+은/JX
금	금/NNG
3개,	3/SN+개/NNB+,/SP
동	동/NNG
1개로	1/SN+개/NNB+로/JKB
소기의	소기/NNG+의/JKG
성과를	성과/NNG+를/JKO
거뒀다	거두/VV+었/EP+다/EC

우리나라	우리나라/NNG
첫	첫/MM
금의	금/NNG+의/JKG
주인공인	주인공/NNG+이/VCP+ㄴ/ETM
사격의	사격/NNG+의/JKG
박세균	박세균/NNP
선수는	선수/NNG+는/JX
P1공기권총(남자),	P/SL+1/SN+공기권총/NNG+(/SS+남자/NNP+)/SS+,/SP
P4	P/SL+4/SN
50m권총	50/SN+m/SL+권총/NNG
(혼성)대회에서	(/SS+혼성/NNG+)/SS+대회/NNG+에서/JKB
금	금/NNG
2개를	2/SN+개/NNB+를/JKO
목에	목/NNG+에/JKB
걸며	걸/VV+며/EC
2관왕의	2/SN+관왕/NNG+의/JKG
영광을	영광/NNG+을/JKO
누렸다	누리/VV+었/EP+다/EC

오랜	오랜/MM
공백을	공백/NNG+을/JKO
깨고	깨/VV+고/EC
부활의	부활/NNG+의/JKG
날개를	날개/NNG+를/JKO
핀	피/VV+ㄴ/ETM
강주영	강주영/NNP
선수는	선수/NNG+는/JX
R4공기소총	R/SL+4/SN+공기소총/NNG
입사(혼성)에서	입사/NNG+(/SS+혼성/NNG+)/SS+에서/JKB
705	705/SN

5점으로	5/SN+점/NNB+으로/JKB
장애인올림픽	장애인올림픽/NNG
신기록을	신기록/NNG+을/JKO
세우며	세우/VV+며/EC
정점에	정점/NNG+에/JKB
올랐다	오르/VV+았/EP+다/EC

이주희	이주희/NNP
선수도	선수/NNG+도/JX
P1공기권총(남자)에서	P/SL+1/SN+공기권총/NNG+(/SS+남자/NNP+)/SS+에서/JKB
동을	동/NNG+을/JKO
안기며	안기/VV+며/EC
장애인올림픽	장애인올림픽/NNG
효자종목의	효자종목/NNG+의/JKG
자리를	자리/NNG+를/JKO
지켰다	지키/VV+었/EP+다/EC

반면	반면/NNG
비공인	비공인/NNG
세계신기록을	세계신기록/NNG+을/JKO
수립하며	수립하/VV+며/EC
절정의	절정/NNG+의/JKG
기량을	기량/NNG+을/JKO
뽐내고도	뽐내/VV+고도/EC
메달	메달/NNG
획득에	획득/NNG+에/JKB
실패한	실패하/VV+ㄴ/ETM
이윤리,	이윤리/NNP+,/SP
박진호,	박진호/NNP+,/SP
이지석	이지석/NNP
선수	선수/NNG
등은	등/NNB+은/JX
다음대회를	다음대회/NNG+를/JKO
기약해야	기약하/VV+여야/EC
했다	하/VX+였/EP+다/EC

탁구는	탁구/NNG+는/JX
금	금/NNG
1,	1/SN+,/SP
은	은/NNG
4,	4/SN+,/SP
동	동/NNG
4개를	4/SN+개/NNB+를/JKO
기록하며	기록하/VV+며/EC
선전했다	선전하/VV+였/EP+다/EF

베이징장애인올림픽에서	베이/NNP+징장애인올림픽/NNG+에서/JKB
실패를	실패/NNG+를/JKO
맛본	맛보/VV+ㄴ/ETM
김영건	김영건/NNP
선수가	선수/NNG+가/JKS
남자	남자/NNG
개인전	개인전/NNG
TT-4에서	TT/SL+-/SO+4/SN+에서/JKB
‘금빛	‘/SN+금빛/NNG
스매싱’에	스매싱’/NNG+에/JKB
성공했다	성공하/VV+였/EP+다/EC

각	각/MM
세부종목	세부종목/NNG
남녀	남녀/NNG
단체	단체/NNG
및	및/MAG
개인전에서	개인전/NNG+에서/JKB
은과	은/NNG+과/JKB
동메달을	동메달/NNG+을/JKO
획득하며	획득하/VV+며/EC
그	그/MM
동안	동안/NNG
갈고	갈/VV+고/EC
닦은	닦/VV+은/ETM
기량을	기량/NNG+을/JKO
선보였다	선보이/VV+었/EP+다/EF

세계	세계/NNG
수준의	수준/NNG+의/JKG
보치아도	보치아/NNG+도/JX
제몫을	제몫/NNG+을/JKO
다했다	다하/VV+었/EP+다/EC

우리나라는	우리나라/NNG+는/JX
BC3	BC/SL+3/SN
개인전에	개인전/NNG+에/JKB
출전한	출전하/VV+ㄴ/ETM
3명의	3/SN+명/NNB+의/JKG
선수가	선수/NNG+가/JKS
모두	모두/MAG
준결승에	준결승/NNG+에/JKB
오르는	오르/VV+는/ETM
기염을	기염/NNG+을/JKO
토했고	토하/VV+였/EP+고/EC
한국	한국/NNP
선수끼리	선수/NNG+끼리/XSN
맞붙은	맞붙/VV+은/ETM
결승전에서는	결승전/NNG+에서/JKB+는/JX
최예진이	최예진/NNP+이/JKS
세계랭킹	세계랭킹/NNG
1위	1/SN+위/NNB
정호원을	정호원/NNP+을/JKO
꺾고	꺾/VV+고/EC
여자선수로는	여자선수/NNG+로/JKB+는/JX
최초의	최초/NNG+의/JKG
금메달을	금메달/NNG+을/JKO
획득하는	획득하/VV+는/ETM
기록을	기록/NNG+을/JKO
세웠다	세우/VV+었/EP+다/EC

BC2	BC/SL+2/SN
개인전에	개인전/NNG+에/JKB
정소영	정소영/NNP
선수도	선수/NNG+도/JX
동메달	동메달/NNG
결정전에서	결정/NNG+전/XSN+에서/JKB
중국선수를	중국/NNP+선수/NNG+를/JKO
꺾고	꺾/VV+고/EC
소중한	소중하/VA+ㄴ/ETM
동메달을	동메달/NNG+을/JKO
목에	목/NNG+에/JKB
걸었다	걷/VV+었/EP+다/EF

하지만	하지만/MAJ
금메달을	금메달/NNG+을/JKO
기대했던	기대하/VV+였/EP+던/ETM
BC1-2	BC/SL+1/SN+-/SO+2/SN
단체전	단체전/NNG
8강에서	8/SN+강/NNG+에서/JKB
타이브레이크에서	타이브레이크/NNG+에서/JKB
진	지/VV+ㄴ/ETM
것이	것/NNB+이/JKS
뼈아팠다	뼈아프/VA+았/EP+다/EF

단체	단체/NNG
랭킹	랭킹/NNG
1위였던	1/SN+위/NNB+이/VCP+었/EP+던/ETM
BC1-2	BC/SL+1/SN+-/SO+2/SN
팀은	팀/NNG+은/JX
8강전에서	8/SN+강/NNG+전/XSN+에서/JKB
초중반	초중반/NNG
6대	6/SN+대/NNB
2까지	2/SN+까지/JX
앞서갔지만,	앞서가/VV+았/EP+지만/EC+,/SP
후반	후반/NNG
동점을	동점/NNG+을/JKO
허용한데	허용하/VV+ㄴ/ETM+데/NNB
이어	잇/VV+어/EC
타이브레이크에서	타이브레이크/NNG+에서/JKB
져	지/VV+어/EC
다음대회를	다음대회/NNG+를/JKO
기약해야	기약하/VV+여야/EC
했다	하/VX+였/EP+다/EC

양궁	양궁/NNG
역시	역시/MAG
남녀	남녀/NNG
단체팀이	단체팀/NNG+이/JKS
결승에	결승/NNG+에/JKB
오르며	오르/VV+며/EC
세계	세계/NNG
최고	최고/NNG
수준의	수준/NNG+의/JKG
기량을	기량/NNG+을/JKO
선보였다	선보이/VV+었/EP+다/EF

리커브	리커브/NNP
여자단체전	여자단체전/NNG
결승에	결승/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
‘숙자매’는	‘/SL+숙자매/NNG+’/SL+는/JX
명성에	명성/NNG+에/JKB
걸	걷/VV
맞는	맞/VV+는/ETM
활약으로	활약/NNG+으로/JKB
금메달을	금메달/NNG+을/JKO
명중시켰고	명중/NNG+시키/XSV+었/EP+고/EC
남자단체	남자단체/NNG
대표팀도	대표팀/NNG+도/JX
은메달을	은메달/NNG+을/JKO
획득하며	획득하/VV+며/EC
소기의	소기/NNG+의/JKG
성과를	성과/NNG+를/JKO
거뒀다	거두/VV+었/EP+다/EC

앞서	앞서/MAG
여자	여자/NNG
개인전(리커브	개인전/NNG+(/SS+리커브/NNG
개인전(스탠딩)	개인전/NNG+(/SS+스탠딩/NNG+)/SS
결승)에	결승/NNG+)/SS+에/JKB
출전한	출전하/VV+ㄴ/ETM
이화숙은	이화숙/NNP+은/JX
은메달을	은메달/NNG+을/JKO
획득하며	획득하/VV+며/EC
베이징에	베이징/NNP+에/JKB
이어	잇/VV+어/EC
대회	대회/NNG
연속	연속/NNG
메달을	메달/NNG+을/JKO
획득하는	획득하/VV+는/ETM
기염을	기염/NNG+을/JKO
토했다	토하/VV+였/EP+다/EF

수영의	수영/NNG+의/JKG
눈부신	눈부시/VA+ㄴ/ETM
도약은	도약/NNG+은/JX
차기	차기/NNG
효자종목으로	효자종목/NNG+으로/JKB
손색이	손색/NNG+이/JKS
없었다	없/VA+었/EP+다/EF

수영	수영/NNG
첫	첫/MM
금을	금/NNG+을/JKO
노렸던	노리/VV+었/EP+던/ETM
이인국	이인국/NNP
선수가	선수/NNG+가/JKS
퍼스트	퍼스트/NNG
룸	룸/NNG
‘3분	‘/SL+3/SN+분/NNB
지각’으로	지각’/NNG+으로/JKB
실격	실격/NNG
당하며	당하/VV+며/EC
우리나라	우리나라/NNG
선수단	선수단/NNG
분위기가	분위기/NNG+가/JKS
어두워지는	어둡/VA+어/EC+지/VX+는/ETM
듯	듯/NNB
했지만	하/VV+였/EP+지만/EC
조원상이	조원상/NNP+이/JKS
자유형	자유/NNG+형/XSN
200m	200/SN+m/SL
결선(S14)에서	결선/NNG+(/SS+S/SL+14/SN+)/SS+에서/JKB
1분59초93으로	1/SN+분/XSN+59/SN+초/NNB+93/SN+으로/JKB
아시아신기록을	아시아/NNP+신기록/NNG+을/JKO
세우며	세우/VV+며/EC
동메달을	동메달/NNG+을/JKO
목에	목/NNG+에/JKB
걸었다	걷/VV+었/EP+다/EF

임우근도	임우근/NNP+도/JX
남자	남자/NNG
평형	평/NNG+형/XSN
100m	100/SN+m/SL
SB5에서	SB/SL+5/SN+에서/JKB
1분34초94으로	1/SN+분/NNB+34/SN+초/NNB+94/SN+으로/JKB
아시아신기록을	아시아/NNP+신기록/NNG+을/JKO
기록하며	기록하/VV+며/EC
금메달을	금메달/NNG+을/JKO
목에	목/NNG+에/JKB
걸었고,	걷/VV+었/EP+고/EC+,/SP
이어	이어/MAG
민병언도	민병언/NNG+도/JX
배영50m	배영/NNG+50/SN+m/SL
결선에서	결선/NNG+에서/JKB
금메달을	금메달/NNG+을/JKO
차지하며	차지하/VV+며/EC
사상	사상/NNG
최고의	최고/NNG+의/JKG
성적을	성적/NNG+을/JKO
거뒀다	거두/VV+었/EP+다/EC

유도에서는	유도/NNG+에서/JKB+는/JX
장애인올림픽	장애인올림픽/NNG
12년	12/SN+년/NNB
만에	만/NNB+에/JKB
금빛	금빛/NNG
매치기가	매치/VV+기/ETN+가/JKS
작렬하면서	작렬하/VV+면서/EC
통한이	통한/NNG+이/JKS
한을	한/NNG+을/JKO
풀었다	풀/VV+었/EP+다/EC

남자	남자/NNG
-100kg	-/SO+100/SN+kg/SL
급에	급/NNG+에/JKB
출전한	출전하/VV+ㄴ/ETM
최광근은	최광근/NNP+은/JX
결승에서	결승/NNG+에서/JKB
미국의	미국/NNP+의/JKG
마일스	마일스/NNP
포터를	포터/NNG+를/JKO
맞아	맞/VV+아/EC
바깥다리(허리후리기)	바깥다리/NNG+(/SS+허리후리기/NNG+)/SS
기술로	기술/NNG+로/JKB
한판승을	한판승/NNG+을/JKO
거두면서	거두/VV+면서/EC
12년	12/SN+년/NNB
만에	만/NNB+에/JKB
금메달을	금메달/NNG+을/JKO
획득하는	획득하/VV+는/ETM
영광을	영광/NNG+을/JKO
누렸다	누리/VV+었/EP+다/EC

육상에서는	육상/NNG+에서/JKB+는/JX
누구보다도	누구/NP+보다/JKB+도/JX
전민재	전/MM+민재/NNG
선수의	선수/NNG+의/JKG
활약이	활약/NNG+이/JKS
눈부셨다	눈부시/VA+었/EP+다/EC

여자	여자/NNG
200m	200/SN+m/SL
T36에서	T/SL+36/SN+에서/JKB
은메달을	은메달/NNG+을/JKO
획득,	획득/NNG+,/SP
육상	육상/NNG
첫	첫/MM
메달을	메달/NNG+을/JKO
따낸	따/VV+아/EC+내/VX+ㄴ/ETM
전민재는	전민재/NNG+는/JX
여자	여자/NNG
100m	100/SN+m/SL
T36에서도	T/SL+36/SN+에서/JKB+도/JX
은메달을	은메달/NNG+을/JKO
추가	추가/NNG
기대이상의	기대이상/NNG+의/JKG
성적을	성적/NNG+을/JKO
거둬	거두/VV+어/EC
향후	향후/NNG
있을	있/VA+을/ETM
국제대회에	국제대회/NNG+에/JKB
큰	크/VA+ㄴ/ETM
기대감을	기대감/NNG+을/JKO
갖게	갖/VV+게/EC
만들었다	만들/VV+었/EP+다/EC

김규대	김규대/NNP
선수도	선수/NNG+도/JX
육상	육상/NNG
남자	남자/NNG
T54	T/SL+54/SN
1500ｍ	1500/SN+ｍ/SL
결승에서	결승/NNG+에서/JKB
3분12초57로	3/SN+분/XSN+12/SN+초/NNB+57/SN+로/JKB
결승점을	결승점/NNG+을/JKO
통과하며	통과하/VV+며/EC
동메달을	동메달/NNG+을/JKO
목에	목/NNG+에/JKB
걸었다	걷/VV+었/EP+다/EF

역도	역도/NNG
100kg급	100/SN+kg/SL+급/NNG
이상	이상/NNG
급에	급/NNG+에/JKB
출전한	출전하/VV+ㄴ/ETM
전근배는	전근배/NNP+는/JX
동메달을	동메달/NNG+을/JKO
획득하며	획득하/VV+며/EC
대한민국	대한민국/NNP
역도의	역도/NNG+의/JKG
자존심을	자존심/NNG+을/JKO
지켜냈다	지켜내/VV+었/EP+다/EF

전근배의	전근배/NNG+의/JKG
활약으로	활약/NNG+으로/JKB
1984년부터	1984/SN+년/NNB+부터/JX
8회	8/SN+회/NNB
연속	연속/NNG
장애인올림픽	장애인올림픽/NNG
메달	메달/NNG
획득을	획득/NNG+을/JKO
이어갈	잇/VV+어/EC+가/VX+ㄹ/ETM
수	수/NNB
있었다	있/VA+었/EP+다/EF

반면	반면/NNG
조정,	조정/NNG+,/SP
휠체어테니스,	휠체어테니스/NNG+,/SP
휠체어	휠체어/NNG
펜싱,	펜싱/NNG+,/SP
사이클,	사이클/NNG+,/SP
골볼에서는	골볼/NNP+에서/JKB+는/JX
노메달에	노메달/NNG+에/JKB
그쳤다	그치/VV+었/EP+다/EC

하지만	하지만/MAJ
대회	대회/NNG
출전	출전/NNG
선수들은	선수/NNG+들/XSN+은/JX
이번	이번/NNG
장애인올림픽을	장애인올림픽/NNG+을/JKO
통해	통하/VV+여/EC
세계적인	세계적/NNG+이/VCP+ㄴ/ETM
수준의	수준/NNG+의/JKG
선수와	선수/NNG+와/JKB
맞붙으며	맞붙/VV+으며/EC
차기대회에	차기대회/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
충분한	충분하/VA+ㄴ/ETM
자신감을	자신감/NNG+을/JKO
얻었다	얻/VV+었/EP+다/EC
