-패럴림픽-	-/SO+패럴림픽/NNG+-/SO
박세균	박세균/NNP
50ｍ	50/SN+ｍ/SL
권총	권총/NNG
金…사격	金/SL+…/SE+사격/NNG
2관왕	2/SN+관왕/NNG

(런던=연합뉴스)	(/SS+런던/NNP+=/SW+연합뉴스/NNP+)/SS
전명훈	전명훈/NNP
기자	기자/NNG
=	=/SW
한국	한국/NNP
장애인	장애인/NNG
사격의	사격/NNG+의/JKG
간판	간판/NNG
박세균(41)이	박세균/NNP+(/SS+41/SN+)/SS+이/JKS
2012	2012/SN
런던	런던/NNP
패럴림픽에서	패럴림픽/NNG+에서/JKB
남자	남자/NNG
권총	권총/NNG
50ｍ	50/SN+ｍ/SL
우승으로	우승/NNG+으로/JKB
2관왕을	2/SN+관왕/NNG+을/JKO
차지했다	차지하/VV+었/EP+다/EC

박세균은	박세균/NNP+은/JX
6일(현지시간)	6/SN+일/NNB+(/SS+현지시간/NNG+)/SS
오후	오후/NNG
영국	영국/NNP
런던	런던/NNP
왕립	왕립/NNG
포병대	포병대/NNG
사격장에서	사격장/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
대회	대회/NNG
8일째	8/SN+일/NNB+째/XSN
사격	사격/NNG
혼성	혼성/NNG
권총	권총/NNG
50ｍ	50/SN+ｍ/SL
SH1(절단	SH/SL+1/SN+(/SS+절단/NNG
및	및/MAG
기타장애)	기타장애/NNG+)/SS
결승에서	결승/NNG+에서/JKB
92	92/SN

4점을	4/SN+점/NNB+을/JKO
쏴	쏘/VV+아/EC
본선	본선/NNG
점수	점수/NNG
550점과	550/SN+점/NNB+과/JKB
합계	합계/NNG
642	642/SN

4점으로	4/SN+점/NNB+으로/JKB
금메달을	금메달/NNG+을/JKO
목에	목/NNG+에/JKB
걸었다	걷/VV+었/EP+다/EF

발레리	발레리/NNP
포노마렌코(러시아·633	포노마렌코/NNP+(/SS+러시아/NNP+·/SP+633/SN

2점)가	2/SN+점/NNB+)/SS+가/JKS
은메달을	은메달/NNG+을/JKO
땄고	따/VV+았/EP+고/EC
동메달은	동메달/NNG+은/JX
625	625/SN

3점을	3/SN+점/NNB+을/JKO
쏜	쏘/VV+ㄴ/ETM
니허동(중국)에게	니허동/NNP+(/SS+중국/NNP+)/SS+에게/JKB
돌아갔다	돌아가/VV+았/EP+다/EF

앞서	앞서/MAG
지난달	지난달/NNG
30일	30/SN+일/NNB
남자	남자/NNG
10ｍ	10/SN+ｍ/SL
공기권총	공기권총/NNG
종목에서	종목/NNG+에서/JKB
우승해	우승하/VV+여/EC
런던	런던/NNP
패럴림픽	패럴림픽/NNG
한국	한국/NNP
선수단에	선수단/NNG+에/JKB
첫	첫/MM
번째	번째/NNB
금메달을	금메달/NNG+을/JKO
안긴	안기/VV+ㄴ/ETM
박세균은	박세균/NNP+은/JX
이날	이날/NNG
우승으로	우승/NNG+으로/JKB
우리	우리/NP
선수단	선수단/NNG
중	중/NNB
처음으로	처음/NNG+으로/JKB
2관왕에	2/SN+관왕/NNG+에/JKB
올랐다	오르/VV+았/EP+다/EC

그는	그/NP+는/JX
패럴림픽	패럴림픽/NNG
남자	남자/NNG
사격	사격/NNG
선수로는	선수/NNG+로/JKB+는/JX
