서울시,	서울시/NNP+,/SP
'장애인탁구	'/SS+장애인탁구/NNG
실업팀'	실업팀/NNG+'/SS
창단	창단/NNG

서울시의	서울시/NNP+의/JKG
두	두/MM
번째	번째/NNB
장애인실업팀이	장애인실업팀/NNG+이/JKS
탄생했다	탄생하/VV+였/EP+다/EF

서울시장애인체육회(회장	서울/NNP+시장애인체육/NNG+회/XSN+(/SS+회장/NNG
박원순)는	박원순/NNP+)/SS+는/JX
오는	오/VV+는/ETM
5일	5/SN+일/NNB
서울	서울/NNP
올림픽파크텔에서	올림픽파크텔/NNP+에서/JKB
서울시	서울시/NNP
장애인	장애인/NNG
탁구	탁구/NNG
실업팀이	실업팀/NNG+이/JKS
창단식을	창단/NNG+식/XSN+을/JKO
갖고	갖/VV+고/EC
본격적인	본격적/NNG+이/VCP+ㄴ/ETM
활동을	활동/NNG+을/JKO
시작한다고	시작하/VV+ㄴ다고/EC
4일	4/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

서울시는	서울시/NNP+는/JX
7월	7/SN+월/NNB
1일부로	1/SN+일/NNB+부/XSN+로/JKB
박재형	박재형/NNP
감독,	감독/NNG+,/SP
최현자,	최현자/NNP+,/SP
정지남,	정지남/NNP+,/SP
정영아,	정영아/NNP+,/SP
김옥	김옥/NNP
선수	선수/NNG
등	등/NNB
총	총/MM
5명으로	5/SN+명/NNB+으로/JKB
구성된	구성되/VV+ㄴ/ETM
‘서울시	‘/SL+서울시/NNP
장애인	장애인/NNG
직장운동경기부	직장운동경기부/NNG
탁구팀’을	탁구팀/NNG+’/SL+을/JKO
창단했다	창단하/VV+였/EP+다/EC

이중	이/MM+중/NNB
최현자,	최현자/NNG+,/SP
정지남,	정지남/NNP+,/SP
정영아	정영아/NNP
선수는	선수/NNG+는/JX
2012런던장애인올림픽	2012/SN+런던/NNP+장애인올림픽/NNG
단체전에서	단체전/NNG+에서/JKB
은메달,	은메달/NNG+,/SP
동메달을	동메달/NNG+을/JKO
견인하며	견인하/VV+며/EC
우리나라	우리나라/NNG
종합	종합/NNG
12위	12/SN+위/NNB
기록에	기록/NNG+에/JKB
기여했다	기여하/VV+였/EP+다/EF

한편	한편/MAG
서울시는	서울시/NNP+는/JX
지난	지나/VV+ㄴ/ETM
2010년	2010/SN+년/NNB
3월	3/SN+월/NNB
장애인실업	장애인실업/NNG
농구팀을	농구팀/NNG+을/JKO
창단한	창단하/VV+ㄴ/ETM
바	바/NNB
있다	있/VA+다/EC
