'국립장애인도서관'	'/SS+국립장애인도서관/NNG+'/SS
24일	24/SN+일/NNB
정식개관	정식개관/NNG

장애인을	장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
도서관	도서관/NNG
서비스를	서비스/NNG+를/JKO
담당하던	담당하/VV+던/ETM
국립중앙도서관	국립중앙도서관/NNP
장애인도서관지원센터가	장애인도서관지원센터/NNG+가/JKS
폐지되고,	폐지되/VV+고/EC+,/SP
국립장애인도서관이	국립장애인도서관/NNG+이/JKS
정식으로	정식/NNG+으로/JKB
문을	문/NNG+을/JKO
연다	열/VV+ㄴ다/EF

국립중앙도서관은	국립중앙도서관/NNP+은/JX
오는	오/VV+는/ETM
24일	24/SN+일/NNB
오전	오전/NNG
11시	11/SN+시/NNB
국제회의장	국제회의장/NNG
및	및/MAG
디지털도서관에서	디지털도서관/NNG+에서/JKB
국립장애인도서관	국립장애인도서관/NNG
개관식	개관식/NNG
및	및/MAG
현판식을	현판식/NNG+을/JKO
갖는다	갖/VV+는다/EF

이날	이날/NNG
개관식은	개관식/NNG+은/JX
지난	지나/VV+ㄴ/ETM
3월	3/SN+월/NNB
장애인	장애인/NNG
대상	대상/NNG
코칭	코칭/NNG
프로그램을	프로그램/NNG+을/JKO
맡았던	맡/VV+았/EP+던/ETM
서혜정	서혜정/NNP
성우의	성우/NNG+의/JKG
진행으로	진행/NNG+으로/JKB
경과보고,	경과보고/NNG+,/SP
인사말,	인사말/NNG+,/SP
축사,	축사/NNG+,/SP
현판	현판/NNG
제막식,	제막식/NNG+,/SP
국립장애인도서관	국립장애인도서관/NNG
시설	시설/NNG
및	및/MAG
점자책·수화영상도서	점자책/NNG+·/SP+수화영상도서/NNG
등	등/NNB
전시	전시/NNG
공간	공간/NNG
견학	견학/NNG
순으로	순/XSN+으로/JKB
이뤄진다	이루어지/VV+ㄴ다/EC

또한	또한/MAG
개관을	개관/NNG+을/JKO
기념해	기념하/VV+여/EC
제2회	제/XPN+2/SN+회/NNB
장애인독서한마당,	장애인독서한마당/NNG+,/SP
제5회	제/XPN+5/SN+회/NNB
장애	장애/NNG
아동·청소년	아동/NNG+·/SP+청소년/NNG
독후감대회	독후감대회/NNG
등	등/NNB
장애인을	장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
다양한	다양하/VA+ㄴ/ETM
독서축제가	독서축제/NNG+가/JKS
하루종일	하루종일/NNG
계속된다	계속되/VV+ㄴ다/EF

장애인	장애인/NNG
독서문학의	독서문학/NNG+의/JKG
날	날/NNG
행사에서는	행사/NNG+에서/JKB+는/JX
지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
40여명의	40/SN+여/XSN+명/NNB+의/JKG
시각장애인과	시각장애인/NNG+과/JC
양평	양평/NNP
황순원문학촌에	황순원문학촌/NNG+에/JKB
동행했던	동행하/VV+었/EP+던/ETM
연탄길의	연탄길/NNG+의/JKG
저자인	저자/NNG+이/VCP+ㄴ/ETM
‘이철환	‘/SL+이철환/NNP
작가와의	작가/NNG+와/JKB+의/JKG
만남’의	만남/NNG+’/SL+의/JKG
시간을	시간/NNG+을/JKO
비롯	비롯/NNG
‘찾아가는	‘/SN+찾아가/VV+는/ETM
장애인	장애인/NNG
독서	독서/NNG
운동	운동/NNG
문화행사’	문화행사/NNG+’/SN
중	중/NNB
하나인	하나/NNG+이/VCP+ㄴ/ETM
독서코칭	독서코칭/NNG
프로그램	프로그램/NNG
운영사례	운영사례/NNG
발표가	발표/NNG+가/JKS
진행된다	진행되/VV+ㄴ다/EC

2부	2/SN+부/NNB
음악이	음악/NNG+이/JKS
흐르는	흐르/VV+는/ETM
낭송회에서는	낭송회/NNG+에서/JKB+는/JX
손짓빛수화합창단과	손짓빛수화합창단/NNP+과/JC
시각장애인	시각장애인/NNG
성악가	성악가/NNG
이소영	이소영/NNP
씨의	씨/NNB+의/JKG
축하공연,	축하공연/NNG+,/SP
장애인들이	장애인/NNG+들/XSN+이/JKS
스스로	스스로/MAG
쓴	쓰/VV+ㄴ/ETM
작품을	작품/NNG+을/JKO
직접	직접/MAG
낭송하는	낭송하/VV+는/ETM
시간을	시간/NNG+을/JKO
갖는다	갖/VV+는다/EF

‘장애	‘/SL+장애/NNG
아동·청소년	아동/NNG+·/SP+청소년/NNG
독후감	독후감/NNG
대회'는	대회/NNG+'/SS+는/JX
총	총/MM
261편의	261/SN+편/NNB+의/JKG
응모작품	응모작품/NNG
중	중/NNB
예선을	예선/NNG+을/JKO
통과한	통과하/VV+ㄴ/ETM
56명이	56/SN+명/NNB+이/JKS
본선	본선/NNG
발표대회에서	발표대회/NNG+에서/JKB
겨룬다	겨루/VV+ㄴ다/EF

이번	이번/NNG
대회는	대회/NNG+는/JX
참가대상을	참가대상/NNG+을/JKO
시각·청각장애	시각/NNG+·/SP+청각장애/NNG
학생에서	학생/NNG+에서/JKB
지체·지적장애	지체/NNG+·/SP+지적장애/NNG
학생까지	학생/NNG+까지/JX
응모할	응모하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
확대됐으며,	확대되/VV+었/EP+으며/EC+,/SP
본선	본선/NNG
진출자들을	진출자/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
국립어린이청소년도서관에서	국립어린이청소년도서관/NNG+에서/JKB
체험형	체험형/NNG
동화구연,	동화구연/NNG+,/SP
연극놀이	연극놀이/NNG
등	등/NNB
다양한	다양하/VA+ㄴ/ETM
독서프로그램을	독서프로그램/NNG+을/JKO
체험할	체험하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
기회도	기회/NNG+도/JX
제공한다	제공하/VV+ㄴ다/EF

'국립장애인도서관	'/SS+국립장애인도서관/NNG
개관식	개관식/NNG
및	및/MAG
현판식'및	현판식/NNG+'/SS+및/MAG
'제2회	'/SS+제/XPN+2/SN+회/NNB
장애인	장애인/NNG
독서	독서/NNP
한마당'행사는	한마당/NNP+'/SS+행사/NNG+는/JX
누구나	누구/NP+나/JX
참여할	참여하/VV+ㄹ/ETM
수	수/NNB
있으며,	있/VA+으며/EC+,/SP
국립중앙도서관	국립중앙도서관/NNP
홈페이지(www	홈페이지/NNG+(/SS+www/SL

nl	nl/SL

go	go/SL

kr)를	kr/SL+)/SS+를/JKO
통해	통하/VV+여/EC
신청하면	신청하/VV+면/EC
된다	되/VV+ㄴ다/EF
